SURVEY:  YSE
SNID:  2020abim
otherID: 
IAUC:    UNKNOWN
RA:        193.3734920  deg
DECL:       -5.4317950  deg
MWEBV:    0.026 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0157 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0250 +- 0.007 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J125329.351-052546.960 
VETTED_PS1_OBJID: 101481933722764702 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 8.620 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (193.3722811, -5.4297266) 
VETTED_HOST_GALAXY_NAME: WISEA J125329.34-052547.1 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0157 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59180.561
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -16.094
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 77.9
PARSNIP_S1: -0.024 +- 0.048
PARSNIP_S2: 1.729 +- 0.076
PARSNIP_S3: 0.675 +- 0.033
SUPERRAENN_PRED: SN II
SUPERRAENN_CONF: 54.3
SET_ZTF_FP: 27.500
PEAK_SNR: 49.932
MAX_MJD_GAP(days): 13.765
NOBS_BEFORE_PEAK: 0
NOBS_TO_PEAK: 1
NOBS_AFTER_PEAK: 101
SEARCH_PEAKMAG: 18.065
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 18.065
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020abim.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.303 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 102
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59180.561 Y 423 5941.986 371.572 18.065 0.068 0x00
OBS: 59184.505 Y 423 5627.943 321.301 18.124 0.062 0x00
OBS: 59184.527 X 423 4082.064 284.749 18.473 0.076 0x00
OBS: 59185.511 X 423 4303.064 303.211 18.416 0.077 0x00
OBS: 59185.536 Y 423 5688.007 217.916 18.113 0.042 0x00
OBS: 59187.529 X 423 3592.550 315.760 18.611 0.095 0x00
OBS: 59189.509 X 423 4332.096 345.205 18.408 0.087 0x00
OBS: 59194.515 Y 423 4198.062 166.853 18.442 0.043 0x00
OBS: 59196.511 Y 423 3482.867 226.963 18.645 0.071 0x00
OBS: 59198.630 g NULL 3551.229 125.002 18.624 0.038 0x00
OBS: 59198.640 i NULL 2872.214 200.202 18.854 0.076 0x00
OBS: 59199.519 Y 423 3411.887 185.389 18.668 0.059 0x00
OBS: 59199.543 X 423 3510.996 136.582 18.636 0.042 0x00
OBS: 59204.468 X 423 3296.933 134.631 18.705 0.044 0x00
OBS: 59206.640 i NULL 2276.710 85.655 19.107 0.041 0x00
OBS: 59206.640 g NULL 3235.951 64.807 18.725 0.022 0x00
OBS: 59209.630 r NULL 2680.670 88.148 18.929 0.036 0x00
OBS: 59209.630 z NULL 747.280 152.306 20.316 0.221 0x00
OBS: 59213.650 i NULL 1510.254 106.356 19.552 0.076 0x00
OBS: 59213.660 r NULL 2407.291 112.099 19.046 0.051 0x00
OBS: 59215.542 Y 423 2120.327 288.267 19.184 0.148 0x00
OBS: 59216.514 Y 423 2187.637 263.201 19.150 0.131 0x00
OBS: 59216.543 X 423 2371.667 382.375 19.062 0.175 0x00
OBS: 59216.640 i NULL 2014.313 223.468 19.240 0.120 0x00
OBS: 59216.640 r NULL 2194.311 212.514 19.147 0.105 0x00
OBS: 59218.479 X 423 3065.129 213.181 18.784 0.076 0x00
OBS: 59218.498 Y 423 1990.625 166.416 19.253 0.091 0x00
OBS: 59221.501 X 423 2772.039 148.411 18.893 0.058 0x00
OBS: 59221.525 Y 423 1731.406 306.400 19.404 0.192 0x00
OBS: 59223.482 Y 423 1872.511 171.703 19.319 0.100 0x00
OBS: 59223.542 X 423 2307.499 144.059 19.092 0.068 0x00
OBS: 59225.482 X 423 2922.026 295.988 18.836 0.110 0x00
OBS: 59225.620 i NULL 1362.049 144.861 19.665 0.115 0x00
