SURVEY:  YSE
SNID:  2020actn
otherID: 
IAUC:    UNKNOWN
RA:        174.7926590  deg
DECL:       10.6610910  deg
MWEBV:    0.038 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: 0.0840 +- 0.005 (HOST-Z, HELIO)
PHOTO_Z: 0.0900 +- 0.024 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J113910.094+103940.425 
VETTED_PS1_OBJID: 120791747920763919 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 2.202 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (174.7920607, 10.6612549) 
VETTED_HOST_GALAXY_NAME: WISEA J113910.08+103940.5 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0840 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59200.464
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN II
PARSNIP_CONF: 97.6
PARSNIP_S1: -0.364 +- 0.109
PARSNIP_S2: 0.458 +- 0.237
PARSNIP_S3: -1.308 +- 0.053
SUPERRAENN_PRED: SN II
SUPERRAENN_CONF: 68.6
SET_ZTF_FP: 27.500
PEAK_SNR: 15.893
MAX_MJD_GAP(days): 31.107
NOBS_BEFORE_PEAK: 7
NOBS_TO_PEAK: 8
NOBS_AFTER_PEAK: 41
SEARCH_PEAKMAG: 19.699
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 19.771
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020actn.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0012
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.102 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 49
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59193.478 X 523 479.893 119.698 20.797 0.271 0x00
OBS: 59194.640 g NULL 881.992 57.376 20.136 0.071 0x00
OBS: 59194.650 r NULL 571.014 48.207 20.608 0.092 0x00
OBS: 59195.486 Y 523 786.520 124.646 20.261 0.172 0x00
OBS: 59195.526 X 523 1146.824 120.294 19.851 0.114 0x00
OBS: 59198.483 Y 523 1115.903 141.820 19.881 0.138 0x00
OBS: 59198.525 X 523 1088.060 88.597 19.908 0.088 0x00
OBS: 59200.464 X 523 1319.827 243.542 19.699 0.200 0x00
OBS: 59200.524 Y 523 1034.773 199.013 19.963 0.209 0x00
OBS: 59203.502 Y 523 936.092 129.322 20.072 0.150 0x00
OBS: 59203.542 X 523 970.676 86.920 20.032 0.097 0x00
OBS: 59207.590 z NULL 953.780 84.399 20.051 0.096 0x00
OBS: 59212.560 r NULL 750.343 81.212 20.312 0.118 0x00
OBS: 59212.560 z NULL 881.828 99.516 20.137 0.123 0x00
OBS: 59221.427 Y 523 1064.867 139.644 19.932 0.142 0x00
OBS: 59221.462 X 523 721.659 153.310 20.354 0.231 0x00
OBS: 59223.398 X 523 778.230 91.473 20.272 0.128 0x00
OBS: 59223.464 Y 523 1129.869 112.338 19.867 0.108 0x00
OBS: 59225.414 Y 523 1057.261 126.522 19.940 0.130 0x00
OBS: 59225.442 X 523 550.044 121.505 20.649 0.240 0x00
OBS: 59227.461 X 523 670.860 87.635 20.433 0.142 0x00
OBS: 59229.436 Y 523 1006.614 153.088 19.993 0.165 0x00
OBS: 59230.650 i NULL 1171.232 73.694 19.828 0.068 0x00
OBS: 59231.420 X 523 601.006 79.516 20.553 0.144 0x00
OBS: 59231.465 Y 523 1034.135 70.838 19.964 0.074 0x00
OBS: 59234.452 X 523 837.204 125.329 20.193 0.163 0x00
OBS: 59238.640 r NULL 939.516 77.014 20.068 0.089 0x00
OBS: 59249.380 Y 523 1235.255 259.034 19.771 0.228 0x00
OBS: 59251.442 Y 523 957.990 83.693 20.047 0.095 0x00
OBS: 59253.351 Y 523 856.712 81.334 20.168 0.103 0x00
OBS: 59253.378 X 523 385.367 81.617 21.035 0.230 0x00
OBS: 59255.378 X 523 481.575 52.548 20.793 0.118 0x00
OBS: 59255.401 Y 523 847.610 68.797 20.180 0.088 0x00
OBS: 59261.450 i NULL 1054.769 68.063 19.942 0.070 0x00
OBS: 59261.450 g NULL 386.155 65.218 21.033 0.183 0x00
OBS: 59262.338 Y 523 951.547 90.535 20.054 0.103 0x00
OBS: 59262.412 X 523 461.689 90.555 20.839 0.213 0x00
OBS: 59264.354 X 523 343.640 71.820 21.160 0.227 0x00
OBS: 59266.359 Y 523 937.605 152.657 20.070 0.177 0x00
OBS: 59268.352 Y 523 835.786 104.071 20.195 0.135 0x00
OBS: 59270.321 Y 523 783.695 193.962 20.265 0.269 0x00
OBS: 59276.367 Y 523 808.656 120.898 20.231 0.162 0x00
OBS: 59280.296 Y 523 854.660 70.285 20.171 0.089 0x00
OBS: 59280.359 X 523 374.838 92.868 21.065 0.269 0x00
OBS: 59290.341 Y 523 715.242 76.505 20.364 0.116 0x00
OBS: 59292.338 Y 523 669.081 73.213 20.436 0.119 0x00
OBS: 59292.390 i NULL 815.639 81.514 20.221 0.109 0x00
OBS: 59317.193 Y 523 310.484 70.373 21.270 0.246 0x00
OBS: 59348.300 i NULL 325.138 67.965 21.220 0.227 0x00
END:
