SURVEY:  YSE
SNID:  2020bcq
otherID: 
IAUC:    UNKNOWN
RA:        201.6235540  deg
DECL:       36.0086260  deg
MWEBV:    0.013 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0180 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0180 +- 0.010 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J132628.532+360037.032 
VETTED_PS1_OBJID: 151212016188372912 
VETTED_HOST_GALAXY_STATUS: G 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 14.847 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (201.618873, 36.0102667) 
VETTED_HOST_GALAXY_NAME: SN 2020bcq HOST (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0185 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 58886.485
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -17.436
SPEC_CLASS: SN Ib
SPEC_CLASS_BROAD: SN Ibc
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 70.4
PARSNIP_S1: 0.732 +- 0.021
PARSNIP_S2: -0.402 +- 0.028
PARSNIP_S3: 0.768 +- 0.02
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 83.7
SET_ZTF_FP: 27.500
PEAK_SNR: 88.870
MAX_MJD_GAP(days): 19.045
NOBS_BEFORE_PEAK: 22
NOBS_TO_PEAK: 23
NOBS_AFTER_PEAK: 129
SEARCH_PEAKMAG: 17.029
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 17.060
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020bcq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.310 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 152
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58871.444 X 674.0 355.951 82.154 21.122 0.251 0x00
OBS: 58875.482 X 674.0 2173.229 94.119 19.158 0.047 0x00
OBS: 58875.520 Y 674.0 2747.948 107.378 18.903 0.042 0x00
OBS: 58876.524 X 674.0 3013.655 80.281 18.802 0.029 0x00
OBS: 58876.870 Y 674.0 3828.663 97.968 18.547 0.028 0x00
OBS: 58877.504 Y 674.0 4431.886 95.930 18.384 0.024 0x00
OBS: 58877.545 X 674.0 3349.951 101.292 18.687 0.033 0x00
OBS: 58877.640 i NULL 4061.305 98.746 18.478 0.026 0x00
OBS: 58877.650 g NULL 3689.068 95.910 18.583 0.028 0x00
OBS: 58878.553 Y 674.0 5306.885 154.791 18.188 0.032 0x00
OBS: 58879.156 X 674.0 5391.296 124.442 18.186 0.025 0x00
OBS: 58879.542 Y 674.0 6057.813 224.866 18.045 0.040 0x00
OBS: 58880.489 X 674.0 7639.309 111.909 17.792 0.016 0x00
OBS: 58880.514 Y 674.0 8439.711 124.981 17.684 0.016 0x00
OBS: 58881.486 X 674.0 9813.119 117.625 17.521 0.013 0x00
OBS: 58881.545 Y 674.0 10141.445 131.538 17.485 0.014 0x00
OBS: 58883.487 X 674.0 11315.085 150.474 17.366 0.014 0x00
OBS: 58883.539 Y 674.0 11819.006 174.846 17.319 0.016 0x00
OBS: 58884.453 X 674.0 12504.521 157.247 17.257 0.014 0x00
OBS: 58884.516 Y 674.0 12413.603 193.641 17.266 0.017 0x00
OBS: 58885.443 X 674.0 13543.688 186.268 17.171 0.015 0x00
OBS: 58885.530 Y 674.0 13950.031 156.972 17.139 0.012 0x00
OBS: 58886.485 X 674.0 15436.533 175.738 17.029 0.012 0x00
OBS: 58886.860 Y 674.0 15003.004 178.439 17.060 0.013 0x00
OBS: 58887.450 X 674.0 14623.021 221.270 17.088 0.016 0x00
OBS: 58888.000 Y 674.0 14870.194 234.727 17.070 0.017 0x00
OBS: 58888.531 X 674.0 12453.531 431.489 17.262 0.038 0x00
OBS: 58890.465 Y 674.0 13123.402 310.338 17.205 0.026 0x00
OBS: 58890.912 X 674.0 10441.932 292.826 17.455 0.031 0x00
OBS: 58891.481 Y 674.0 12977.130 230.997 17.217 0.019 0x00
OBS: 58891.912 Y 674.0 14143.347 201.691 17.126 0.016 0x00
