SURVEY:  YSE
SNID:  2020dow
otherID: 
IAUC:    UNKNOWN
RA:        137.9833960  deg
DECL:       27.9004810  deg
MWEBV:    0.024 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0474 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0510 +- 0.017 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J091156.055+275357.474 
VETTED_PS1_OBJID: 141471379835629697 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 4.226 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (137.9835634, 27.8993163) 
VETTED_HOST_GALAXY_NAME: WISEA J091156.09+275357.3 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0474 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 58917.232
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -19.494
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.105 +- 0.022
PARSNIP_S2: 0.109 +- 0.048
PARSNIP_S3: 1.323 +- 0.035
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 100.0
SET_ZTF_FP: 27.500
PEAK_SNR: 67.094
MAX_MJD_GAP(days): 21.907
NOBS_BEFORE_PEAK: 10
NOBS_TO_PEAK: 11
NOBS_AFTER_PEAK: 35
SEARCH_PEAKMAG: 17.121
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 17.356
PEAKFLT_YSE-r/ZTF-r(Y): r
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020dow.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.330 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 46
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58903.213 Y 618 915.367 86.409 20.096 0.102 0x00
OBS: 58903.272 X 618 825.331 76.547 20.212 0.101 0x00
OBS: 58905.206 Y 618 2451.165 143.120 19.027 0.063 0x00
OBS: 58906.215 Y 618 3313.922 118.588 18.699 0.039 0x00
OBS: 58906.273 X 618 3431.906 114.904 18.661 0.036 0x00
OBS: 58909.251 X 618 6495.776 173.123 17.968 0.029 0x00
OBS: 58909.305 Y 618 6090.113 128.219 18.038 0.023 0x00
OBS: 58912.215 Y 618 8804.606 172.270 17.638 0.021 0x00
OBS: 58912.245 X 618 11392.762 186.290 17.358 0.018 0x00
OBS: 58917.159 Y 618 9280.146 1975.832 17.581 0.231 0x00
OBS: 58917.232 X 618 14181.089 1439.912 17.121 0.110 0x00
OBS: 58919.410 i NULL 6610.751 111.032 17.949 0.018 0x00
OBS: 58919.410 r NULL 11414.486 175.041 17.356 0.017 0x00
OBS: 58922.400 r NULL 11062.793 164.885 17.390 0.016 0x00
OBS: 58922.400 i NULL 6140.078 143.415 18.030 0.025 0x00
OBS: 58930.240 g NULL 8043.490 148.867 17.736 0.020 0x00
OBS: 58934.240 g NULL 5959.106 178.826 18.062 0.033 0x00
OBS: 58939.194 Y 618 5601.193 144.822 18.129 0.028 0x00
OBS: 58940.195 Y 618 7501.486 730.854 17.812 0.106 0x00
OBS: 58947.340 r NULL 4219.674 148.859 18.437 0.038 0x00
OBS: 58947.340 z NULL 3483.051 174.236 18.645 0.054 0x00
OBS: 58954.180 X 618 1305.267 83.192 19.711 0.069 0x00
OBS: 58954.206 Y 618 3101.831 97.024 18.771 0.034 0x00
OBS: 58957.300 g NULL 1079.197 70.499 19.917 0.071 0x00
OBS: 58957.310 i NULL 2782.387 101.143 18.889 0.039 0x00
OBS: 58961.270 r NULL 2182.898 70.393 19.152 0.035 0x00
OBS: 58961.280 g NULL 910.608 50.854 20.102 0.061 0x00
OBS: 58962.174 Y 618 2160.465 92.939 19.164 0.047 0x00
OBS: 58962.207 X 618 897.764 91.516 20.117 0.111 0x00
OBS: 58965.206 X 618 703.110 80.153 20.382 0.124 0x00
OBS: 58967.145 Y 618 2050.987 111.198 19.220 0.059 0x00
OBS: 58972.163 Y 618 1784.112 158.019 19.371 0.096 0x00
OBS: 58972.214 X 618 1163.444 228.445 19.836 0.213 0x00
OBS: 58973.255 r NULL 1722.427 89.808 19.411 0.056 0x00
OBS: 58973.260 i NULL 1117.773 85.736 19.880 0.084 0x00
OBS: 58975.154 Y 618 1401.476 147.578 19.634 0.114 0x00
OBS: 58978.185 X 618 627.219 90.529 20.506 0.157 0x00
OBS: 58978.234 Y 618 1542.130 146.528 19.530 0.103 0x00
OBS: 58981.173 X 618 646.736 80.203 20.473 0.135 0x00
OBS: 58981.215 Y 618 1370.104 124.605 19.658 0.099 0x00
OBS: 58987.185 Y 618 917.183 89.527 20.094 0.106 0x00
OBS: 58987.260 g NULL 735.236 85.111 20.334 0.126 0x00
OBS: 58989.270 g NULL 795.503 97.190 20.248 0.133 0x00
OBS: 58989.270 i NULL 528.771 83.111 20.692 0.171 0x00
OBS: 59011.177 Y 618 867.498 215.768 20.183 0.279 0x00
OBS: 59012.182 Y 618 694.047 139.518 20.412 0.224 0x00
END:
