SURVEY:  YSE
SNID:  2020ees
otherID: 
IAUC:    UNKNOWN
RA:        201.8133000  deg
DECL:       32.0336300  deg
MWEBV:    0.012 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0244 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0260 +- 0.006 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J132716.857+320150.771 
VETTED_PS1_OBJID: 146432018202477482 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 23.570 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (201.8202321, 32.0307362) 
VETTED_HOST_GALAXY_NAME: NGC 5157 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0244 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 58929.530
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -18.925
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: -0.219 +- 0.024
PARSNIP_S2: 0.027 +- 0.036
PARSNIP_S3: 1.271 +- 0.03
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 100.0
SET_ZTF_FP: 27.500
PEAK_SNR: 163.732
MAX_MJD_GAP(days): 27.970
NOBS_BEFORE_PEAK: 0
NOBS_TO_PEAK: 1
NOBS_AFTER_PEAK: 62
SEARCH_PEAKMAG: 16.211
SEARCH_PEAKFLT: r
PEAKMAG_YSE-r/ZTF-r(Y): 16.211
PEAKFLT_YSE-r/ZTF-r(Y): r
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ees.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.612 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 63
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58929.530 r NULL 32772.320 200.158 16.211 0.007 0x00
OBS: 58929.530 g NULL 30497.070 456.692 16.289 0.016 0x00
OBS: 58934.500 r NULL 28297.874 295.110 16.371 0.011 0x00
OBS: 58934.500 g NULL 28633.536 304.876 16.358 0.012 0x00
OBS: 58949.370 r NULL 15289.539 174.913 17.039 0.012 0x00
OBS: 58949.370 z NULL 12330.333 223.185 17.273 0.020 0x00
OBS: 58957.540 g NULL 4757.568 104.230 18.307 0.024 0x00
OBS: 58957.540 i NULL 11656.818 127.057 17.334 0.012 0x00
OBS: 58959.360 g NULL 4832.868 92.032 18.289 0.021 0x00
OBS: 58959.360 r NULL 11393.183 112.849 17.358 0.011 0x00
OBS: 58963.289 X 1671 4035.521 86.622 18.485 0.023 0x00
OBS: 58964.291 Y 1671 9116.943 113.383 17.600 0.014 0x00
OBS: 58967.370 i NULL 7053.407 91.211 17.879 0.014 0x00
OBS: 58967.370 g NULL 3276.213 73.903 18.712 0.024 0x00
OBS: 58970.370 g NULL 2900.559 106.719 18.844 0.040 0x00
OBS: 58970.380 z NULL 6641.002 160.401 17.944 0.026 0x00
OBS: 58976.420 r NULL 5369.353 196.406 18.175 0.040 0x00
OBS: 58976.430 i NULL 4292.274 173.324 18.418 0.044 0x00
OBS: 58978.290 Y 1671 5169.083 136.011 18.217 0.029 0x00
OBS: 58981.400 i NULL 3924.763 111.522 18.515 0.031 0x00
OBS: 58981.400 r NULL 4653.724 91.834 18.330 0.021 0x00
OBS: 58984.280 i NULL 3399.669 84.479 18.671 0.027 0x00
OBS: 58984.280 g NULL 2277.514 73.774 19.106 0.035 0x00
OBS: 58987.380 r NULL 3811.629 87.224 18.547 0.025 0x00
OBS: 58987.380 g NULL 2261.987 85.481 19.114 0.041 0x00
OBS: 58992.280 g NULL 1967.733 53.498 19.265 0.030 0x00
OBS: 58992.290 r NULL 3317.436 69.967 18.698 0.023 0x00
OBS: 58999.360 z NULL 1396.856 87.684 19.637 0.068 0x00
OBS: 58999.360 g NULL 1828.881 67.550 19.345 0.040 0x00
OBS: 59003.380 z NULL 1747.014 269.307 19.394 0.167 0x00
OBS: 59003.380 r NULL 2363.079 141.734 19.066 0.065 0x00
OBS: 59005.270 i NULL 1739.074 227.548 19.399 0.142 0x00
OBS: 59009.350 r NULL 2135.891 69.664 19.176 0.035 0x00
OBS: 59009.360 z NULL 1155.399 96.699 19.843 0.091 0x00
OBS: 59011.410 i NULL 1474.018 146.962 19.579 0.108 0x00
OBS: 59011.410 r NULL 1939.475 115.398 19.281 0.065 0x00
OBS: 59015.310 g NULL 1555.374 79.474 19.520 0.055 0x00
OBS: 59015.310 i NULL 1279.466 70.178 19.732 0.060 0x00
OBS: 59017.300 g NULL 1403.500 97.274 19.632 0.075 0x00
OBS: 59017.300 r NULL 1766.316 84.611 19.382 0.052 0x00
OBS: 59020.340 i NULL 1090.452 71.781 19.906 0.071 0x00
OBS: 59020.340 g NULL 1297.132 69.377 19.718 0.058 0x00
OBS: 59029.280 i NULL 871.613 50.551 20.149 0.063 0x00
OBS: 59029.280 g NULL 1199.802 69.052 19.802 0.062 0x00
OBS: 59031.300 i NULL 958.162 88.957 20.046 0.101 0x00
OBS: 59031.300 r NULL 1244.780 91.257 19.762 0.080 0x00
OBS: 59036.270 r NULL 1130.079 67.858 19.867 0.065 0x00
OBS: 59038.330 r NULL 1018.055 109.786 19.981 0.117 0x00
OBS: 59038.340 i NULL 470.744 96.324 20.818 0.222 0x00
OBS: 59042.280 z NULL 332.227 68.901 21.196 0.225 0x00
OBS: 59042.280 g NULL 1044.763 64.589 19.952 0.067 0x00
OBS: 59044.280 i NULL 595.669 56.842 20.562 0.104 0x00
OBS: 59044.280 g NULL 902.049 73.802 20.112 0.089 0x00
OBS: 59048.270 i NULL 488.040 58.194 20.779 0.129 0x00
OBS: 59048.270 g NULL 911.915 64.413 20.100 0.077 0x00
OBS: 59052.320 r NULL 634.462 71.121 20.494 0.122 0x00
OBS: 59052.330 g NULL 716.329 67.413 20.362 0.102 0x00
OBS: 59058.280 g NULL 819.239 123.653 20.216 0.164 0x00
OBS: 59061.270 r NULL 553.359 96.158 20.642 0.189 0x00
OBS: 59061.280 i NULL 483.636 97.078 20.789 0.218 0x00
OBS: 59066.280 r NULL 648.223 103.242 20.471 0.173 0x00
OBS: 59076.270 g NULL 566.783 68.774 20.616 0.132 0x00
OBS: 59104.240 g NULL 607.703 92.939 20.541 0.166 0x00
END:
