SURVEY:  YSE
SNID:  2020iio
otherID: 
IAUC:    UNKNOWN
RA:        246.6673790  deg
DECL:       25.5330840  deg
MWEBV:    0.038 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: 0.1200 +- 0.039 (PHOTO-Z, HELIO)
PHOTO_Z: 0.1200 +- 0.039 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J162640.087+253158.576 
VETTED_PS1_OBJID: 138642466670460078 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 1.291 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (246.6670191, 25.5329354) 
VETTED_HOST_GALAXY_NAME: WISEA J162640.08+253158.3 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 58974.430
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.071 +- 0.037
PARSNIP_S2: 0.173 +- 0.094
PARSNIP_S3: 1.246 +- 0.059
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 100.0
SET_ZTF_FP: 27.500
PEAK_SNR: 32.153
MAX_MJD_GAP(days): 13.984
NOBS_BEFORE_PEAK: 21
NOBS_TO_PEAK: 22
NOBS_AFTER_PEAK: 53
SEARCH_PEAKMAG: 19.175
SEARCH_PEAKFLT: r
PEAKMAG_YSE-r/ZTF-r(Y): 19.175
PEAKFLT_YSE-r/ZTF-r(Y): r
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020iio.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.304 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 75
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58958.580 g NULL 321.017 66.522 21.234 0.225 0x00
OBS: 58958.590 i NULL 303.220 66.299 21.296 0.237 0x00
OBS: 58961.396 X 633 713.933 100.264 20.366 0.152 0x00
OBS: 58961.419 Y 633 675.494 92.860 20.426 0.149 0x00
OBS: 58964.360 X 633 1372.270 67.436 19.656 0.053 0x00
OBS: 58964.419 Y 633 1265.276 67.417 19.745 0.058 0x00
OBS: 58966.580 r NULL 1418.667 78.641 19.620 0.060 0x00
OBS: 58967.382 Y 633 1626.017 69.877 19.472 0.047 0x00
OBS: 58967.421 X 633 1785.690 70.366 19.370 0.043 0x00
OBS: 58968.550 i NULL 1354.058 78.141 19.671 0.063 0x00
OBS: 58968.550 g NULL 1862.164 60.218 19.325 0.035 0x00
OBS: 58970.416 Y 633 1898.751 70.096 19.304 0.040 0x00
OBS: 58970.444 X 633 1930.372 60.038 19.286 0.034 0x00
OBS: 58971.410 g NULL 1909.173 93.713 19.298 0.053 0x00
OBS: 58971.410 z NULL 921.440 131.079 20.089 0.154 0x00
OBS: 58972.373 Y 1297 1943.544 101.419 19.279 0.057 0x00
OBS: 58973.354 Y 633 2098.734 121.577 19.195 0.063 0x00
OBS: 58973.443 X 633 2094.076 121.722 19.198 0.063 0x00
OBS: 58973.450 i NULL 1299.991 65.721 19.715 0.055 0x00
OBS: 58973.450 r NULL 1891.398 104.488 19.308 0.060 0x00
OBS: 58974.303 Y 1629 1896.923 184.518 19.305 0.106 0x00
OBS: 58974.430 r NULL 2137.241 125.965 19.175 0.064 0x00
OBS: 58976.318 Y 633 1938.935 206.392 19.281 0.116 0x00
OBS: 58976.478 X 633 1989.627 352.906 19.253 0.193 0x00
OBS: 58979.266 X 633 1782.831 152.456 19.372 0.093 0x00
OBS: 58979.318 Y 633 2005.234 140.176 19.245 0.076 0x00
OBS: 58981.390 r NULL 1496.211 61.846 19.563 0.045 0x00
OBS: 58981.400 i NULL 1085.587 70.424 19.911 0.070 0x00
OBS: 58983.520 g NULL 1234.745 64.945 19.771 0.057 0x00
OBS: 58983.530 i NULL 999.296 81.449 20.001 0.088 0x00
OBS: 58984.404 Y 633 1474.856 73.133 19.578 0.054 0x00
OBS: 58985.380 Y 633 1328.828 69.053 19.691 0.056 0x00
OBS: 58985.390 z NULL 480.652 101.813 20.795 0.230 0x00
