SURVEY:  YSE
SNID:  2020ivg
otherID: 
IAUC:    UNKNOWN
RA:        224.4416250  deg
DECL:       41.2383280  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0530 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.1680 +- 0.061 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J145746.202+411416.524 
VETTED_PS1_OBJID: 157482244427516102 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 2.980 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (224.4425769, 41.2379005) 
VETTED_HOST_GALAXY_NAME: WISEA J145746.11+411417.2 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 58977.262
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -17.383
SPEC_CLASS: SN IIb
SPEC_CLASS_BROAD: SN II
PARSNIP_PRED: SN Ibc
PARSNIP_CONF: 85.8
PARSNIP_S1: -1.215 +- 0.047
PARSNIP_S2: 0.121 +- 0.121
PARSNIP_S3: 0.218 +- 0.069
SUPERRAENN_PRED: SN II
SUPERRAENN_CONF: 50.9
SET_ZTF_FP: 27.500
PEAK_SNR: 22.680
MAX_MJD_GAP(days): 9.990
NOBS_BEFORE_PEAK: 51
NOBS_TO_PEAK: 52
NOBS_AFTER_PEAK: 59
SEARCH_PEAKMAG: 19.483
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 19.483
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ivg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.867 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 111
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58954.393 X 720.0 726.092 79.457 20.348 0.119 0x00
OBS: 58954.463 Y 720.0 808.202 114.619 20.231 0.154 0x00
OBS: 58955.406 X 720.0 567.702 64.988 20.615 0.124 0x00
OBS: 58955.426 Y 720.0 678.569 86.601 20.421 0.139 0x00
OBS: 58956.324 Y 720.0 602.688 77.064 20.564 0.144 0x00
OBS: 58956.373 X 720.0 558.220 83.863 20.651 0.165 0x00
OBS: 58958.520 g NULL 534.552 45.758 20.680 0.093 0x00
OBS: 58958.520 i NULL 617.886 61.302 20.523 0.108 0x00
OBS: 58960.460 g NULL 457.365 52.645 20.849 0.125 0x00
OBS: 58960.460 r NULL 673.190 46.370 20.430 0.075 0x00
OBS: 58961.418 Y 720.0 595.170 101.432 20.566 0.186 0x00
OBS: 58962.314 Y 720.0 605.785 76.263 20.546 0.138 0x00
OBS: 58962.355 X 720.0 412.012 66.358 20.973 0.180 0x00
OBS: 58963.351 X 720.0 493.845 63.132 20.777 0.142 0x00
OBS: 58964.358 X 720.0 505.787 61.811 20.744 0.134 0x00
OBS: 58964.367 Y 720.0 807.010 65.692 20.233 0.089 0x00
OBS: 58965.334 Y 720.0 803.595 65.647 20.238 0.089 0x00
OBS: 58965.411 X 720.0 504.161 56.212 20.745 0.121 0x00
OBS: 58965.490 r NULL 759.444 82.271 20.299 0.118 0x00
OBS: 58965.490 g NULL 565.942 86.756 20.618 0.166 0x00
OBS: 58966.359 Y 720.0 913.329 111.487 20.119 0.127 0x00
OBS: 58966.416 X 720.0 598.592 57.291 20.557 0.104 0x00
OBS: 58967.282 X 720.0 630.692 66.057 20.502 0.114 0x00
OBS: 58967.357 Y 720.0 798.690 74.926 20.244 0.102 0x00
OBS: 58968.377 Y 720.0 1005.066 61.525 19.996 0.067 0x00
OBS: 58968.403 X 720.0 650.964 58.246 20.469 0.098 0x00
OBS: 58969.339 Y 720.0 1220.563 288.459 19.806 0.252 0x00
OBS: 58969.380 g NULL 788.106 127.918 20.259 0.176 0x00
OBS: 58969.380 z NULL 910.785 135.279 20.101 0.161 0x00
OBS: 58970.300 X 720.0 761.993 81.441 20.298 0.117 0x00
OBS: 58970.386 Y 720.0 1024.041 65.567 19.976 0.070 0x00
OBS: 58971.367 X 720.0 689.853 81.285 20.425 0.126 0x00
OBS: 58971.378 Y 720.0 1030.160 93.057 19.983 0.102 0x00
OBS: 58971.410 g NULL 871.705 72.441 20.149 0.090 0x00
OBS: 58971.420 i NULL 1081.786 65.325 19.915 0.066 0x00
OBS: 58972.273 X 720.0 773.697 120.163 20.282 0.169 0x00
OBS: 58972.394 Y 720.0 1187.817 137.710 19.813 0.126 0x00
OBS: 58972.430 g NULL 1082.552 119.770 19.914 0.120 0x00
OBS: 58972.440 z NULL 893.238 109.210 20.123 0.133 0x00
OBS: 58973.245 X 720.0 911.463 150.493 20.107 0.181 0x00
OBS: 58973.320 Y 720.0 1337.656 129.722 19.686 0.106 0x00
OBS: 58974.320 Y 720.0 1346.019 164.203 19.683 0.134 0x00
OBS: 58974.371 X 720.0 939.695 179.130 20.074 0.210 0x00
OBS: 58974.420 r NULL 1013.624 135.792 19.985 0.145 0x00
OBS: 58974.420 z NULL 1261.082 135.852 19.748 0.117 0x00
OBS: 58975.291 X 720.0 845.852 208.474 20.190 0.272 0x00
OBS: 58975.397 Y 720.0 1361.367 172.322 19.671 0.138 0x00
OBS: 58975.430 i NULL 1381.290 73.609 19.649 0.058 0x00
OBS: 58975.430 r NULL 1197.211 77.504 19.805 0.070 0x00
OBS: 58976.215 X 720.0 1143.285 260.472 19.855 0.247 0x00
OBS: 58976.316 Y 720.0 1671.911 363.246 19.485 0.232 0x00
OBS: 58977.262 Y 720.0 1610.565 258.976 19.483 0.175 0x00
OBS: 58978.206 X 720.0 739.479 121.787 20.333 0.183 0x00
OBS: 58978.266 Y 720.0 1558.892 124.667 19.519 0.087 0x00
OBS: 58979.290 X 720.0 747.388 111.692 20.326 0.165 0x00
OBS: 58979.305 Y 720.0 1206.517 116.276 19.796 0.105 0x00
OBS: 58980.296 X 720.0 618.400 89.380 20.525 0.159 0x00
OBS: 58980.310 Y 1135.2 1058.516 97.446 19.943 0.102 0x00
OBS: 58980.380 r NULL 1003.909 50.188 19.996 0.054 0x00
OBS: 58980.380 i NULL 1252.799 55.237 19.755 0.048 0x00
OBS: 58981.262 Y 720.0 1074.112 78.652 19.924 0.080 0x00
OBS: 58981.308 X 720.0 526.801 92.475 20.702 0.189 0x00
OBS: 58982.460 i NULL 1071.457 67.899 19.925 0.069 0x00
OBS: 58982.460 g NULL 617.178 73.536 20.524 0.129 0x00
OBS: 58984.290 z NULL 838.328 91.973 20.191 0.119 0x00
OBS: 58984.290 g NULL 497.615 47.733 20.758 0.104 0x00
OBS: 58985.282 Y 720.0 911.323 64.541 20.101 0.077 0x00
OBS: 58985.301 X 720.0 407.066 64.243 20.976 0.171 0x00
OBS: 58986.295 Y 720.0 894.824 73.209 20.121 0.089 0x00
OBS: 58986.329 X 720.0 342.391 67.044 21.166 0.213 0x00
OBS: 58987.309 X 720.0 349.049 55.241 21.146 0.171 0x00
OBS: 58987.316 Y 720.0 806.357 53.363 20.234 0.072 0x00
OBS: 58987.390 g NULL 353.617 64.759 21.129 0.199 0x00
OBS: 58987.390 i NULL 1000.539 80.393 19.999 0.087 0x00
OBS: 58991.262 Y 720.0 656.163 71.415 20.459 0.118 0x00
OBS: 58991.265 X 720.0 295.202 57.899 21.327 0.214 0x00
OBS: 58992.275 Y 720.0 633.457 67.016 20.496 0.115 0x00
OBS: 58992.290 g NULL 208.829 34.398 21.701 0.179 0x00
