SURVEY:  YSE
SNID:  2020ixs
otherID: 
IAUC:    UNKNOWN
RA:        237.3508000  deg
DECL:       16.4550150  deg
MWEBV:    0.037 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: 0.0912 +- 0.005 (HOST-Z, HELIO)
PHOTO_Z: 0.0710 +- 0.018 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J154924.222+162717.081 
VETTED_PS1_OBJID: 127742373509106170 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 1.050 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (237.3509144, 16.4547432) 
VETTED_HOST_GALAXY_NAME: WISEA J154924.23+162716.9 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0912 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 58976.317
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN Ibc
PARSNIP_CONF: 39.6
PARSNIP_S1: 0.634 +- 0.102
PARSNIP_S2: 0.552 +- 0.162
PARSNIP_S3: 0.119 +- 0.058
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 68.6
SET_ZTF_FP: 27.500
PEAK_SNR: 19.732
MAX_MJD_GAP(days): 31.970
NOBS_BEFORE_PEAK: 23
NOBS_TO_PEAK: 24
NOBS_AFTER_PEAK: 55
SEARCH_PEAKMAG: 19.077
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 19.077
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ixs.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0008
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.310 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 79
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58964.402 Y 583 386.601 77.053 21.032 0.216 0x00
OBS: 58965.349 Y 583 461.169 71.061 20.840 0.167 0x00
OBS: 58965.399 X 583 319.726 61.094 21.238 0.207 0x00
OBS: 58966.379 Y 583 527.353 75.718 20.695 0.156 0x00
OBS: 58966.570 i NULL 870.661 104.640 20.150 0.130 0x00
OBS: 58966.570 g NULL 969.664 80.012 20.033 0.090 0x00
OBS: 58967.378 Y 583 804.593 82.310 20.236 0.111 0x00
OBS: 58967.422 X 583 792.095 73.252 20.253 0.100 0x00
OBS: 58968.378 Y 583 733.487 65.787 20.337 0.097 0x00
OBS: 58968.540 r NULL 849.217 60.227 20.177 0.077 0x00
OBS: 58968.540 g NULL 1223.715 77.332 19.781 0.069 0x00
OBS: 58969.374 Y 583 1425.133 277.869 19.615 0.212 0x00
OBS: 58970.396 Y 583 1232.188 82.788 19.773 0.073 0x00
OBS: 58970.444 X 583 1233.707 62.524 19.772 0.055 0x00
OBS: 58971.416 Y 583 1439.047 93.981 19.605 0.071 0x00
OBS: 58972.402 Y 583 1197.363 226.539 19.804 0.205 0x00
OBS: 58973.323 Y 583 1540.716 137.373 19.531 0.097 0x00
OBS: 58974.005 r NULL 1696.365 118.061 19.430 0.075 0x00
OBS: 58974.318 Y 583 1313.876 174.901 19.704 0.145 0x00
OBS: 58974.430 i NULL 1949.897 115.650 19.275 0.064 0x00
OBS: 58974.460 X 583 1380.763 183.143 19.650 0.144 0x00
OBS: 58975.295 X 583 1133.560 232.800 19.864 0.223 0x00
OBS: 58975.380 Y 583 1322.064 210.248 19.697 0.173 0x00
OBS: 58976.317 Y 583 2339.581 287.480 19.077 0.133 0x00
OBS: 58976.457 X 583 1664.853 343.843 19.447 0.224 0x00
OBS: 58977.400 Y 583 2093.110 469.004 19.198 0.243 0x00
OBS: 58978.296 Y 583 1801.471 182.242 19.361 0.110 0x00
OBS: 58978.560 r NULL 1803.608 149.788 19.360 0.090 0x00
OBS: 58978.560 z NULL 1128.596 211.930 19.869 0.204 0x00
OBS: 58979.268 X 583 1006.735 162.036 19.993 0.175 0x00
OBS: 58979.299 Y 583 1735.287 168.988 19.402 0.106 0x00
OBS: 58980.310 Y 583 1629.750 117.668 19.470 0.078 0x00
OBS: 58980.400 X 583 968.957 138.739 20.034 0.155 0x00
