SURVEY:  YSE
SNID:  2020jgl
otherID: 
IAUC:    UNKNOWN
RA:        142.2434170  deg
DECL:       -14.8055740  deg
MWEBV:    0.060 +- 0.003 MW E(B-V)
REDSHIFT_FINAL: 0.0068 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0130 +- 0.009 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J092859.024-144827.458 
VETTED_PS1_OBJID: 90231422458351187 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 11.284 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (142.2459365, -14.8075159) 
VETTED_HOST_GALAXY_NAME: MCG -02-24-027 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0068 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 58994.260
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -18.606
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 99.4
PARSNIP_S1: 0.131 +- 0.011
PARSNIP_S2: 0.267 +- 0.029
PARSNIP_S3: 1.443 +- 0.015
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 526.322
MAX_MJD_GAP(days): 15.875
NOBS_BEFORE_PEAK: 19
NOBS_TO_PEAK: 20
NOBS_AFTER_PEAK: 92
SEARCH_PEAKMAG: 13.727
SEARCH_PEAKFLT: r
PEAKMAG_YSE-r/ZTF-r(Y): 13.727
PEAKFLT_YSE-r/ZTF-r(Y): r
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020jgl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.941 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 112
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58980.250 i NULL 36764.046 170.380 16.086 0.005 0x00
OBS: 58980.250 z NULL 57125.028 265.725 15.608 0.005 0x00
OBS: 58980.260 r NULL 62878.029 267.475 15.504 0.005 0x00
OBS: 58980.260 g NULL 54892.467 223.179 15.651 0.004 0x00
OBS: 58985.260 r NULL 95718.627 771.965 15.048 0.009 0x00
OBS: 58985.260 i NULL 141318.544 314.875 14.625 0.002 0x00
OBS: 58985.260 z NULL 143097.158 449.132 14.611 0.003 0x00
OBS: 58985.260 g NULL 182419.262 477.507 14.347 0.003 0x00
OBS: 58987.260 r NULL 246303.461 476.300 14.021 0.002 0x00
OBS: 58987.260 i NULL 173351.009 388.945 14.403 0.002 0x00
OBS: 58987.260 g NULL 235374.741 447.207 14.071 0.002 0x00
OBS: 58987.260 z NULL 167984.144 514.371 14.437 0.003 0x00
OBS: 58990.260 r NULL 244539.446 878.454 14.029 0.004 0x00
OBS: 58990.260 i NULL 183823.471 427.804 14.339 0.003 0x00
OBS: 58990.260 z NULL 185141.994 629.960 14.331 0.004 0x00
OBS: 58992.260 r NULL 314418.955 815.672 13.756 0.003 0x00
OBS: 58992.260 i NULL 176741.333 645.294 14.382 0.004 0x00
OBS: 58992.260 z NULL 186357.056 684.106 14.324 0.004 0x00
OBS: 58992.260 g NULL 298458.723 757.029 13.813 0.003 0x00
OBS: 58994.260 r NULL 323123.292 727.551 13.727 0.002 0x00
OBS: 58994.260 i NULL 171668.552 522.263 14.413 0.003 0x00
OBS: 58994.260 z NULL 183433.507 481.851 14.341 0.003 0x00
OBS: 58994.260 g NULL 293625.379 604.998 13.831 0.002 0x00
OBS: 59000.260 z NULL 150272.162 520.615 14.558 0.004 0x00
OBS: 59000.270 r NULL 267668.664 588.289 13.931 0.002 0x00
OBS: 59000.270 i NULL 138092.005 421.403 14.650 0.003 0x00
OBS: 59000.270 g NULL 240923.228 678.798 14.045 0.003 0x00
OBS: 59004.270 r NULL 201997.686 673.300 14.237 0.004 0x00
OBS: 59004.270 g NULL 192611.532 684.241 14.288 0.004 0x00
OBS: 59004.270 i NULL 105609.027 522.329 14.941 0.005 0x00
OBS: 59004.270 z NULL 135898.104 745.365 14.667 0.006 0x00
OBS: 59007.260 r NULL 178992.285 560.605 14.368 0.003 0x00
