SURVEY:  YSE
SNID:  2020nov
otherID: 
IAUC:    UNKNOWN
RA:        254.5540850  deg
DECL:       2.1175370  deg
MWEBV:    0.097 +- 0.005 MW E(B-V)
REDSHIFT_FINAL: 0.0840 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0780 +- 0.025 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J165812.978+020703.160 
VETTED_PS1_OBJID: 110542545540231503 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 0.113 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (254.5540719, 2.1175345) 
VETTED_HOST_GALAXY_NAME: WISEA J165812.98+020703.0 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59094.270
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -20.427
SPEC_CLASS: TDE
SPEC_CLASS_BROAD: Other
PARSNIP_PRED: SN Ibc
PARSNIP_CONF: 41.3
PARSNIP_S1: -1.565 +- 0.03
PARSNIP_S2: 1.191 +- 0.061
PARSNIP_S3: -0.844 +- 0.03
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 93.4
SET_ZTF_FP: 27.500
PEAK_SNR: 81.630
MAX_MJD_GAP(days): 81.333
NOBS_BEFORE_PEAK: 73
NOBS_TO_PEAK: 74
NOBS_AFTER_PEAK: 213
SEARCH_PEAKMAG: 17.486
SEARCH_PEAKFLT: i
PEAKMAG_YSE-r/ZTF-r(Y): 17.600
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020nov.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.832 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 287
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58714.220 X 483 594.571 130.112 20.564 0.238 0x00
OBS: 58718.171 X 483 347.133 71.226 21.149 0.223 0x00
OBS: 58725.158 X 483 588.518 101.953 20.576 0.188 0x00
OBS: 58725.236 Y 483 739.085 113.279 20.328 0.166 0x00
OBS: 58729.156 X 483 784.515 131.783 20.263 0.182 0x00
OBS: 58736.215 Y 483 645.140 116.541 20.476 0.196 0x00
OBS: 58757.157 X 483 759.654 151.243 20.298 0.216 0x00
OBS: 59024.243 Y 483 739.556 91.810 20.328 0.135 0x00
OBS: 59027.232 X 483 1394.708 107.286 19.639 0.084 0x00
OBS: 59027.290 Y 483 974.568 85.332 20.028 0.095 0x00
OBS: 59030.351 X 483 1288.249 167.697 19.725 0.141 0x00
OBS: 59033.210 X 483 1976.353 326.954 19.260 0.180 0x00
OBS: 59036.216 X 483 2493.824 189.719 19.008 0.083 0x00
OBS: 59036.275 Y 483 2451.523 159.020 19.026 0.070 0x00
OBS: 59039.192 X 483 2766.067 76.904 18.895 0.030 0x00
OBS: 59039.233 Y 483 2722.495 85.525 18.913 0.034 0x00
OBS: 59042.250 Y 483 3405.351 90.312 18.670 0.029 0x00
OBS: 59042.300 X 483 3451.403 97.483 18.655 0.031 0x00
OBS: 59045.228 Y 483 4096.472 89.523 18.469 0.024 0x00
OBS: 59045.263 X 483 4048.752 84.338 18.482 0.023 0x00
OBS: 59048.245 Y 483 4397.474 89.334 18.392 0.022 0x00
OBS: 59048.253 X 483 4484.085 91.869 18.371 0.022 0x00
OBS: 59051.243 Y 483 5298.585 107.865 18.190 0.022 0x00
OBS: 59054.190 Y 483 6119.102 109.562 18.033 0.019 0x00
OBS: 59054.253 X 483 5453.307 101.484 18.158 0.020 0x00
OBS: 59054.270 g NULL 5726.410 126.115 18.105 0.024 0x00
OBS: 59054.270 i NULL 6985.486 125.286 17.890 0.019 0x00
OBS: 59064.307 Y 483 7082.720 357.251 17.874 0.055 0x00
OBS: 59066.280 r NULL 7624.811 93.407 17.794 0.013 0x00
OBS: 59066.280 z NULL 8438.211 193.935 17.684 0.025 0x00
OBS: 59067.219 X 483 6730.302 141.691 17.931 0.023 0x00
OBS: 59067.281 Y 483 7443.979 185.060 17.821 0.027 0x00
OBS: 59069.175 X 483 6820.922 98.797 17.915 0.016 0x00
OBS: 59069.212 Y 483 7404.875 107.703 17.826 0.016 0x00
OBS: 59069.350 r NULL 7486.710 123.532 17.814 0.018 0x00
OBS: 59069.350 i NULL 8671.198 133.217 17.655 0.017 0x00
OBS: 59070.194 Y 483 7849.193 105.797 17.763 0.015 0x00
OBS: 59070.211 X 483 6813.313 104.142 17.917 0.017 0x00
OBS: 59071.280 g NULL 6716.124 102.181 17.932 0.017 0x00
OBS: 59071.280 i NULL 9296.807 168.619 17.579 0.020 0x00
OBS: 59072.188 Y 483 7611.876 111.342 17.796 0.016 0x00
OBS: 59072.248 X 483 6682.071 111.694 17.938 0.018 0x00
OBS: 59073.198 Y 483 7702.948 119.083 17.783 0.017 0x00
OBS: 59073.234 X 483 6639.199 108.275 17.945 0.018 0x00
OBS: 59074.190 X 483 6726.681 151.914 17.930 0.025 0x00
OBS: 59074.300 g NULL 6767.808 116.295 17.924 0.019 0x00
OBS: 59074.300 i NULL 9199.820 157.583 17.591 0.019 0x00
OBS: 59075.213 Y 483 7371.688 141.203 17.831 0.021 0x00
OBS: 59076.172 X 483 6561.759 105.816 17.957 0.018 0x00
OBS: 59077.147 Y 483 7618.430 149.278 17.795 0.021 0x00
OBS: 59077.211 X 483 6459.191 135.111 17.975 0.023 0x00
OBS: 59077.280 r NULL 6960.658 109.971 17.893 0.017 0x00
OBS: 59077.280 g NULL 6536.619 125.182 17.962 0.021 0x00
OBS: 59078.190 X 483 6397.711 106.603 17.985 0.018 0x00
OBS: 59079.270 i NULL 8989.964 154.683 17.616 0.019 0x00
OBS: 59079.270 g NULL 6590.728 109.402 17.953 0.018 0x00
OBS: 59080.167 Y 483 7440.097 141.156 17.821 0.021 0x00
OBS: 59082.170 Y 483 7963.240 136.063 17.747 0.019 0x00
OBS: 59082.207 X 483 6430.675 292.930 17.979 0.049 0x00
OBS: 59082.300 g NULL 6775.059 189.429 17.923 0.030 0x00
OBS: 59082.300 r NULL 7191.405 232.177 17.858 0.035 0x00
OBS: 59083.250 i NULL 9284.126 127.907 17.581 0.015 0x00
OBS: 59083.260 g NULL 6848.091 131.088 17.911 0.021 0x00
OBS: 59084.168 X 483 6758.592 132.739 17.925 0.021 0x00
OBS: 59084.189 Y 483 7804.522 180.301 17.769 0.025 0x00
OBS: 59085.170 Y 483 6863.351 157.430 17.909 0.025 0x00
OBS: 59086.171 Y 483 8202.896 147.765 17.715 0.020 0x00
OBS: 59086.190 X 483 7027.677 146.051 17.883 0.023 0x00
OBS: 59088.188 Y 483 8977.900 267.462 17.617 0.032 0x00
OBS: 59088.265 X 483 6340.000 582.372 17.995 0.100 0x00
OBS: 59093.148 X 483 6861.427 214.183 17.909 0.034 0x00
OBS: 59094.165 Y 483 9123.713 196.519 17.600 0.023 0x00
OBS: 59094.270 r NULL 8237.045 1506.488 17.711 0.199 0x00
OBS: 59094.270 i NULL 10126.312 1222.844 17.486 0.131 0x00
OBS: 59095.132 Y 483 8716.368 171.813 17.649 0.021 0x00
OBS: 59095.171 X 483 9831.867 247.930 17.518 0.027 0x00
OBS: 59096.270 r NULL 7734.065 109.670 17.779 0.015 0x00
OBS: 59096.270 z NULL 8886.273 224.028 17.628 0.027 0x00
OBS: 59098.320 i NULL 9939.391 216.928 17.507 0.024 0x00
OBS: 59098.320 r NULL 7463.816 186.901 17.818 0.027 0x00
OBS: 59102.260 g NULL 7349.116 127.065 17.834 0.019 0x00
OBS: 59102.260 z NULL 9226.534 212.593 17.587 0.025 0x00
OBS: 59106.260 g NULL 7168.380 103.136 17.861 0.016 0x00
OBS: 59106.260 r NULL 7542.051 147.289 17.806 0.021 0x00
OBS: 59108.250 g NULL 7388.730 138.567 17.829 0.020 0x00
OBS: 59108.250 i NULL 9741.240 133.182 17.528 0.015 0x00
OBS: 59119.240 r NULL 7419.744 136.588 17.824 0.020 0x00
OBS: 59119.240 z NULL 9325.897 222.774 17.576 0.026 0x00
OBS: 59122.230 i NULL 9734.922 231.458 17.529 0.026 0x00
OBS: 59122.240 r NULL 7363.518 238.237 17.832 0.035 0x00
OBS: 59128.150 X 483 6763.364 182.047 17.925 0.029 0x00
OBS: 59128.240 r NULL 7305.254 193.005 17.841 0.029 0x00
OBS: 59128.240 z NULL 8615.473 298.116 17.662 0.038 0x00
