SURVEY:  YSE
SNID:  2020nrg
otherID: 
IAUC:    UNKNOWN
RA:        53.6371790  deg
DECL:       -4.8105140  deg
MWEBV:    0.068 +- 0.003 MW E(B-V)
REDSHIFT_FINAL: 0.0200 +- 0.005 (HOST-Z, HELIO)
PHOTO_Z: 0.0250 +- 0.007 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J033432.080-044838.293 
VETTED_PS1_OBJID: 102220536336807636 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 12.640 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (53.6336729, -4.8106524) 
VETTED_HOST_GALAXY_NAME: MCG -01-10-006 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0200 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59068.485
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN II
PARSNIP_CONF: 70.3
PARSNIP_S1: 0.58 +- 0.161
PARSNIP_S2: 1.058 +- 0.213
PARSNIP_S3: -0.682 +- 0.051
SUPERRAENN_PRED: SN II
SUPERRAENN_CONF: 34.6
SET_ZTF_FP: 27.500
PEAK_SNR: 20.031
MAX_MJD_GAP(days): 16.024
NOBS_BEFORE_PEAK: 2
NOBS_TO_PEAK: 3
NOBS_AFTER_PEAK: 73
SEARCH_PEAKMAG: 19.365
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 19.831
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: XiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020nrg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0008
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.324 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 76
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59067.476 X 403.0 1714.143 267.482 19.415 0.169 0x00
OBS: 59068.435 Y 403.0 1059.770 222.930 19.937 0.228 0x00
OBS: 59068.485 X 403.0 1794.824 198.603 19.365 0.120 0x00
OBS: 59073.422 X 403.0 1317.414 221.457 19.701 0.183 0x00
OBS: 59073.464 Y 403.0 1135.937 187.256 19.862 0.179 0x00
OBS: 59075.439 X 403.0 1474.695 138.508 19.578 0.102 0x00
OBS: 59075.481 Y 403.0 1168.045 133.637 19.831 0.124 0x00
OBS: 59076.483 X 403.0 1741.039 100.966 19.398 0.063 0x00
OBS: 59076.620 g NULL 1551.227 84.371 19.523 0.059 0x00
OBS: 59076.620 r NULL 1096.404 61.799 19.900 0.061 0x00
OBS: 59077.435 X 403.0 1652.597 112.980 19.455 0.074 0x00
OBS: 59077.484 Y 403.0 1145.415 107.852 19.853 0.102 0x00
OBS: 59080.463 X 403.0 1477.417 117.888 19.576 0.087 0x00
OBS: 59080.498 Y 403.0 1166.043 138.412 19.833 0.129 0x00
OBS: 59080.600 i NULL 838.460 66.078 20.191 0.086 0x00
OBS: 59080.610 g NULL 1511.518 75.460 19.551 0.054 0x00
OBS: 59081.444 Y 403.0 1043.954 122.704 19.953 0.128 0x00
OBS: 59081.482 X 403.0 1464.181 123.093 19.586 0.091 0x00
OBS: 59082.452 X 403.0 1315.054 151.209 19.703 0.125 0x00
OBS: 59082.488 Y 403.0 1062.839 136.660 19.934 0.140 0x00
OBS: 59083.478 Y 403.0 1071.403 146.689 19.925 0.149 0x00
OBS: 59083.490 X 403.0 1428.994 136.162 19.612 0.103 0x00
OBS: 59084.452 X 1065.33 1238.728 102.279 19.777 0.091 0x00
OBS: 59085.445 X 403.0 1452.328 103.740 19.595 0.078 0x00
OBS: 59085.485 Y 403.0 853.485 89.286 20.172 0.114 0x00
OBS: 59086.449 Y 403.0 919.057 108.114 20.092 0.128 0x00
OBS: 59086.480 X 403.0 1459.998 98.121 19.589 0.073 0x00
OBS: 59087.448 Y 403.0 756.157 125.090 20.303 0.180 0x00
OBS: 59087.481 X 403.0 1387.118 102.506 19.645 0.080 0x00
OBS: 59088.495 X 403.0 1195.937 113.566 19.806 0.103 0x00
OBS: 59089.472 Y 403.0 705.983 142.860 20.378 0.220 0x00
OBS: 59089.484 X 403.0 1354.067 110.920 19.671 0.089 0x00
OBS: 59090.431 X 403.0 1125.422 113.872 19.872 0.110 0x00
OBS: 59090.580 r NULL 831.773 58.250 20.200 0.076 0x00
OBS: 59090.996 Y 403.0 836.836 102.380 20.193 0.133 0x00
OBS: 59091.433 X 1065.33 1097.828 121.560 19.918 0.123 0x00
OBS: 59092.434 X 1197.8 1211.655 189.357 19.805 0.175 0x00
OBS: 59093.440 X 403.0 1211.103 261.579 19.792 0.234 0x00
OBS: 59094.996 X 403.0 1241.204 260.081 19.791 0.237 0x00
OBS: 59095.590 r NULL 715.563 87.568 20.363 0.133 0x00
OBS: 59095.590 i NULL 578.483 83.608 20.594 0.157 0x00
OBS: 59103.610 g NULL 840.151 81.153 20.189 0.105 0x00
OBS: 59105.600 g NULL 973.812 70.919 20.029 0.079 0x00
