SURVEY:  YSE
SNID:  2020pf
otherID: 
IAUC:    UNKNOWN
RA:        186.5195830  deg
DECL:       12.4599030  deg
MWEBV:    0.027 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0950 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.2220 +- 0.063 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J122604.655+122735.469 
VETTED_PS1_OBJID: 122951865194402286 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 0.583 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (186.5194376, 12.4598217) 
VETTED_HOST_GALAXY_NAME: SDSS J122604.65+122735.4 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 58868.570
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -19.356
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.203 +- 0.036
PARSNIP_S2: 0.878 +- 0.101
PARSNIP_S3: 1.538 +- 0.068
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 94.6
SET_ZTF_FP: 27.500
PEAK_SNR: 53.616
MAX_MJD_GAP(days): 33.020
NOBS_BEFORE_PEAK: 9
NOBS_TO_PEAK: 10
NOBS_AFTER_PEAK: 58
SEARCH_PEAKMAG: 18.841
SEARCH_PEAKFLT: g
PEAKMAG_YSE-r/ZTF-r(Y): 18.906
PEAKFLT_YSE-r/ZTF-r(Y): r
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.161 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 68
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58850.541 X 525 453.110 88.670 20.859 0.212 0x00
OBS: 58850.610 g NULL 439.372 52.695 20.893 0.130 0x00
OBS: 58850.610 i NULL 237.237 51.488 21.562 0.236 0x00
OBS: 58853.505 X 525 1183.319 75.235 19.817 0.069 0x00
OBS: 58856.541 X 525 1851.137 84.536 19.331 0.050 0x00
OBS: 58859.481 Y 525 2325.627 175.148 19.084 0.082 0x00
OBS: 58866.570 g NULL 2776.652 85.113 18.891 0.033 0x00
OBS: 58866.570 z NULL 1135.177 128.169 19.862 0.123 0x00
OBS: 58867.600 g NULL 2857.450 102.258 18.860 0.039 0x00
OBS: 58868.570 g NULL 2908.129 65.195 18.841 0.024 0x00
OBS: 58868.570 r NULL 2739.726 51.099 18.906 0.020 0x00
OBS: 58869.570 g NULL 2664.973 67.854 18.936 0.028 0x00
OBS: 58869.580 i NULL 1664.786 74.921 19.447 0.049 0x00
OBS: 58870.580 g NULL 2597.955 78.395 18.963 0.033 0x00
OBS: 58870.580 r NULL 2670.296 70.396 18.934 0.029 0x00
OBS: 58871.479 X 525 2441.430 99.839 19.031 0.044 0x00
OBS: 58871.502 Y 525 2603.756 114.828 18.962 0.048 0x00
OBS: 58871.570 i NULL 1691.609 68.014 19.429 0.044 0x00
OBS: 58871.570 g NULL 2565.469 74.528 18.977 0.032 0x00
OBS: 58872.610 g NULL 2350.837 61.576 19.072 0.028 0x00
OBS: 58872.610 z NULL 630.516 110.563 20.501 0.190 0x00
OBS: 58874.580 g NULL 2065.184 70.998 19.213 0.037 0x00
OBS: 58874.580 i NULL 1565.239 67.440 19.514 0.047 0x00
OBS: 58875.457 X 525 1974.070 99.486 19.262 0.055 0x00
OBS: 58875.590 g NULL 2126.440 82.766 19.181 0.042 0x00
OBS: 58875.590 z NULL 702.099 109.721 20.384 0.170 0x00
OBS: 58876.520 g NULL 1862.308 86.306 19.325 0.050 0x00
OBS: 58876.520 r NULL 2171.347 74.019 19.158 0.037 0x00
OBS: 58878.487 X 525 1685.903 99.263 19.433 0.064 0x00
OBS: 58878.510 g NULL 1523.078 71.336 19.543 0.051 0x00
OBS: 58878.510 z NULL 586.169 114.545 20.580 0.212 0x00
OBS: 58879.500 r NULL 1860.033 213.667 19.326 0.125 0x00
OBS: 58880.460 X 525 1536.906 87.565 19.533 0.062 0x00
OBS: 58881.079 Y 525 1714.875 92.924 19.414 0.059 0x00
OBS: 58881.460 X 525 1452.358 76.251 19.595 0.057 0x00
OBS: 58882.490 r NULL 1604.120 66.036 19.487 0.045 0x00
OBS: 58884.171 Y 525 1438.641 164.615 19.606 0.124 0x00
OBS: 58884.440 X 525 1048.546 145.287 19.949 0.150 0x00
OBS: 58885.425 X 525 967.983 213.029 20.035 0.239 0x00
OBS: 58885.506 Y 525 1424.765 154.529 19.616 0.118 0x00
OBS: 58886.508 Y 525 1381.344 133.182 19.649 0.105 0x00
OBS: 58887.425 X 525 1367.210 232.684 19.660 0.185 0x00
OBS: 58887.832 Y 525 1395.284 197.164 19.640 0.152 0x00
OBS: 58892.316 Y 525 1444.454 247.691 19.601 0.186 0x00
OBS: 58892.357 X 525 1170.649 200.438 19.829 0.186 0x00
OBS: 58894.373 X 525 599.230 109.209 20.556 0.198 0x00
OBS: 58894.464 Y 525 1436.985 107.063 19.606 0.081 0x00
OBS: 58895.407 X 525 528.418 92.436 20.694 0.191 0x00
OBS: 58895.442 Y 525 1240.030 103.517 19.766 0.091 0x00
OBS: 58898.420 X 525 407.722 55.898 20.974 0.149 0x00
OBS: 58898.463 Y 525 1107.648 71.860 19.889 0.070 0x00
OBS: 58899.397 X 525 387.698 75.544 21.029 0.212 0x00
OBS: 58899.440 Y 525 1019.384 83.398 19.979 0.089 0x00
OBS: 58900.378 X 525 538.362 79.888 20.672 0.161 0x00
OBS: 58901.398 Y 525 932.300 78.525 20.076 0.091 0x00
OBS: 58904.473 Y 525 892.858 107.646 20.126 0.132 0x00
OBS: 58906.442 Y 525 714.798 104.587 20.365 0.159 0x00
OBS: 58908.452 Y 525 675.481 72.784 20.428 0.118 0x00
OBS: 58911.451 Y 525 524.778 126.130 20.709 0.269 0x00
OBS: 58912.418 Y 525 604.572 96.022 20.546 0.172 0x00
OBS: 58914.404 Y 525 585.955 128.626 20.590 0.246 0x00
OBS: 58922.420 r NULL 521.961 79.686 20.706 0.166 0x00
OBS: 58955.440 g NULL 227.691 53.486 21.607 0.255 0x00
OBS: 58960.300 r NULL 208.622 44.760 21.702 0.233 0x00
OBS: 58966.310 r NULL 245.786 52.884 21.524 0.234 0x00
OBS: 58969.260 r NULL 199.203 47.558 21.752 0.259 0x00
OBS: 58980.370 r NULL 199.334 49.220 21.751 0.268 0x00
OBS: 58994.320 r NULL 257.565 50.807 21.473 0.214 0x00
END:
