SURVEY:  YSE
SNID:  2020pki
otherID: 
IAUC:    UNKNOWN
RA:        318.1012430  deg
DECL:       13.0048490  deg
MWEBV:    0.078 +- 0.004 MW E(B-V)
REDSHIFT_FINAL: 0.0280 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0420 +- 0.016 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J211224.279+130017.568 
VETTED_PS1_OBJID: 123603181011756356 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 0.242 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (318.1011626, 13.004881) 
VETTED_HOST_GALAXY_NAME: WISEA J211224.27+130017.5 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59052.396
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -17.413
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ibc
PARSNIP_CONF: 69.8
PARSNIP_S1: 1.452 +- 0.04
PARSNIP_S2: -0.715 +- 0.037
PARSNIP_S3: 0.691 +- 0.024
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 96.9
SET_ZTF_FP: 27.500
PEAK_SNR: 64.417
MAX_MJD_GAP(days): 33.076
NOBS_BEFORE_PEAK: 17
NOBS_TO_PEAK: 18
NOBS_AFTER_PEAK: 52
SEARCH_PEAKMAG: 18.027
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 18.027
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pki.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.640 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 70
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58997.404 X 544.0 365.943 74.077 21.091 0.220 0x00
OBS: 59030.480 i NULL 533.659 127.645 20.682 0.260 0x00
OBS: 59039.356 X 544.0 1229.521 183.616 19.776 0.162 0x00
OBS: 59041.550 r NULL 1664.481 165.456 19.447 0.108 0x00
OBS: 59041.560 i NULL 2274.371 180.418 19.108 0.086 0x00
OBS: 59042.325 X 544.0 2756.626 105.741 18.899 0.042 0x00
OBS: 59042.390 Y 544.0 2117.599 94.116 19.185 0.048 0x00
OBS: 59045.356 Y 544.0 4307.929 82.604 18.414 0.021 0x00
OBS: 59045.441 X 544.0 3219.054 75.827 18.731 0.026 0x00
OBS: 59046.428 Y 1067.0 4569.390 89.674 18.350 0.021 0x00
OBS: 59046.530 r NULL 2993.267 248.397 18.810 0.090 0x00
OBS: 59048.373 Y 1067.0 5684.318 91.340 18.114 0.017 0x00
OBS: 59048.375 X 544.0 4207.390 86.061 18.440 0.022 0x00
OBS: 59049.480 i NULL 5197.738 221.921 18.210 0.046 0x00
OBS: 59050.550 g NULL 2779.979 91.655 18.890 0.036 0x00
OBS: 59050.560 r NULL 3810.099 171.364 18.548 0.049 0x00
OBS: 59051.389 Y 892.67 6006.326 97.606 18.054 0.018 0x00
OBS: 59052.396 Y 1590.0 6152.909 95.518 18.027 0.017 0x00
OBS: 59053.374 X 1067.0 2479.315 66.594 19.016 0.029 0x00
OBS: 59053.520 g NULL 2321.710 147.668 19.085 0.069 0x00
OBS: 59054.376 Y 892.67 5262.695 90.803 18.198 0.019 0x00
OBS: 59054.445 X 544.0 1826.520 68.045 19.346 0.040 0x00
OBS: 59055.371 Y 1067.0 4923.598 89.806 18.272 0.020 0x00
OBS: 59057.367 Y 892.67 4364.373 93.841 18.400 0.023 0x00
OBS: 59057.392 X 892.67 1277.281 69.595 19.739 0.060 0x00
OBS: 59059.326 Y 544.0 3178.357 114.509 18.744 0.039 0x00
OBS: 59059.440 r NULL 1482.066 124.490 19.573 0.091 0x00
OBS: 59059.440 i NULL 3221.523 156.697 18.730 0.053 0x00
OBS: 59060.348 X 892.67 1014.638 97.323 19.986 0.105 0x00
OBS: 59060.412 Y 544.0 3302.601 78.751 18.703 0.026 0x00
OBS: 59061.332 Y 544.0 3374.155 118.268 18.680 0.038 0x00
OBS: 59062.570 z NULL 2134.773 186.011 19.177 0.095 0x00
OBS: 59062.580 r NULL 1644.638 140.073 19.460 0.092 0x00
OBS: 59063.324 Y 544.0 2748.165 193.783 18.910 0.078 0x00
OBS: 59063.432 X 544.0 1037.008 227.623 19.961 0.238 0x00
OBS: 59064.391 Y 544.0 1853.721 245.982 19.330 0.144 0x00
OBS: 59066.362 X 1067.0 968.102 234.108 20.037 0.264 0x00
OBS: 59066.448 Y 544.0 1654.524 213.398 19.453 0.140 0x00
OBS: 59067.311 Y 544.0 1947.155 125.933 19.276 0.070 0x00
OBS: 59068.362 Y 544.0 2044.718 107.919 19.223 0.057 0x00
OBS: 59068.400 r NULL 1355.972 174.875 19.669 0.140 0x00
OBS: 59068.400 i NULL 1902.355 154.154 19.302 0.088 0x00
OBS: 59068.441 X 544.0 730.187 171.239 20.341 0.255 0x00
OBS: 59069.410 Y 544.0 1470.047 105.842 19.612 0.083 0x00
OBS: 59071.370 i NULL 2212.173 162.068 19.138 0.080 0x00
OBS: 59072.316 Y 544.0 1776.585 84.950 19.377 0.052 0x00
OBS: 59072.356 X 1067.0 432.265 87.956 20.924 0.225 0x00
OBS: 59073.330 z NULL 1992.076 246.983 19.252 0.135 0x00
OBS: 59073.347 X 1241.33 433.633 79.927 20.953 0.220 0x00
OBS: 59075.312 Y 544.0 882.165 71.463 20.136 0.088 0x00
OBS: 59076.295 X 544.0 260.901 64.623 21.459 0.269 0x00
OBS: 59077.305 Y 544.0 1297.994 193.117 19.717 0.162 0x00
OBS: 59077.368 X 1590.0 361.731 69.433 21.133 0.219 0x00
OBS: 59077.370 i NULL 1277.425 119.270 19.734 0.101 0x00
OBS: 59078.299 Y 544.0 786.873 77.056 20.262 0.106 0x00
OBS: 59079.309 Y 544.0 549.301 72.905 20.665 0.148 0x00
OBS: 59080.322 Y 544.0 834.193 97.875 20.198 0.128 0x00
OBS: 59080.360 r NULL 958.941 124.056 20.046 0.140 0x00
OBS: 59081.304 X 892.67 412.311 75.591 20.973 0.204 0x00
OBS: 59081.367 Y 544.0 711.123 89.325 20.370 0.136 0x00
OBS: 59085.318 Y 544.0 658.533 68.255 20.457 0.113 0x00
OBS: 59085.320 X 1241.33 308.469 68.418 21.314 0.258 0x00
OBS: 59086.316 Y 544.0 695.135 80.331 20.395 0.125 0x00
OBS: 59088.281 X 1590.0 558.202 136.507 20.633 0.266 0x00
OBS: 59088.365 Y 544.0 503.644 96.469 20.745 0.208 0x00
OBS: 59089.433 Y 544.0 538.998 122.963 20.671 0.248 0x00
OBS: 59090.370 i NULL 1038.505 142.578 19.959 0.149 0x00
OBS: 59098.430 i NULL 1674.109 134.380 19.441 0.087 0x00
OBS: 59101.300 z NULL 1249.457 243.409 19.758 0.212 0x00
OBS: 59103.380 i NULL 1369.023 146.860 19.659 0.116 0x00
END:
