SURVEY:  YSE
SNID:  2020psv
otherID: 
IAUC:    UNKNOWN
RA:        5.3248880  deg
DECL:       21.0710290  deg
MWEBV:    0.040 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: 0.0934 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.1160 +- 0.016 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J002118.188+210414.358 
VETTED_PS1_OBJID: 133280053257585360 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 3.306 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (5.3257772, 21.0706607) 
VETTED_HOST_GALAXY_NAME: WISEA J002118.18+210414.3 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0935 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59055.422
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -19.195
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 99.9
PARSNIP_S1: 0.524 +- 0.045
PARSNIP_S2: -0.39 +- 0.076
PARSNIP_S3: 1.078 +- 0.056
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 100.0
SET_ZTF_FP: 27.500
PEAK_SNR: 42.158
MAX_MJD_GAP(days): 9.980
NOBS_BEFORE_PEAK: 12
NOBS_TO_PEAK: 13
NOBS_AFTER_PEAK: 53
SEARCH_PEAKMAG: 18.962
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 19.022
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020psv.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.231 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 66
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59046.442 Y 551 627.764 70.042 20.506 0.121 0x00
OBS: 59046.464 X 551 787.434 65.903 20.259 0.091 0x00
OBS: 59047.466 X 551 911.356 58.418 20.101 0.070 0x00
OBS: 59048.484 X 551 1072.792 81.731 19.924 0.083 0x00
OBS: 59049.406 Y 551 1349.309 77.029 19.675 0.062 0x00
OBS: 59049.460 X 551 1595.107 66.233 19.493 0.045 0x00
OBS: 59050.480 Y 551 1671.801 90.088 19.442 0.059 0x00
OBS: 59051.560 g NULL 2097.901 67.767 19.196 0.035 0x00
OBS: 59051.560 r NULL 1836.305 64.992 19.340 0.038 0x00
OBS: 59052.421 Y 551 2138.177 74.241 19.175 0.038 0x00
OBS: 59052.474 X 551 2061.363 81.722 19.215 0.043 0x00
OBS: 59054.498 X 551 2441.941 161.892 19.031 0.072 0x00
OBS: 59055.422 X 551 2601.685 77.443 18.962 0.032 0x00
OBS: 59055.473 Y 551 2240.783 102.977 19.125 0.049 0x00
OBS: 59055.540 r NULL 2375.203 56.340 19.061 0.026 0x00
OBS: 59055.540 g NULL 2465.895 66.763 19.020 0.029 0x00
OBS: 59056.482 Y 551 2407.975 85.246 19.046 0.038 0x00
OBS: 59059.421 X 551 2457.597 74.513 19.024 0.033 0x00
OBS: 59059.460 Y 551 2271.019 78.395 19.109 0.037 0x00
OBS: 59060.500 r NULL 2401.336 74.957 19.049 0.034 0x00
OBS: 59060.500 i NULL 1733.655 68.659 19.403 0.043 0x00
OBS: 59061.366 Y 551 2461.529 110.669 19.022 0.049 0x00
OBS: 59063.380 Y 551 1995.014 173.572 19.252 0.095 0x00
OBS: 59063.449 X 551 2065.668 148.947 19.212 0.078 0x00
OBS: 59064.372 Y 551 2086.062 202.470 19.202 0.105 0x00
OBS: 59064.520 r NULL 1917.286 97.575 19.293 0.055 0x00
OBS: 59064.520 i NULL 1183.291 91.246 19.817 0.084 0x00
OBS: 59065.409 Y 551 1869.004 221.587 19.321 0.129 0x00
OBS: 59066.408 X 551 1465.027 193.326 19.599 0.146 0x00
OBS: 59066.461 Y 551 1937.795 172.865 19.282 0.097 0x00
OBS: 59069.380 X 551 1429.096 151.261 19.612 0.115 0x00
OBS: 59069.420 Y 551 1622.427 139.535 19.475 0.093 0x00
OBS: 59071.477 X 551 1035.601 96.550 19.962 0.101 0x00
OBS: 59072.426 X 551 845.546 94.710 20.187 0.122 0x00
OBS: 59072.479 Y 551 1243.519 88.618 19.763 0.077 0x00
OBS: 59073.411 X 551 614.341 82.105 20.529 0.145 0x00
OBS: 59073.483 Y 551 1185.923 92.995 19.815 0.085 0x00
OBS: 59073.600 i NULL 969.303 79.464 20.034 0.089 0x00
OBS: 59074.387 Y 551 1370.394 339.413 19.658 0.269 0x00
OBS: 59075.378 X 551 586.532 72.983 20.580 0.135 0x00
OBS: 59075.474 Y 551 1205.199 81.145 19.804 0.074 0x00
OBS: 59076.396 Y 551 1165.703 86.885 19.845 0.083 0x00
OBS: 59076.469 X 551 456.683 76.584 20.865 0.186 0x00
OBS: 59077.414 X 551 441.283 63.451 20.902 0.163 0x00
OBS: 59077.463 Y 551 1071.538 73.212 19.926 0.074 0x00
OBS: 59077.470 i NULL 1006.175 57.211 19.993 0.062 0x00
OBS: 59077.470 g NULL 461.723 48.945 20.839 0.115 0x00
OBS: 59079.411 Y 551 1005.131 74.483 19.995 0.081 0x00
OBS: 59079.466 X 551 319.291 67.250 21.240 0.229 0x00
OBS: 59079.490 g NULL 289.930 50.507 21.344 0.189 0x00
OBS: 59079.490 r NULL 869.226 61.313 20.152 0.077 0x00
OBS: 59080.356 Y 551 849.779 85.001 20.177 0.109 0x00
OBS: 59081.410 Y 551 939.549 81.255 20.068 0.094 0x00
OBS: 59082.418 X 551 319.803 75.263 21.238 0.256 0x00
OBS: 59082.462 Y 551 554.774 127.146 20.640 0.249 0x00
OBS: 59084.486 Y 551 581.798 75.313 20.588 0.141 0x00
OBS: 59084.600 g NULL 351.620 55.004 21.135 0.170 0x00
OBS: 59084.600 i NULL 712.579 80.056 20.368 0.122 0x00
OBS: 59085.464 Y 551 561.866 67.784 20.626 0.131 0x00
OBS: 59086.378 Y 551 659.066 70.757 20.453 0.116 0x00
OBS: 59087.376 Y 551 733.451 86.591 20.337 0.128 0x00
OBS: 59088.395 Y 551 446.809 77.837 20.875 0.189 0x00
OBS: 59089.437 Y 551 435.277 84.905 20.903 0.212 0x00
OBS: 59093.420 i NULL 523.403 103.017 20.703 0.214 0x00
OBS: 59103.400 z NULL 357.500 87.124 21.117 0.265 0x00
OBS: 59107.540 i NULL 300.354 69.699 21.306 0.252 0x00
END:
