SURVEY:  YSE
SNID:  2020qkx
otherID: 
IAUC:    UNKNOWN
RA:        5.6268340  deg
DECL:       26.7023560  deg
MWEBV:    0.030 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.1270 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.2240 +- 0.062 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J002230.598+264209.528 
VETTED_PS1_OBJID: 140040056275073672 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 2.401 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (5.6275184, 26.7026463) 
VETTED_HOST_GALAXY_NAME: WISEA J002230.80+264209.3 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59068.460
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -19.813
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.056 +- 0.038
PARSNIP_S2: 0.509 +- 0.113
PARSNIP_S3: 1.394 +- 0.084
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 93.7
SET_ZTF_FP: 27.500
PEAK_SNR: 32.656
MAX_MJD_GAP(days): 45.063
NOBS_BEFORE_PEAK: 33
NOBS_TO_PEAK: 34
NOBS_AFTER_PEAK: 62
SEARCH_PEAKMAG: 19.060
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 19.113
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020qkx.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0009
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.098 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 96
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59051.446 X 601 339.418 59.603 21.187 0.194 0x00
OBS: 59052.421 Y 601 381.508 64.378 21.046 0.183 0x00
OBS: 59052.476 X 601 416.612 61.241 20.951 0.161 0x00
OBS: 59053.436 X 601 696.191 56.879 20.393 0.089 0x00
OBS: 59053.458 Y 601 515.036 56.823 20.720 0.120 0x00
OBS: 59054.421 Y 601 694.320 66.601 20.397 0.105 0x00
OBS: 59054.477 X 601 879.893 62.050 20.139 0.077 0x00
OBS: 59055.422 X 601 1012.032 68.880 19.987 0.074 0x00
OBS: 59055.469 Y 601 885.665 84.141 20.134 0.102 0x00
OBS: 59055.540 i NULL 777.409 46.367 20.273 0.065 0x00
OBS: 59055.540 g NULL 1023.398 56.823 19.975 0.060 0x00
OBS: 59056.444 X 601 1381.384 61.879 19.649 0.049 0x00
OBS: 59056.473 Y 601 1190.108 63.019 19.811 0.057 0x00
OBS: 59057.434 X 601 1445.850 65.596 19.600 0.049 0x00
OBS: 59057.446 Y 601 1194.542 66.909 19.809 0.061 0x00
OBS: 59059.420 X 601 1878.590 67.394 19.315 0.039 0x00
OBS: 59059.461 Y 601 1526.441 68.102 19.541 0.048 0x00
OBS: 59060.439 Y 601 1616.703 67.867 19.479 0.046 0x00
OBS: 59060.466 X 601 1984.442 62.874 19.256 0.034 0x00
OBS: 59061.395 Y 601 1771.679 92.203 19.381 0.057 0x00
OBS: 59061.465 X 601 2241.758 68.648 19.124 0.033 0x00
OBS: 59062.439 X 601 2178.348 105.818 19.155 0.053 0x00
OBS: 59063.394 Y 601 1897.404 138.455 19.306 0.079 0x00
OBS: 59063.461 X 601 2213.109 122.709 19.138 0.060 0x00
OBS: 59064.394 Y 601 1830.192 185.577 19.344 0.110 0x00
OBS: 59064.510 r NULL 1896.878 163.393 19.305 0.094 0x00
OBS: 59064.520 i NULL 1395.282 137.013 19.638 0.107 0x00
OBS: 59065.422 Y 601 1994.763 205.316 19.255 0.112 0x00
OBS: 59065.460 X 601 1906.264 260.254 19.300 0.148 0x00
OBS: 59066.418 X 601 2207.965 184.429 19.140 0.091 0x00
OBS: 59067.398 X 601 2106.331 165.712 19.191 0.085 0x00
OBS: 59067.435 Y 601 2164.766 132.467 19.161 0.066 0x00
OBS: 59068.383 Y 601 2113.501 135.783 19.187 0.070 0x00
