SURVEY:  YSE
SNID:  2020sck
otherID: 
IAUC:    UNKNOWN
RA:        17.6451350  deg
DECL:       2.1139410  deg
MWEBV:    0.026 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0170 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0150 +- 0.007 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J011034.991+020650.773 
VETTED_PS1_OBJID: 110530176458157382 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 2.516 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (17.6458101, 2.1140961) 
VETTED_HOST_GALAXY_NAME: UM 306 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0164 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59099.392
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -18.087
SPEC_CLASS: SN Iax
SPEC_CLASS_BROAD: Other
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 76.8
PARSNIP_S1: 0.415 +- 0.019
PARSNIP_S2: 0.383 +- 0.03
PARSNIP_S3: 0.721 +- 0.018
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 59.4
SET_ZTF_FP: 27.500
PEAK_SNR: 141.569
MAX_MJD_GAP(days): 13.040
NOBS_BEFORE_PEAK: 11
NOBS_TO_PEAK: 12
NOBS_AFTER_PEAK: 191
SEARCH_PEAKMAG: 16.252
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 16.400
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020sck.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.431 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 203
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59086.396 Y 946.0 1170.282 80.927 19.839 0.076 0x00
OBS: 59086.462 X 449.0 1510.848 76.967 19.552 0.055 0x00
OBS: 59088.417 Y 946.0 6325.367 117.656 17.998 0.020 0x00
OBS: 59089.379 X 946.0 10506.414 131.649 17.447 0.014 0x00
OBS: 59090.368 X 1111.67 14267.263 168.685 17.114 0.013 0x00
OBS: 59091.366 X 1111.67 16824.500 196.445 16.935 0.013 0x00
OBS: 59092.364 X 1111.67 20187.003 243.893 16.737 0.013 0x00
OBS: 59093.436 X 449.0 23875.971 274.846 16.555 0.012 0x00
OBS: 59093.470 i NULL 15711.122 163.355 17.009 0.011 0x00
OBS: 59093.480 r NULL 19430.203 171.590 16.779 0.010 0x00
OBS: 59094.394 Y 449.0 24078.265 361.100 16.546 0.016 0x00
OBS: 59099.392 X 449.0 31560.967 278.775 16.252 0.010 0x00
OBS: 59102.436 Y 449.0 26676.928 599.433 16.435 0.024 0x00
OBS: 59103.450 i NULL 19938.354 178.970 16.751 0.010 0x00
OBS: 59103.450 g NULL 25971.352 188.339 16.464 0.008 0x00
OBS: 59104.412 Y 449.0 27554.895 294.435 16.400 0.012 0x00
OBS: 59107.376 X 449.0 19072.445 184.571 16.799 0.011 0x00
OBS: 59107.418 Y 449.0 25040.048 223.561 16.503 0.010 0x00
OBS: 59107.540 i NULL 19875.784 140.396 16.754 0.008 0x00
OBS: 59107.540 g NULL 17954.327 168.011 16.865 0.010 0x00
OBS: 59110.337 X 449.0 12671.571 150.509 17.243 0.013 0x00
OBS: 59110.440 Y 449.0 24030.628 203.821 16.548 0.009 0x00
OBS: 59112.404 Y 449.0 23343.849 168.649 16.580 0.008 0x00
OBS: 59113.342 Y 449.0 22450.811 175.349 16.622 0.008 0x00
OBS: 59113.386 X 449.0 8170.215 114.815 17.719 0.015 0x00
OBS: 59114.339 X 449.0 7227.694 108.781 17.853 0.016 0x00
OBS: 59114.403 Y 449.0 21093.072 168.995 16.690 0.009 0x00
OBS: 59115.359 Y 449.0 19463.959 161.044 16.777 0.009 0x00
OBS: 59115.422 X 449.0 6915.904 109.736 17.900 0.017 0x00
OBS: 59116.308 X 449.0 6074.714 109.457 18.041 0.020 0x00
OBS: 59116.387 Y 449.0 18689.934 159.579 16.822 0.009 0x00
OBS: 59117.331 X 449.0 5701.214 90.770 18.110 0.017 0x00
OBS: 59117.356 Y 449.0 17388.826 147.991 16.899 0.009 0x00
OBS: 59118.320 Y 449.0 16546.210 156.610 16.953 0.010 0x00
OBS: 59118.375 X 449.0 5473.019 93.364 18.154 0.019 0x00
OBS: 59118.440 r NULL 14722.316 130.015 17.080 0.010 0x00
OBS: 59118.440 z NULL 15207.452 171.063 17.045 0.012 0x00
OBS: 59119.358 X 449.0 4757.877 144.069 18.306 0.033 0x00
OBS: 59119.380 Y 449.0 16544.953 172.421 16.953 0.011 0x00
OBS: 59120.387 X 449.0 4733.042 138.588 18.312 0.032 0x00
OBS: 59120.497 Y 449.0 13983.480 189.343 17.136 0.015 0x00
OBS: 59121.308 X 449.0 4134.389 213.464 18.459 0.056 0x00
OBS: 59122.335 X 449.0 4204.073 311.216 18.441 0.080 0x00
OBS: 59128.460 r NULL 9269.849 153.584 17.582 0.018 0x00
OBS: 59128.460 z NULL 9902.164 217.795 17.511 0.024 0x00
OBS: 59129.269 Y 449.0 9881.593 156.097 17.513 0.017 0x00
OBS: 59129.347 X 449.0 3207.680 138.478 18.735 0.047 0x00
OBS: 59131.423 Y 449.0 8943.551 171.956 17.621 0.021 0x00
OBS: 59134.275 X 449.0 2893.747 100.460 18.846 0.038 0x00
OBS: 59134.322 Y 449.0 8050.078 124.604 17.735 0.017 0x00
OBS: 59136.309 Y 449.0 8252.732 120.825 17.709 0.016 0x00
