SURVEY:  YSE
SNID:  2020sgy
otherID: 
IAUC:    UNKNOWN
RA:        60.9143080  deg
DECL:       -7.2375550  deg
MWEBV:    0.071 +- 0.004 MW E(B-V)
REDSHIFT_FINAL: 0.2040 +- 0.077 (PHOTO-Z, HELIO)
PHOTO_Z: 0.2040 +- 0.077 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J040339.385-071414.653 
VETTED_PS1_OBJID: 99310609141405462 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 0.994 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (60.9140757, -7.2374022) 
VETTED_HOST_GALAXY_NAME: WISEA J040339.04-071412.7 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59094.832
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.056 +- 0.041
PARSNIP_S2: 0.534 +- 0.124
PARSNIP_S3: 1.425 +- 0.082
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 99.1
SET_ZTF_FP: 27.500
PEAK_SNR: 34.506
MAX_MJD_GAP(days): 9.950
NOBS_BEFORE_PEAK: 16
NOBS_TO_PEAK: 17
NOBS_AFTER_PEAK: 38
SEARCH_PEAKMAG: 19.012
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 19.152
PEAKFLT_YSE-r/ZTF-r(Y): r
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020sgy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.383 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 55
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59084.463 X 353.0 496.225 90.794 20.761 0.199 0x00
OBS: 59085.446 X 353.0 550.387 94.735 20.648 0.187 0x00
OBS: 59085.485 Y 353.0 610.004 80.063 20.537 0.142 0x00
OBS: 59086.448 Y 353.0 642.359 79.160 20.481 0.134 0x00
OBS: 59087.449 Y 353.0 791.046 123.757 20.254 0.170 0x00
OBS: 59087.480 X 353.0 1126.735 103.803 19.870 0.100 0x00
OBS: 59088.494 X 353.0 1246.312 107.347 19.761 0.094 0x00
OBS: 59089.471 Y 353.0 1253.849 139.353 19.754 0.121 0x00
OBS: 59090.430 X 353.0 1435.194 111.407 19.608 0.084 0x00
OBS: 59090.483 Y 353.0 1294.249 97.657 19.720 0.082 0x00
OBS: 59091.455 X 353.0 1808.084 76.710 19.357 0.046 0x00
OBS: 59091.482 Y 353.0 1522.800 71.326 19.543 0.051 0x00
OBS: 59092.449 X 875.5 2081.487 196.533 19.204 0.102 0x00
OBS: 59093.439 X 353.0 1920.470 283.837 19.291 0.160 0x00
OBS: 59093.482 Y 353.0 1318.842 230.356 19.700 0.190 0x00
OBS: 59094.442 Y 353.0 1967.205 322.697 19.274 0.183 0x00
OBS: 59094.832 X 353.0 2484.181 272.043 19.012 0.119 0x00
OBS: 59095.466 Y 353.0 1955.077 234.870 19.272 0.130 0x00
OBS: 59096.421 Y 353.0 2129.108 226.702 19.180 0.116 0x00
OBS: 59099.418 X 353.0 2306.441 553.262 19.093 0.260 0x00
OBS: 59105.610 r NULL 2184.246 63.300 19.152 0.031 0x00
OBS: 59105.610 g NULL 2048.728 100.601 19.221 0.053 0x00
OBS: 59107.550 i NULL 1424.545 63.904 19.616 0.049 0x00
OBS: 59107.550 g NULL 1875.146 74.217 19.317 0.043 0x00
OBS: 59108.480 Y 353.0 1975.133 125.535 19.261 0.069 0x00
OBS: 59108.504 X 353.0 1793.865 124.290 19.366 0.075 0x00
OBS: 59110.600 r NULL 1778.278 61.777 19.375 0.038 0x00
OBS: 59110.600 g NULL 1571.512 70.105 19.509 0.048 0x00
OBS: 59111.379 X 353.0 1473.039 102.798 19.579 0.076 0x00
OBS: 59111.421 Y 353.0 1651.341 95.237 19.455 0.063 0x00
OBS: 59115.630 i NULL 954.756 83.883 20.050 0.095 0x00
OBS: 59115.630 g NULL 1064.801 71.422 19.932 0.073 0x00
OBS: 59116.417 Y 353.0 1072.123 96.509 19.924 0.098 0x00
OBS: 59116.502 X 353.0 975.545 76.662 20.027 0.085 0x00
OBS: 59119.459 Y 353.0 1151.972 70.940 19.846 0.067 0x00
OBS: 59119.485 X 353.0 755.765 60.120 20.304 0.086 0x00
OBS: 59119.610 r NULL 1139.538 58.922 19.858 0.056 0x00
OBS: 59119.610 i NULL 924.606 95.302 20.085 0.112 0x00
OBS: 59123.358 Y 353.0 1278.344 272.739 19.733 0.232 0x00
OBS: 59123.580 i NULL 788.132 79.597 20.259 0.110 0x00
OBS: 59124.359 Y 353.0 1420.076 256.818 19.619 0.196 0x00
OBS: 59125.465 Y 353.0 1241.673 201.044 19.765 0.176 0x00
OBS: 59129.462 Y 353.0 770.469 148.159 20.283 0.209 0x00
OBS: 59130.550 z NULL 762.793 91.561 20.294 0.130 0x00
OBS: 59134.458 Y 353.0 796.696 114.650 20.247 0.156 0x00
OBS: 59136.493 Y 353.0 628.244 88.761 20.505 0.153 0x00
OBS: 59138.520 g NULL 231.055 51.766 21.591 0.243 0x00
OBS: 59138.520 i NULL 626.695 55.217 20.507 0.096 0x00
OBS: 59139.361 Y 353.0 654.632 109.322 20.460 0.181 0x00
OBS: 59142.540 r NULL 443.378 40.303 20.883 0.099 0x00
OBS: 59142.550 g NULL 177.163 39.655 21.879 0.243 0x00
OBS: 59143.353 Y 353.0 560.325 79.326 20.629 0.154 0x00
OBS: 59148.540 r NULL 379.155 55.408 21.053 0.159 0x00
OBS: 59148.540 z NULL 510.947 95.779 20.729 0.204 0x00
OBS: 59158.490 r NULL 273.923 62.321 21.406 0.247 0x00
END:
