SURVEY:  YSE
SNID:  2020tyl
otherID: 
IAUC:    UNKNOWN
RA:        7.0203750  deg
DECL:       24.8671030  deg
MWEBV:    0.028 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.2080 +- 0.065 (PHOTO-Z, HELIO)
PHOTO_Z: 0.2080 +- 0.065 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J002804.846+245200.770 
VETTED_PS1_OBJID: 137840070200460609 
VETTED_HOST_GALAXY_STATUS: S 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 0.956 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (7.0204632, 24.8673559) 
VETTED_HOST_GALAXY_NAME: nan (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59125.389
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.038 +- 0.078
PARSNIP_S2: 0.458 +- 0.193
PARSNIP_S3: 1.104 +- 0.135
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 75.1
SET_ZTF_FP: 27.500
PEAK_SNR: 14.882
MAX_MJD_GAP(days): 21.695
NOBS_BEFORE_PEAK: 26
NOBS_TO_PEAK: 27
NOBS_AFTER_PEAK: 22
SEARCH_PEAKMAG: 19.753
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 19.874
PEAKFLT_YSE-r/ZTF-r(Y): r
FILTERS: XiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020tyl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0014
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.841 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 49
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59109.360 i NULL 261.662 46.276 21.456 0.192 0x00
OBS: 59112.316 X 601 336.468 57.423 21.183 0.185 0x00
OBS: 59112.400 Y 601 489.153 63.958 20.776 0.142 0x00
OBS: 59113.280 Y 601 475.453 79.317 20.807 0.181 0x00
OBS: 59113.390 X 601 538.777 63.579 20.671 0.128 0x00
OBS: 59113.480 r NULL 529.176 78.304 20.691 0.161 0x00
OBS: 59113.480 g NULL 570.913 60.368 20.609 0.115 0x00
OBS: 59114.323 X 601 653.027 57.078 20.463 0.095 0x00
OBS: 59115.312 Y 601 536.801 74.223 20.676 0.150 0x00
OBS: 59115.427 X 601 594.092 72.265 20.565 0.132 0x00
OBS: 59116.264 X 601 589.166 71.750 20.574 0.132 0x00
OBS: 59116.363 Y 601 656.375 71.323 20.457 0.118 0x00
OBS: 59117.270 X 601 728.139 91.674 20.344 0.137 0x00
OBS: 59117.370 i NULL 343.406 73.755 21.160 0.233 0x00
OBS: 59117.372 Y 601 733.929 68.175 20.336 0.101 0x00
OBS: 59118.297 Y 601 873.357 82.875 20.153 0.105 0x00
OBS: 59118.373 X 601 656.241 59.957 20.457 0.099 0x00
OBS: 59119.337 X 601 917.534 120.950 20.093 0.143 0x00
OBS: 59119.360 i NULL 689.080 68.722 20.404 0.108 0x00
OBS: 59119.360 r NULL 728.274 48.937 20.344 0.073 0x00
OBS: 59120.263 X 601 1061.284 166.861 19.935 0.171 0x00
OBS: 59121.307 X 601 958.631 158.590 20.046 0.180 0x00
OBS: 59121.520 r NULL 1123.290 141.341 19.874 0.137 0x00
OBS: 59122.255 X 601 1086.218 225.306 19.910 0.225 0x00
OBS: 59123.382 X 601 1136.590 274.325 19.861 0.262 0x00
OBS: 59125.304 Y 601 1044.182 197.323 19.953 0.205 0x00
OBS: 59125.389 X 601 1255.313 227.033 19.753 0.196 0x00
OBS: 59127.393 Y 601 1082.169 202.438 19.914 0.203 0x00
OBS: 59128.470 r NULL 931.724 89.819 20.077 0.105 0x00
OBS: 59128.470 i NULL 606.479 110.444 20.543 0.198 0x00
OBS: 59129.236 Y 601 865.048 95.337 20.157 0.120 0x00
OBS: 59129.334 X 601 918.454 114.919 20.092 0.136 0x00
OBS: 59131.235 Y 601 725.665 77.535 20.348 0.116 0x00
OBS: 59131.340 X 601 869.978 117.823 20.151 0.147 0x00
OBS: 59131.440 g NULL 767.430 100.409 20.287 0.142 0x00
OBS: 59134.266 X 601 620.787 68.285 20.518 0.119 0x00
OBS: 59134.300 Y 601 755.893 78.990 20.304 0.113 0x00
OBS: 59136.301 Y 601 740.200 71.789 20.327 0.105 0x00
OBS: 59137.460 g NULL 509.590 48.118 20.732 0.103 0x00
OBS: 59137.460 i NULL 490.606 52.466 20.773 0.116 0x00
OBS: 59138.234 X 601 598.550 84.099 20.557 0.153 0x00
OBS: 59138.277 Y 601 673.541 89.181 20.429 0.144 0x00
OBS: 59140.207 X 601 357.416 61.249 21.117 0.186 0x00
OBS: 59140.246 Y 601 590.455 66.296 20.572 0.122 0x00
OBS: 59142.270 g NULL 378.267 66.461 21.056 0.191 0x00
OBS: 59144.215 Y 601 615.780 71.412 20.526 0.126 0x00
OBS: 59144.331 X 601 256.969 50.798 21.475 0.215 0x00
OBS: 59146.450 g NULL 310.240 54.430 21.271 0.190 0x00
OBS: 59168.145 Y 601 331.350 73.294 21.199 0.240 0x00
END:
