SURVEY:  YSE
SNID:  2020uhm
otherID: 
IAUC:    UNKNOWN
RA:        120.3614140  deg
DECL:       36.8192100  deg
MWEBV:    0.044 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: 0.0400 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0920 +- 0.029 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J080126.871+364907.687 
VETTED_PS1_OBJID: 152181203619783281 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 2.082 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (120.3619363, 36.8188331) 
VETTED_HOST_GALAXY_NAME: WISEA J080126.91+364907.1 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59083.496
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -17.253
SPEC_CLASS: SN II
SPEC_CLASS_BROAD: SN II
PARSNIP_PRED: SN II
PARSNIP_CONF: 68.5
PARSNIP_S1: -1.223 +- 0.062
PARSNIP_S2: 0.221 +- 0.097
PARSNIP_S3: -0.831 +- 0.042
SUPERRAENN_PRED: SN II
SUPERRAENN_CONF: 96.3
SET_ZTF_FP: 27.500
PEAK_SNR: 40.243
MAX_MJD_GAP(days): 30.866
NOBS_BEFORE_PEAK: 0
NOBS_TO_PEAK: 1
NOBS_AFTER_PEAK: 85
SEARCH_PEAKMAG: 18.981
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 18.981
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020uhm.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.486 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 86
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59083.496 Y 663.0 2561.603 349.990 18.981 0.150 0x00
OBS: 59083.508 Y 663.0 2108.838 445.594 19.191 0.232 0x00
OBS: 59085.496 Y 663.0 2359.907 191.039 19.068 0.088 0x00
OBS: 59085.508 Y 663.0 2292.911 275.608 19.102 0.131 0x00
OBS: 59087.507 Y 685.5 2359.752 229.183 19.071 0.106 0x00
OBS: 59089.497 Y 663.0 2287.279 229.196 19.102 0.109 0x00
OBS: 59089.512 Y 663.0 2009.214 311.447 19.255 0.172 0x00
OBS: 59091.496 Y 685.5 2245.304 130.461 19.124 0.063 0x00
OBS: 59091.506 Y 685.5 2396.743 148.751 19.053 0.067 0x00
OBS: 59092.517 X 663.0 2119.308 337.161 19.185 0.173 0x00
OBS: 59093.498 Y 685.5 2348.982 251.209 19.092 0.120 0x00
OBS: 59093.509 Y 672.0 2057.811 261.529 19.219 0.139 0x00
OBS: 59095.498 Y 685.5 2344.735 246.248 19.075 0.114 0x00
OBS: 59095.510 Y 685.5 2475.812 269.970 19.023 0.120 0x00
OBS: 59122.510 Y 685.5 2241.240 139.676 19.125 0.068 0x00
OBS: 59124.440 Y 685.5 2457.129 221.438 19.028 0.099 0x00
OBS: 59124.525 X 678.0 1241.373 205.385 19.783 0.189 0x00
OBS: 59126.498 X 663.0 1195.036 148.400 19.807 0.135 0x00
OBS: 59126.509 Y 663.0 2328.048 139.852 19.083 0.065 0x00
OBS: 59128.460 X 685.5 1035.172 227.175 19.987 0.243 0x00
OBS: 59128.516 Y 685.5 2397.241 221.425 19.053 0.099 0x00
OBS: 59130.471 Y 685.5 2306.362 154.547 19.093 0.073 0x00
OBS: 59130.491 X 685.5 1095.265 147.458 19.907 0.147 0x00
OBS: 59135.458 X 685.5 901.570 77.550 20.113 0.094 0x00
OBS: 59135.494 Y 708.0 2246.736 94.112 19.121 0.045 0x00
OBS: 59135.506 Y 663.0 2023.746 111.780 19.235 0.060 0x00
OBS: 59137.466 X 685.5 876.892 77.853 20.144 0.097 0x00
OBS: 59137.505 Y 685.5 2199.451 95.950 19.144 0.047 0x00
OBS: 59139.438 X 685.5 981.771 106.905 20.025 0.119 0x00
OBS: 59139.486 Y 663.0 2351.772 108.322 19.072 0.050 0x00
OBS: 59139.509 Y 708.0 2530.809 102.437 18.992 0.044 0x00
