SURVEY:  YSE
SNID:  2021arl
otherID: 
IAUC:    UNKNOWN
RA:        185.7504250  deg
DECL:       18.5935780  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0690 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0760 +- 0.029 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J122300.087+183537.317 
VETTED_PS1_OBJID: 130311857503652954 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 0.224 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (185.7503675, 18.5937071) 
VETTED_HOST_GALAXY_NAME: WISEA J122300.08+183537.2 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0688 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59243.510
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -19.15
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.014 +- 0.037
PARSNIP_S2: 0.365 +- 0.077
PARSNIP_S3: 1.3 +- 0.049
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 100.0
SET_ZTF_FP: 27.500
PEAK_SNR: 46.605
MAX_MJD_GAP(days): 12.053
NOBS_BEFORE_PEAK: 6
NOBS_TO_PEAK: 7
NOBS_AFTER_PEAK: 49
SEARCH_PEAKMAG: 18.313
SEARCH_PEAKFLT: r
PEAKMAG_YSE-r/ZTF-r(Y): 18.313
PEAKFLT_YSE-r/ZTF-r(Y): r
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021arl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.403 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 56
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59222.580 g NULL 268.924 54.547 21.426 0.220 0x00
OBS: 59229.506 Y 576 598.808 112.055 20.557 0.203 0x00
OBS: 59230.550 r NULL 719.303 74.463 20.358 0.112 0x00
OBS: 59230.550 g NULL 686.108 57.878 20.409 0.092 0x00
OBS: 59231.457 X 576 909.152 54.273 20.103 0.065 0x00
OBS: 59243.510 i NULL 3040.318 181.031 18.793 0.065 0x00
OBS: 59243.510 r NULL 4730.591 208.162 18.313 0.048 0x00
OBS: 59248.439 Y 576 4471.618 108.824 18.374 0.026 0x00
OBS: 59250.357 X 576 3190.811 111.879 18.740 0.038 0x00
OBS: 59250.403 Y 576 3636.519 117.718 18.598 0.035 0x00
OBS: 59252.332 Y 576 3621.752 78.581 18.603 0.024 0x00
OBS: 59252.487 X 576 3196.744 68.592 18.738 0.023 0x00
OBS: 59254.424 Y 576 3031.815 164.622 18.796 0.059 0x00
OBS: 59256.421 Y 576 3062.749 74.608 18.785 0.026 0x00
OBS: 59256.470 i NULL 1587.576 75.399 19.498 0.052 0x00
OBS: 59256.480 g NULL 2521.997 71.309 18.996 0.031 0x00
OBS: 59256.491 X 576 2332.977 76.491 19.080 0.036 0x00
OBS: 59260.401 Y 576 2555.501 113.772 18.981 0.048 0x00
OBS: 59260.485 X 576 1830.668 298.334 19.343 0.177 0x00
OBS: 59261.460 i NULL 1721.808 81.769 19.410 0.052 0x00
OBS: 59261.460 g NULL 1833.410 105.217 19.342 0.062 0x00
OBS: 59263.358 X 576 1187.722 122.520 19.813 0.112 0x00
OBS: 59265.374 Y 576 2188.971 84.836 19.149 0.042 0x00
OBS: 59265.399 X 576 1063.987 62.461 19.933 0.064 0x00
OBS: 59267.419 Y 576 2311.183 115.832 19.090 0.054 0x00
OBS: 59269.373 Y 576 2346.846 113.562 19.074 0.053 0x00
OBS: 59269.436 X 576 696.002 127.641 20.393 0.199 0x00
OBS: 59275.384 Y 576 1818.497 161.861 19.351 0.097 0x00
OBS: 59276.600 z NULL 1798.248 175.001 19.363 0.106 0x00
OBS: 59276.600 r NULL 1509.925 138.903 19.553 0.100 0x00
OBS: 59278.318 X 576 385.043 78.806 21.036 0.222 0x00
OBS: 59278.423 Y 576 1305.072 111.927 19.711 0.093 0x00
OBS: 59281.291 Y 576 1398.182 77.858 19.636 0.060 0x00
OBS: 59291.352 Y 576 750.758 70.787 20.311 0.102 0x00
OBS: 59292.390 i NULL 341.096 82.614 21.168 0.263 0x00
OBS: 59292.390 g NULL 405.567 63.727 20.980 0.171 0x00
OBS: 59293.255 Y 576 840.670 74.562 20.188 0.096 0x00
OBS: 59296.358 Y 576 614.792 126.161 20.528 0.223 0x00
OBS: 59304.319 Y 576 752.285 159.882 20.309 0.231 0x00
OBS: 59305.310 r NULL 637.257 79.500 20.489 0.135 0x00
OBS: 59307.269 Y 576 474.688 67.690 20.809 0.155 0x00
OBS: 59307.298 X 576 252.283 47.831 21.495 0.206 0x00
OBS: 59309.269 Y 576 596.228 58.548 20.561 0.107 0x00
OBS: 59311.311 Y 576 430.142 66.931 20.916 0.169 0x00
OBS: 59311.340 r NULL 382.443 57.934 21.044 0.164 0x00
OBS: 59313.296 Y 576 515.990 112.906 20.718 0.238 0x00
OBS: 59313.300 i NULL 673.920 93.731 20.428 0.151 0x00
OBS: 59314.310 r NULL 677.087 65.456 20.423 0.105 0x00
OBS: 59315.234 Y 576 358.381 50.979 21.114 0.154 0x00
OBS: 59316.450 i NULL 546.928 126.365 20.655 0.251 0x00
OBS: 59317.330 Y 576 389.773 60.942 21.023 0.170 0x00
