SURVEY:  YSE
SNID:  2021bsr
otherID: 
IAUC:    UNKNOWN
RA:        135.0886130  deg
DECL:       23.1455030  deg
MWEBV:    0.028 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0870 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0830 +- 0.021 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J090021.256+230845.886 
VETTED_PS1_OBJID: 135771350885555810 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 2.037 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (135.0885602, 23.1460691) 
VETTED_HOST_GALAXY_NAME: WISEA J090021.24+230845.6 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0872 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59262.215
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -19.37
SPEC_CLASS: SN Ia-91T-like
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 99.5
PARSNIP_S1: -0.323 +- 0.037
PARSNIP_S2: 0.581 +- 0.096
PARSNIP_S3: 0.939 +- 0.056
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 99.4
SET_ZTF_FP: 27.500
PEAK_SNR: 40.962
MAX_MJD_GAP(days): 25.011
NOBS_BEFORE_PEAK: 10
NOBS_TO_PEAK: 11
NOBS_AFTER_PEAK: 31
SEARCH_PEAKMAG: 18.623
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 18.623
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: XiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021bsr.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0016
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.525 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 42
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59249.268 X 618 2492.952 225.003 19.008 0.098 0x00
OBS: 59249.332 Y 618 2001.331 148.564 19.247 0.081 0x00
OBS: 59251.323 Y 618 2874.569 104.030 18.854 0.039 0x00
OBS: 59251.365 X 618 2504.432 90.759 19.003 0.039 0x00
OBS: 59253.256 X 618 2973.231 79.224 18.817 0.029 0x00
OBS: 59253.328 Y 618 3127.335 91.310 18.762 0.032 0x00
OBS: 59255.295 Y 618 3089.301 188.886 18.775 0.066 0x00
OBS: 59257.256 Y 618 3524.742 123.585 18.632 0.038 0x00
OBS: 59257.510 g NULL 3127.211 76.345 18.762 0.027 0x00
OBS: 59257.510 i NULL 2271.965 85.037 19.109 0.041 0x00
OBS: 59262.215 Y 618 3553.615 121.529 18.623 0.037 0x00
OBS: 59262.296 X 618 2774.305 80.945 18.892 0.032 0x00
OBS: 59264.310 Y 618 3446.860 101.155 18.656 0.032 0x00
OBS: 59264.320 X 618 2523.735 83.553 18.995 0.036 0x00
OBS: 59266.255 Y 618 3077.005 162.014 18.780 0.057 0x00
OBS: 59266.276 X 618 2137.382 134.077 19.175 0.068 0x00
OBS: 59268.192 X 618 1926.937 154.302 19.288 0.087 0x00
OBS: 59268.273 Y 618 3155.434 131.998 18.752 0.045 0x00
OBS: 59272.175 X 618 1681.339 325.490 19.436 0.210 0x00
OBS: 59272.322 Y 618 2785.950 275.267 18.888 0.107 0x00
OBS: 59276.277 Y 618 2354.639 111.804 19.070 0.052 0x00
OBS: 59280.233 X 618 736.568 61.450 20.332 0.091 0x00
OBS: 59280.255 Y 618 2032.214 76.788 19.230 0.041 0x00
OBS: 59290.211 X 618 412.124 67.100 20.962 0.177 0x00
OBS: 59290.235 Y 618 1473.888 88.130 19.579 0.065 0x00
OBS: 59291.430 r NULL 992.833 71.142 20.008 0.078 0x00
OBS: 59292.212 Y 618 1195.008 86.659 19.807 0.079 0x00
OBS: 59292.276 X 618 382.410 79.488 21.044 0.226 0x00
OBS: 59294.227 Y 618 1288.831 123.227 19.725 0.104 0x00
OBS: 59306.235 Y 618 1009.961 85.913 19.989 0.092 0x00
OBS: 59306.390 r NULL 697.806 102.261 20.391 0.159 0x00
OBS: 59308.214 Y 618 560.122 90.272 20.629 0.175 0x00
OBS: 59310.197 Y 618 616.290 99.403 20.526 0.175 0x00
OBS: 59312.258 Y 618 562.609 104.537 20.624 0.202 0x00
OBS: 59314.188 Y 618 693.689 86.656 20.397 0.136 0x00
OBS: 59314.320 r NULL 289.357 65.119 21.346 0.244 0x00
OBS: 59316.176 Y 618 501.703 85.868 20.749 0.186 0x00
OBS: 59316.218 X 618 251.368 56.462 21.499 0.244 0x00
OBS: 59318.310 i NULL 323.939 67.883 21.224 0.228 0x00
OBS: 59319.196 Y 618 603.489 96.528 20.548 0.174 0x00
OBS: 59321.193 Y 618 643.232 82.412 20.479 0.139 0x00
OBS: 59346.204 Y 618 448.261 104.441 20.871 0.253 0x00
END:
