SURVEY:  YSE
SNID:  2021cdn
otherID: 
IAUC:    UNKNOWN
RA:        234.7247040  deg
DECL:       7.1347380  deg
MWEBV:    0.042 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: 0.0713 +- 0.005 (HOST-Z, HELIO)
PHOTO_Z: 0.0810 +- 0.019 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J153854.069+070807.189 
VETTED_PS1_OBJID: 116562347252452953 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 2.787 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (234.7252551, 7.135278) 
VETTED_HOST_GALAXY_NAME: WISEA J153854.05+070806.7 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0713 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59358.317
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN II
PARSNIP_CONF: 52.7
PARSNIP_S1: -1.468 +- 0.11
PARSNIP_S2: 1.464 +- 0.197
PARSNIP_S3: -0.711 +- 0.105
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 83.7
SET_ZTF_FP: 27.500
PEAK_SNR: 13.795
MAX_MJD_GAP(days): 22.920
NOBS_BEFORE_PEAK: 27
NOBS_TO_PEAK: 28
NOBS_AFTER_PEAK: 23
SEARCH_PEAKMAG: 19.799
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 19.799
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021cdn.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0018
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.390 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 51
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59252.516 Y 480 484.740 83.279 20.786 0.187 0x00
OBS: 59252.527 X 480 597.478 81.363 20.559 0.148 0x00
OBS: 59254.527 X 480 496.216 111.535 20.761 0.244 0x00
OBS: 59256.510 X 480 381.010 81.651 21.048 0.233 0x00
OBS: 59268.457 Y 480 575.866 115.411 20.599 0.218 0x00
OBS: 59291.378 Y 480 422.025 97.988 20.937 0.252 0x00
OBS: 59295.399 Y 480 615.385 122.371 20.527 0.216 0x00
OBS: 59307.414 Y 480 466.517 102.593 20.828 0.239 0x00
OBS: 59311.462 Y 480 503.557 80.094 20.745 0.173 0x00
OBS: 59317.437 Y 480 649.301 73.803 20.469 0.123 0x00
OBS: 59320.363 X 480 418.340 70.347 20.946 0.183 0x00
OBS: 59322.309 Y 480 788.009 126.810 20.259 0.175 0x00
OBS: 59328.278 Y 480 934.375 177.659 20.074 0.206 0x00
OBS: 59334.355 Y 480 1096.617 137.173 19.900 0.136 0x00
OBS: 59339.317 Y 480 986.298 79.581 20.015 0.088 0x00
OBS: 59339.359 X 480 534.223 82.365 20.681 0.167 0x00
OBS: 59341.281 Y 480 885.483 78.893 20.132 0.097 0x00
OBS: 59341.316 X 480 530.278 64.734 20.689 0.133 0x00
OBS: 59343.278 X 480 512.003 83.336 20.727 0.177 0x00
OBS: 59343.331 Y 480 1065.521 81.683 19.931 0.083 0x00
OBS: 59345.337 Y 480 897.813 87.756 20.117 0.106 0x00
OBS: 59345.378 X 480 438.593 75.717 20.895 0.187 0x00
OBS: 59349.316 Y 480 1097.098 79.527 19.899 0.079 0x00
OBS: 59349.361 X 480 609.322 57.493 20.538 0.102 0x00
OBS: 59352.295 Y 480 1016.083 93.150 19.983 0.100 0x00
OBS: 59352.321 X 480 673.337 71.727 20.429 0.116 0x00
OBS: 59354.291 Y 480 896.209 140.822 20.119 0.171 0x00
OBS: 59358.317 Y 480 1203.534 244.119 19.799 0.220 0x00
OBS: 59361.374 Y 480 1114.085 197.852 19.883 0.193 0x00
OBS: 59363.275 X 480 648.121 141.793 20.471 0.238 0x00
OBS: 59363.336 Y 480 879.488 147.987 20.139 0.183 0x00
OBS: 59367.340 Y 480 880.171 105.280 20.139 0.130 0x00
OBS: 59369.315 Y 480 936.153 74.989 20.072 0.087 0x00
OBS: 59369.357 X 480 485.407 82.237 20.785 0.184 0x00
OBS: 59371.316 Y 480 917.122 82.167 20.094 0.097 0x00
OBS: 59371.450 g NULL 413.309 78.229 20.959 0.206 0x00
OBS: 59371.450 i NULL 1061.272 83.025 19.935 0.085 0x00
OBS: 59373.339 X 480 452.133 82.616 20.862 0.198 0x00
OBS: 59374.460 r NULL 550.019 87.486 20.649 0.173 0x00
OBS: 59375.232 Y 480 734.359 96.735 20.335 0.143 0x00
OBS: 59377.253 Y 480 746.826 85.829 20.317 0.125 0x00
OBS: 59377.490 i NULL 812.935 69.934 20.225 0.093 0x00
OBS: 59379.337 Y 480 698.349 95.562 20.390 0.149 0x00
OBS: 59380.390 r NULL 543.901 84.316 20.661 0.168 0x00
OBS: 59382.280 i NULL 694.228 57.340 20.396 0.090 0x00
OBS: 59383.280 z NULL 570.088 101.489 20.610 0.193 0x00
OBS: 59392.340 i NULL 625.934 57.415 20.509 0.100 0x00
OBS: 59392.340 r NULL 270.579 60.808 21.419 0.244 0x00
OBS: 59400.350 i NULL 260.347 54.962 21.461 0.229 0x00
OBS: 59406.330 i NULL 340.715 53.033 21.169 0.169 0x00
OBS: 59423.290 i NULL 322.659 53.396 21.228 0.180 0x00
END:
