SURVEY:  YSE
SNID:  2021fnt
otherID: 
IAUC:    UNKNOWN
RA:        203.2475960  deg
DECL:       32.6095900  deg
MWEBV:    0.009 +- 0.000 MW E(B-V)
REDSHIFT_FINAL: 0.0358 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0250 +- 0.007 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J133257.542+323618.666 
VETTED_PS1_OBJID: 147122032397726803 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 28.468 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (203.2397829, 32.6052015) 
VETTED_HOST_GALAXY_NAME: CGCG 190-020 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0358 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59293.258
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -17.918
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 86.4
PARSNIP_S1: 0.855 +- 0.046
PARSNIP_S2: -1.094 +- 0.038
PARSNIP_S3: 1.143 +- 0.036
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 69.1
SET_ZTF_FP: 27.500
PEAK_SNR: 60.806
MAX_MJD_GAP(days): 11.970
NOBS_BEFORE_PEAK: 4
NOBS_TO_PEAK: 5
NOBS_AFTER_PEAK: 56
SEARCH_PEAKMAG: 18.069
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 18.069
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021fnt.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.038 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 61
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59291.283 X 674 4606.181 94.791 18.342 0.022 0x00
OBS: 59291.372 Y 674 5565.198 91.524 18.136 0.018 0x00
OBS: 59291.420 i NULL 4389.736 115.707 18.394 0.029 0x00
OBS: 59291.420 g NULL 4483.609 107.486 18.371 0.026 0x00
OBS: 59293.258 Y 674 5919.990 104.976 18.069 0.019 0x00
OBS: 59296.375 Y 674 5585.648 170.830 18.132 0.033 0x00
OBS: 59296.440 i NULL 4217.868 91.857 18.437 0.024 0x00
OBS: 59296.450 g NULL 3313.517 115.843 18.699 0.038 0x00
OBS: 59298.450 r NULL 4973.827 124.227 18.258 0.027 0x00
OBS: 59298.450 z NULL 3558.489 189.147 18.622 0.058 0x00
OBS: 59300.347 X 674 1317.772 292.778 19.700 0.241 0x00
OBS: 59302.259 Y 674 3895.864 236.137 18.523 0.066 0x00
OBS: 59302.341 X 674 1235.855 256.467 19.770 0.225 0x00
OBS: 59304.359 Y 674 3110.546 221.892 18.768 0.077 0x00
OBS: 59306.400 r NULL 2404.814 99.673 19.047 0.045 0x00
OBS: 59306.400 i NULL 2892.262 106.652 18.847 0.040 0x00
OBS: 59307.325 X 674 788.926 64.603 20.257 0.089 0x00
OBS: 59307.354 Y 674 2361.269 80.416 19.067 0.037 0x00
OBS: 59309.287 Y 674 1962.575 85.608 19.268 0.047 0x00
OBS: 59309.305 X 674 577.977 76.600 20.595 0.144 0x00
OBS: 59310.350 g NULL 575.712 71.828 20.599 0.135 0x00
OBS: 59310.360 i NULL 1815.942 79.178 19.352 0.047 0x00
OBS: 59311.287 X 674 564.576 68.131 20.621 0.131 0x00
OBS: 59311.327 Y 674 1589.546 71.974 19.497 0.049 0x00
OBS: 59312.490 g NULL 565.960 74.690 20.618 0.143 0x00
OBS: 59312.490 r NULL 1369.235 71.927 19.659 0.057 0x00
OBS: 59313.262 X 674 414.175 84.335 20.957 0.221 0x00
OBS: 59313.310 Y 674 1487.843 87.539 19.569 0.064 0x00
OBS: 59315.360 g NULL 475.495 82.077 20.807 0.187 0x00
OBS: 59317.269 X 674 342.292 58.739 21.164 0.186 0x00
OBS: 59317.322 Y 674 1132.286 69.581 19.865 0.067 0x00
OBS: 59317.370 r NULL 1170.634 69.269 19.829 0.064 0x00
OBS: 59317.370 g NULL 532.045 81.187 20.685 0.166 0x00
OBS: 59319.370 g NULL 392.796 72.610 21.015 0.201 0x00
OBS: 59319.370 i NULL 1084.896 77.781 19.912 0.078 0x00
OBS: 59321.307 Y 674 924.783 72.775 20.085 0.085 0x00
