SURVEY:  YSE
SNID:  2021gdz
otherID: 
IAUC:    UNKNOWN
RA:        178.3292550  deg
DECL:       20.1085920  deg
MWEBV:    0.028 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0220 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0500 +- 0.030 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J115318.962+200629.752 
VETTED_PS1_OBJID: 132131783288680432 
VETTED_HOST_GALAXY_STATUS: S 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 10.715 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (178.3263468, 20.1074101) 
VETTED_HOST_GALAXY_NAME: [EKL2017] ECO 2415 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0205 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59314.310
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -17.515
SPEC_CLASS: SN II
SPEC_CLASS_BROAD: SN II
PARSNIP_PRED: SN II
PARSNIP_CONF: 47.0
PARSNIP_S1: -0.558 +- 0.031
PARSNIP_S2: 1.372 +- 0.049
PARSNIP_S3: -1.192 +- 0.012
SUPERRAENN_PRED: SN II
SUPERRAENN_CONF: 99.7
SET_ZTF_FP: 27.500
PEAK_SNR: 95.135
MAX_MJD_GAP(days): 10.910
NOBS_BEFORE_PEAK: 9
NOBS_TO_PEAK: 10
NOBS_AFTER_PEAK: 66
SEARCH_PEAKMAG: 17.392
SEARCH_PEAKFLT: r
PEAKMAG_YSE-r/ZTF-r(Y): 17.392
PEAKFLT_YSE-r/ZTF-r(Y): r
FILTERS: zigr
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021gdz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.572 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 76
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59295.530 i NULL 6697.837 102.235 17.935 0.017 0x00
OBS: 59295.540 g NULL 8803.037 131.040 17.638 0.016 0x00
OBS: 59297.490 i NULL 6913.765 165.562 17.901 0.026 0x00
OBS: 59297.490 r NULL 8673.322 199.773 17.655 0.025 0x00
OBS: 59305.310 r NULL 9729.544 122.785 17.530 0.014 0x00
OBS: 59305.310 z NULL 7446.458 141.548 17.820 0.021 0x00
OBS: 59313.300 g NULL 9620.766 119.155 17.542 0.013 0x00
OBS: 59313.300 i NULL 9378.469 119.700 17.570 0.014 0x00
OBS: 59314.300 g NULL 9229.817 132.019 17.587 0.016 0x00
OBS: 59314.310 r NULL 11043.383 124.245 17.392 0.012 0x00
OBS: 59316.450 i NULL 9722.002 164.977 17.531 0.018 0x00
OBS: 59316.450 g NULL 9255.324 179.801 17.584 0.021 0x00
OBS: 59318.440 r NULL 10871.355 124.710 17.409 0.012 0x00
OBS: 59318.440 g NULL 8126.838 105.067 17.725 0.014 0x00
OBS: 59320.470 i NULL 10091.926 119.626 17.490 0.013 0x00
OBS: 59320.480 g NULL 8045.759 113.376 17.736 0.015 0x00
OBS: 59331.390 r NULL 10213.203 207.027 17.477 0.022 0x00
OBS: 59331.400 i NULL 10014.264 201.574 17.498 0.022 0x00
OBS: 59333.420 r NULL 10037.956 105.513 17.496 0.011 0x00
OBS: 59333.430 z NULL 9468.631 158.141 17.559 0.018 0x00
OBS: 59335.400 r NULL 10063.817 134.769 17.493 0.015 0x00
OBS: 59335.400 i NULL 9466.795 132.028 17.559 0.015 0x00
OBS: 59337.260 g NULL 5797.000 105.483 18.092 0.020 0x00
OBS: 59337.270 z NULL 9225.814 147.275 17.587 0.017 0x00
OBS: 59338.270 i NULL 9907.455 140.001 17.510 0.015 0x00
OBS: 59338.270 g NULL 6250.885 107.666 18.010 0.019 0x00
OBS: 59343.260 g NULL 5694.053 71.802 18.111 0.014 0x00
OBS: 59343.260 i NULL 9813.560 110.865 17.520 0.012 0x00
OBS: 59345.260 g NULL 5575.708 92.455 18.134 0.018 0x00
OBS: 59345.260 r NULL 9490.831 111.910 17.557 0.013 0x00
OBS: 59347.360 i NULL 8400.379 102.908 17.689 0.013 0x00
OBS: 59347.370 g NULL 5078.282 96.746 18.236 0.021 0x00
