SURVEY:  YSE
SNID:  2021hem
otherID: 
IAUC:    UNKNOWN
RA:        245.3166770  deg
DECL:       14.5526840  deg
MWEBV:    0.051 +- 0.003 MW E(B-V)
REDSHIFT_FINAL: 0.0350 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0450 +- 0.025 (W/O POSTERIOR)
VETTED_PSO_NAME: No PSO Name Found 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: H 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: -99.000 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME: nan (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59315.442
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -19.894
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: -0.016 +- 0.013
PARSNIP_S2: 0.185 +- 0.029
PARSNIP_S3: 1.32 +- 0.021
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 76.9
SET_ZTF_FP: 27.500
PEAK_SNR: 185.638
MAX_MJD_GAP(days): 13.016
NOBS_BEFORE_PEAK: 16
NOBS_TO_PEAK: 17
NOBS_AFTER_PEAK: 120
SEARCH_PEAKMAG: 16.043
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 16.043
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021hem.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.844 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 137
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59297.420 Y 533 1076.439 147.071 19.920 0.148 0x00
OBS: 59297.444 X 533 915.020 168.056 20.096 0.199 0x00
OBS: 59301.402 Y 533 2863.033 297.035 18.858 0.113 0x00
OBS: 59301.451 X 533 2630.734 310.720 18.950 0.128 0x00
OBS: 59303.389 X 533 5964.891 289.317 18.061 0.053 0x00
OBS: 59303.425 Y 533 6112.374 255.950 18.034 0.045 0x00
OBS: 59306.420 X 533 15046.476 230.374 17.056 0.017 0x00
OBS: 59306.475 Y 533 15155.244 174.134 17.049 0.012 0x00
OBS: 59308.380 X 533 20607.429 166.212 16.715 0.009 0x00
OBS: 59308.457 Y 533 20044.664 153.675 16.745 0.008 0x00
OBS: 59310.421 X 533 27103.506 170.408 16.417 0.007 0x00
OBS: 59310.444 Y 533 25476.268 210.996 16.485 0.009 0x00
OBS: 59310.490 g NULL 25520.764 186.703 16.483 0.008 0x00
OBS: 59310.490 z NULL 15425.053 197.613 17.029 0.014 0x00
OBS: 59312.400 Y 533 28449.444 195.470 16.365 0.007 0x00
OBS: 59312.420 X 533 30689.658 189.665 16.283 0.007 0x00
OBS: 59315.442 Y 533 38278.610 504.424 16.043 0.014 0x00
OBS: 59315.479 X 533 35119.726 497.231 16.136 0.015 0x00
OBS: 59317.500 g NULL 32804.364 176.711 16.210 0.006 0x00
OBS: 59317.500 r NULL 30502.107 167.036 16.289 0.006 0x00
OBS: 59319.389 Y 533 28354.830 218.788 16.368 0.008 0x00
OBS: 59319.435 X 533 32678.087 192.315 16.214 0.006 0x00
OBS: 59321.570 i NULL 20369.804 141.280 16.728 0.008 0x00
OBS: 59321.580 g NULL 29338.915 167.003 16.331 0.006 0x00
OBS: 59322.310 Y 533 29156.879 222.656 16.338 0.008 0x00
OBS: 59322.354 X 533 30186.188 185.494 16.300 0.007 0x00
OBS: 59324.338 Y 533 27695.953 197.993 16.394 0.008 0x00
OBS: 59324.380 X 533 26663.739 189.724 16.435 0.008 0x00
OBS: 59326.460 r NULL 23449.719 141.914 16.575 0.007 0x00
OBS: 59326.470 z NULL 17493.449 184.454 16.893 0.011 0x00
OBS: 59328.284 Y 533 22625.690 265.612 16.613 0.013 0x00
OBS: 59328.330 X 533 20271.451 252.063 16.733 0.013 0x00
OBS: 59334.377 Y 533 19393.807 206.197 16.781 0.012 0x00
OBS: 59334.451 X 533 12648.503 200.428 17.245 0.017 0x00
OBS: 59336.375 Y 533 18934.835 177.001 16.807 0.010 0x00
OBS: 59336.416 X 533 11037.892 165.887 17.393 0.016 0x00
OBS: 59336.610 i NULL 15110.978 142.019 17.052 0.010 0x00
OBS: 59336.610 r NULL 17268.243 147.027 16.907 0.009 0x00
OBS: 59339.336 Y 533 17571.530 150.809 16.888 0.009 0x00
OBS: 59339.361 X 533 8235.681 115.792 17.711 0.015 0x00
OBS: 59341.319 X 533 6499.167 93.903 17.968 0.016 0x00
OBS: 59341.400 Y 533 14123.490 152.147 17.125 0.012 0x00
OBS: 59342.550 g NULL 6021.133 82.789 18.051 0.015 0x00
OBS: 59342.560 r NULL 13207.634 102.988 17.198 0.008 0x00
OBS: 59343.384 X 533 5607.534 99.101 18.128 0.019 0x00
OBS: 59345.340 Y 533 12949.935 133.658 17.219 0.011 0x00
OBS: 59345.394 X 533 4897.228 98.573 18.275 0.022 0x00
OBS: 59345.550 i NULL 12251.448 86.215 17.280 0.008 0x00
OBS: 59345.550 g NULL 4800.432 72.397 18.297 0.016 0x00
OBS: 59349.337 Y 533 10376.759 117.745 17.460 0.012 0x00
OBS: 59349.358 X 533 3923.142 87.036 18.516 0.024 0x00
OBS: 59352.299 Y 533 8724.800 129.445 17.648 0.016 0x00
OBS: 59352.342 X 533 3695.654 87.614 18.581 0.026 0x00
OBS: 59353.510 g NULL 3610.741 90.919 18.606 0.027 0x00
OBS: 59353.520 i NULL 8418.735 109.119 17.687 0.014 0x00
OBS: 59354.381 X 533 3247.107 90.555 18.721 0.030 0x00
OBS: 59354.400 Y 533 8084.412 126.439 17.731 0.017 0x00
OBS: 59358.315 Y 533 7322.758 252.173 17.838 0.037 0x00
OBS: 59358.400 X 533 3402.783 242.000 18.670 0.077 0x00
OBS: 59361.329 X 533 3036.494 234.803 18.794 0.084 0x00
OBS: 59361.375 Y 533 6737.965 227.473 17.929 0.037 0x00
OBS: 59363.277 X 533 3252.639 140.367 18.719 0.047 0x00
OBS: 59363.358 Y 533 6603.083 148.411 17.951 0.024 0x00
OBS: 59363.490 r NULL 6135.465 131.290 18.030 0.023 0x00
OBS: 59363.500 i NULL 5784.504 122.895 18.094 0.023 0x00
OBS: 59365.333 X 533 2916.863 100.433 18.838 0.037 0x00
OBS: 59365.338 Y 533 6173.568 127.700 18.024 0.022 0x00
OBS: 59367.294 X 533 2850.485 92.055 18.863 0.035 0x00
OBS: 59367.339 Y 533 5740.268 110.166 18.103 0.021 0x00
OBS: 59369.316 Y 533 5445.062 104.737 18.160 0.021 0x00
OBS: 59369.370 X 533 2761.183 81.835 18.897 0.032 0x00
OBS: 59371.319 Y 533 5197.521 89.723 18.211 0.019 0x00
OBS: 59371.368 X 533 2590.561 70.906 18.967 0.030 0x00
OBS: 59371.500 i NULL 4611.625 92.193 18.340 0.022 0x00
OBS: 59371.510 g NULL 2650.810 113.764 18.942 0.047 0x00
OBS: 59374.470 g NULL 2287.205 98.158 19.102 0.047 0x00
OBS: 59374.470 r NULL 4695.029 110.032 18.321 0.025 0x00
OBS: 59375.290 X 533 2653.869 89.536 18.940 0.037 0x00
OBS: 59375.381 Y 533 4407.345 121.492 18.390 0.030 0x00
OBS: 59377.269 Y 533 4247.521 106.332 18.430 0.027 0x00
OBS: 59377.332 X 533 2442.422 81.929 19.030 0.036 0x00
OBS: 59378.450 g NULL 2408.707 67.339 19.046 0.030 0x00
OBS: 59378.450 i NULL 3683.719 70.096 18.584 0.021 0x00
OBS: 59379.296 X 533 2395.140 101.546 19.052 0.046 0x00
OBS: 59379.359 Y 533 3922.229 95.786 18.516 0.027 0x00
OBS: 59381.296 X 533 2620.445 147.017 18.954 0.061 0x00
OBS: 59381.360 Y 533 3691.500 256.061 18.582 0.075 0x00
OBS: 59381.440 r NULL 3798.798 107.544 18.551 0.031 0x00
OBS: 59381.450 g NULL 2279.821 84.763 19.105 0.040 0x00
OBS: 59383.212 Y 533 3757.501 162.773 18.563 0.047 0x00
