SURVEY:  YSE
SNID:  2021lgc
otherID: 
IAUC:    UNKNOWN
RA:        316.4776150  deg
DECL:       -1.0772010  deg
MWEBV:    0.054 +- 0.003 MW E(B-V)
REDSHIFT_FINAL: 0.1440 +- 0.019 (PHOTO-Z, HELIO)
PHOTO_Z: 0.1440 +- 0.019 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J210554.615-010437.944 
VETTED_PS1_OBJID: 106703164775717785 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 0.112 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (316.4775745, -1.0772067) 
VETTED_HOST_GALAXY_NAME: WISEA J210554.61-010438.0 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59342.469
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN Ibc
PARSNIP_CONF: 69.9
PARSNIP_S1: -0.567 +- 0.071
PARSNIP_S2: 0.49 +- 0.175
PARSNIP_S3: 0.337 +- 0.089
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 95.1
SET_ZTF_FP: 27.500
PEAK_SNR: 24.779
MAX_MJD_GAP(days): 47.830
NOBS_BEFORE_PEAK: 13
NOBS_TO_PEAK: 14
NOBS_AFTER_PEAK: 46
SEARCH_PEAKMAG: 19.247
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 19.269
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lgc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.393 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 60
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59327.570 r NULL 493.745 84.081 20.766 0.185 0x00
OBS: 59327.570 i NULL 730.041 155.138 20.342 0.231 0x00
OBS: 59328.590 r NULL 778.774 140.308 20.271 0.196 0x00
OBS: 59329.610 r NULL 983.451 180.106 20.018 0.199 0x00
OBS: 59329.610 i NULL 889.169 126.042 20.128 0.154 0x00
OBS: 59332.610 i NULL 1259.134 122.503 19.750 0.106 0x00
OBS: 59332.620 r NULL 1187.866 133.231 19.813 0.122 0x00
OBS: 59334.481 X 441 1521.030 223.494 19.545 0.160 0x00
OBS: 59334.600 r NULL 1554.042 104.531 19.521 0.073 0x00
OBS: 59334.600 z NULL 775.229 191.124 20.276 0.268 0x00
OBS: 59339.427 X 441 1563.519 161.248 19.515 0.112 0x00
OBS: 59339.477 Y 441 1960.938 122.929 19.269 0.068 0x00
OBS: 59342.447 Y 441 1890.945 97.494 19.308 0.056 0x00
OBS: 59342.469 X 441 2001.647 90.401 19.247 0.049 0x00
OBS: 59342.600 r NULL 1579.285 65.916 19.504 0.045 0x00
OBS: 59342.610 g NULL 1765.749 78.186 19.383 0.048 0x00
OBS: 59345.428 X 441 1758.287 113.435 19.387 0.070 0x00
OBS: 59345.472 Y 441 1895.729 97.888 19.306 0.056 0x00
OBS: 59345.610 g NULL 1781.793 71.907 19.373 0.044 0x00
OBS: 59345.610 i NULL 1903.044 114.195 19.301 0.065 0x00
OBS: 59348.423 Y 441 1949.725 93.978 19.275 0.052 0x00
OBS: 59348.445 X 441 1649.359 89.432 19.457 0.059 0x00
OBS: 59348.610 r NULL 1806.984 88.671 19.358 0.053 0x00
OBS: 59352.427 Y 441 1807.641 124.514 19.357 0.075 0x00
OBS: 59352.464 X 441 1363.560 90.023 19.663 0.072 0x00
OBS: 59356.381 Y 441 1152.087 229.589 19.846 0.216 0x00
OBS: 59356.570 i NULL 1620.706 118.007 19.476 0.079 0x00
OBS: 59356.570 r NULL 1421.491 65.006 19.618 0.050 0x00
OBS: 59357.590 r NULL 1376.658 83.334 19.653 0.066 0x00
OBS: 59357.590 z NULL 1143.001 159.543 19.855 0.152 0x00
OBS: 59358.590 r NULL 1221.465 87.684 19.783 0.078 0x00
OBS: 59358.590 i NULL 1547.107 93.942 19.526 0.066 0x00
OBS: 59359.560 r NULL 1336.361 110.341 19.685 0.090 0x00
