SURVEY:  YSE
SNID:  2021lsx
otherID: 
IAUC:    UNKNOWN
RA:        207.1101580  deg
DECL:       27.9096970  deg
MWEBV:    0.013 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.0719 +- 0.005 (HOST-Z, HELIO)
PHOTO_Z: 0.0900 +- 0.025 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J134826.474+275435.393 
VETTED_PS1_OBJID: 141492071103102352 
VETTED_HOST_GALAXY_STATUS: G 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 0.671 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (207.1102899, 27.9098431) 
VETTED_HOST_GALAXY_NAME: 2MASX J13482645+2754353 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0719 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59348.344
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN II
PARSNIP_CONF: 99.1
PARSNIP_S1: 0.135 +- 0.185
PARSNIP_S2: 0.389 +- 0.365
PARSNIP_S3: -1.046 +- 0.072
SUPERRAENN_PRED: SN II
SUPERRAENN_CONF: 95.7
SET_ZTF_FP: 27.500
PEAK_SNR: 12.656
MAX_MJD_GAP(days): 19.995
NOBS_BEFORE_PEAK: 18
NOBS_TO_PEAK: 19
NOBS_AFTER_PEAK: 37
SEARCH_PEAKMAG: 20.212
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 20.274
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: XiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lsx.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0181
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.532 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 56
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59339.235 X 627.0 627.669 70.575 20.506 0.122 0x00
OBS: 59339.273 Y 627.0 308.764 70.941 21.276 0.249 0x00
OBS: 59340.296 Y 628.0 542.447 71.730 20.664 0.144 0x00
OBS: 59340.373 X 628.0 540.555 82.394 20.668 0.165 0x00
OBS: 59341.300 X 627.0 650.512 63.269 20.467 0.106 0x00
OBS: 59342.270 g NULL 666.346 110.223 20.441 0.180 0x00
OBS: 59342.270 i NULL 584.315 124.003 20.583 0.230 0x00
OBS: 59342.340 X 628.0 769.295 75.622 20.285 0.107 0x00
OBS: 59342.402 Y 628.0 551.223 69.521 20.647 0.137 0x00
OBS: 59343.215 Y 627.0 674.112 76.298 20.428 0.123 0x00
OBS: 59343.269 X 627.0 817.442 67.918 20.219 0.090 0x00
OBS: 59344.322 X 628.0 724.817 61.273 20.349 0.092 0x00
OBS: 59344.394 Y 628.0 417.910 87.110 20.947 0.226 0x00
OBS: 59345.176 X 627.0 771.846 84.565 20.281 0.119 0x00
OBS: 59345.197 Y 627.0 650.654 86.630 20.467 0.145 0x00
OBS: 59346.338 X 628.0 738.966 77.692 20.328 0.114 0x00
OBS: 59346.382 Y 628.0 572.129 79.763 20.606 0.151 0x00
OBS: 59348.312 Y 627.5 510.264 74.912 20.739 0.162 0x00
OBS: 59348.344 X 627.5 824.560 65.152 20.212 0.086 0x00
OBS: 59350.274 Y 627.5 612.597 99.952 20.532 0.177 0x00
OBS: 59354.245 Y 627.5 600.941 144.384 20.555 0.262 0x00
OBS: 59354.300 X 627.0 809.937 185.090 20.229 0.248 0x00
OBS: 59356.275 Y 627.0 777.025 175.578 20.274 0.245 0x00
OBS: 59360.260 r NULL 595.478 109.955 20.563 0.200 0x00
OBS: 59363.262 X 628.0 705.679 106.130 20.378 0.163 0x00
OBS: 59363.339 Y 628.0 725.733 136.713 20.348 0.205 0x00
OBS: 59364.304 Y 627.0 654.953 86.609 20.459 0.144 0x00
OBS: 59365.286 X 628.0 417.814 79.475 20.948 0.207 0x00
OBS: 59366.223 Y 627.0 652.293 83.212 20.464 0.139 0x00
OBS: 59366.257 X 627.0 570.242 72.107 20.610 0.137 0x00
OBS: 59367.277 X 628.0 359.284 68.102 21.111 0.206 0x00
OBS: 59367.346 Y 628.0 551.553 108.016 20.646 0.213 0x00
OBS: 59368.193 X 627.0 491.064 64.477 20.772 0.143 0x00
OBS: 59368.225 Y 627.0 547.534 79.163 20.654 0.157 0x00
OBS: 59369.192 Y 628.0 345.415 64.876 21.154 0.204 0x00
OBS: 59369.249 X 628.0 373.267 69.313 21.070 0.202 0x00
OBS: 59370.223 X 627.0 438.571 74.617 20.895 0.185 0x00
OBS: 59370.266 Y 627.0 665.740 77.821 20.442 0.127 0x00
OBS: 59371.214 Y 628.0 644.647 71.149 20.477 0.120 0x00
OBS: 59372.305 Y 627.0 688.512 110.775 20.405 0.175 0x00
OBS: 59373.237 Y 628.0 479.740 84.694 20.797 0.192 0x00
OBS: 59373.262 X 628.0 285.331 66.408 21.362 0.253 0x00
OBS: 59375.246 Y 627.5 519.023 92.455 20.723 0.197 0x00
OBS: 59375.261 X 627.5 385.738 87.277 21.039 0.246 0x00
OBS: 59377.235 Y 627.5 501.126 84.284 20.754 0.184 0x00
OBS: 59378.390 i NULL 815.362 117.908 20.222 0.157 0x00
OBS: 59379.193 X 627.0 314.147 76.560 21.257 0.265 0x00
OBS: 59379.249 Y 627.5 553.544 91.454 20.658 0.185 0x00
OBS: 59393.206 Y 627.5 447.583 81.375 20.889 0.204 0x00
OBS: 59397.192 Y 627.5 371.676 85.471 21.124 0.274 0x00
OBS: 59397.238 X 627.0 450.114 105.815 20.867 0.255 0x00
OBS: 59400.197 Y 628.0 567.049 82.603 20.616 0.158 0x00
OBS: 59402.242 Y 627.0 608.715 106.343 20.539 0.190 0x00
OBS: 59404.225 Y 627.5 421.331 103.942 20.944 0.271 0x00
OBS: 59406.241 Y 628.0 553.695 130.127 20.642 0.255 0x00
OBS: 59426.236 Y 628.0 623.353 151.946 20.513 0.265 0x00
END:
