SURVEY:  YSE
SNID:  2021lzg
otherID: 
IAUC:    UNKNOWN
RA:        181.7201420  deg
DECL:       17.9864890  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.1740 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.2210 +- 0.067 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J120652.778+175910.620 
VETTED_PS1_OBJID: 129581817198814014 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 1.154 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (181.7199224, 17.9862395) 
VETTED_HOST_GALAXY_NAME: SDSS J120652.79+175910.6 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59358.295
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -19.986
SPEC_CLASS: SN Ia-91T-like
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.116 +- 0.061
PARSNIP_S2: 0.622 +- 0.177
PARSNIP_S3: 1.445 +- 0.124
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 75.1
SET_ZTF_FP: 27.500
PEAK_SNR: 19.751
MAX_MJD_GAP(days): 8.960
NOBS_BEFORE_PEAK: 17
NOBS_TO_PEAK: 18
NOBS_AFTER_PEAK: 36
SEARCH_PEAKMAG: 19.634
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 19.634
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lzg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.605 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 54
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59342.256 Y 575 353.541 72.036 21.129 0.221 0x00
OBS: 59343.260 i NULL 366.387 51.330 21.090 0.152 0x00
OBS: 59343.260 g NULL 533.099 43.910 20.683 0.089 0x00
OBS: 59344.225 Y 575 459.378 62.001 20.845 0.147 0x00
OBS: 59344.256 X 575 529.027 57.423 20.691 0.118 0x00
OBS: 59345.260 g NULL 681.632 57.746 20.416 0.092 0x00
OBS: 59345.260 r NULL 549.817 54.727 20.649 0.108 0x00
OBS: 59346.280 Y 575 607.147 68.011 20.542 0.122 0x00
OBS: 59347.360 i NULL 653.646 58.894 20.462 0.098 0x00
OBS: 59347.370 g NULL 1014.005 66.939 19.985 0.072 0x00
OBS: 59348.232 X 575 884.154 61.607 20.134 0.076 0x00
OBS: 59350.207 X 575 982.309 83.279 20.019 0.092 0x00
OBS: 59350.247 Y 575 912.198 106.695 20.100 0.127 0x00
OBS: 59350.380 g NULL 1131.752 71.199 19.866 0.068 0x00
OBS: 59350.390 r NULL 1160.091 93.199 19.839 0.087 0x00
OBS: 59354.181 X 575 1188.727 147.909 19.812 0.135 0x00
OBS: 59354.216 Y 575 1028.967 186.238 19.969 0.197 0x00
OBS: 59358.295 Y 575 1401.077 237.212 19.634 0.184 0x00
OBS: 59359.340 z NULL 784.390 112.975 20.264 0.156 0x00
OBS: 59359.340 r NULL 1192.984 98.479 19.808 0.090 0x00
OBS: 59361.193 Y 575 1095.229 116.501 19.901 0.115 0x00
OBS: 59361.236 X 575 1173.557 165.410 19.826 0.153 0x00
OBS: 59361.360 r NULL 1069.714 102.320 19.927 0.104 0x00
OBS: 59361.370 i NULL 661.815 92.795 20.448 0.152 0x00
OBS: 59363.191 Y 575 1017.952 71.026 19.981 0.076 0x00
OBS: 59363.235 X 575 741.914 69.816 20.324 0.102 0x00
OBS: 59363.320 r NULL 1147.194 58.082 19.851 0.055 0x00
OBS: 59363.320 z NULL 433.769 98.145 20.907 0.246 0x00
OBS: 59365.193 X 575 817.461 76.662 20.219 0.102 0x00
OBS: 59365.330 i NULL 672.431 55.339 20.431 0.089 0x00
OBS: 59365.330 r NULL 963.270 56.280 20.041 0.063 0x00
OBS: 59367.195 Y 575 836.506 82.102 20.194 0.107 0x00
OBS: 59367.320 g NULL 951.845 78.767 20.054 0.090 0x00
OBS: 59369.184 Y 575 782.122 70.714 20.267 0.098 0x00
