SURVEY:  YSE
SNID:  2021nsi
otherID: 
IAUC:    UNKNOWN
RA:        315.9448580  deg
DECL:       -0.9601060  deg
MWEBV:    0.065 +- 0.003 MW E(B-V)
REDSHIFT_FINAL: 0.1300 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.1290 +- 0.098 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J210346.740+005735.890 
VETTED_PS1_OBJID: 106843159447498483 
VETTED_HOST_GALAXY_STATUS: G 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 0.576 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (315.9447533, -0.9599695) 
VETTED_HOST_GALAXY_NAME: WISEA J210346.53-005737.3 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59364.400
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -19.388
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.247 +- 0.066
PARSNIP_S2: 0.368 +- 0.163
PARSNIP_S3: 1.148 +- 0.104
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 100.0
SET_ZTF_FP: 27.500
PEAK_SNR: 19.272
MAX_MJD_GAP(days): 8.020
NOBS_BEFORE_PEAK: 12
NOBS_TO_PEAK: 13
NOBS_AFTER_PEAK: 40
SEARCH_PEAKMAG: 19.539
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 19.609
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021nsi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0006
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.190 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 53
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59356.570 r NULL 521.016 54.594 20.708 0.114 0x00
OBS: 59356.570 i NULL 452.019 75.887 20.862 0.182 0x00
OBS: 59357.463 Y 440.0 497.864 95.400 20.757 0.208 0x00
OBS: 59357.590 r NULL 540.237 58.582 20.669 0.118 0x00
OBS: 59359.456 X 441.0 1110.061 220.323 19.887 0.215 0x00
OBS: 59359.560 r NULL 814.722 90.660 20.222 0.121 0x00
OBS: 59361.420 Y 440.0 1019.048 216.617 19.980 0.231 0x00
OBS: 59361.580 i NULL 1004.214 88.960 19.995 0.096 0x00
OBS: 59361.580 r NULL 935.462 128.342 20.072 0.149 0x00
OBS: 59362.420 X 441.0 1406.290 234.372 19.630 0.181 0x00
OBS: 59362.456 Y 441.0 1213.989 215.695 19.789 0.193 0x00
OBS: 59363.402 Y 440.0 1317.569 181.125 19.701 0.149 0x00
OBS: 59364.400 X 441.0 1528.276 284.930 19.539 0.202 0x00
OBS: 59364.442 Y 441.0 1434.133 202.342 19.609 0.153 0x00
OBS: 59366.411 Y 440.5 1298.359 158.170 19.727 0.134 0x00
OBS: 59366.453 X 440.5 1501.162 168.693 19.563 0.123 0x00
OBS: 59369.402 X 440.5 1379.587 98.931 19.651 0.078 0x00
OBS: 59369.457 Y 441.0 1361.502 91.039 19.665 0.073 0x00
OBS: 59370.560 z NULL 584.490 110.091 20.583 0.205 0x00
OBS: 59370.570 g NULL 1313.245 68.142 19.704 0.056 0x00
OBS: 59371.402 X 440.5 1271.303 87.257 19.744 0.075 0x00
OBS: 59371.457 Y 440.5 1296.902 73.636 19.718 0.062 0x00
OBS: 59373.590 i NULL 907.332 66.868 20.106 0.080 0x00
OBS: 59373.590 g NULL 1065.526 61.118 19.931 0.062 0x00
OBS: 59374.401 X 440.5 1098.469 88.035 19.901 0.088 0x00
OBS: 59374.441 Y 440.0 1198.623 257.661 19.803 0.233 0x00
OBS: 59376.408 X 440.5 1019.214 89.559 19.982 0.096 0x00
OBS: 59376.440 Y 440.0 1011.485 106.554 19.988 0.114 0x00
OBS: 59376.540 g NULL 887.402 62.448 20.130 0.076 0x00
OBS: 59376.540 r NULL 1021.121 69.922 19.977 0.074 0x00
OBS: 59378.409 Y 440.5 1071.332 88.333 19.927 0.090 0x00
OBS: 59378.422 X 440.0 765.365 77.727 20.290 0.110 0x00
