SURVEY:  YSE
SNID:  2021oax
otherID: 
IAUC:    UNKNOWN
RA:        244.4416580  deg
DECL:       23.9389490  deg
MWEBV:    0.063 +- 0.003 MW E(B-V)
REDSHIFT_FINAL: 0.2170 +- 0.075 (PHOTO-Z, HELIO)
PHOTO_Z: 0.2170 +- 0.075 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J161746.025+235621.649 
VETTED_PS1_OBJID: 136722444418797904 
VETTED_HOST_GALAXY_STATUS: S 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 1.642 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (244.4417511, 23.9393921) 
VETTED_HOST_GALAXY_NAME: SDSS J161746.02+235622.0 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59361.320
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN II
PARSNIP_CONF: 99.0
PARSNIP_S1: 0.264 +- 0.295
PARSNIP_S2: 0.24 +- 0.408
PARSNIP_S3: -1.196 +- 0.103
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 66.0
SET_ZTF_FP: 27.500
PEAK_SNR: 10.705
MAX_MJD_GAP(days): 17.946
NOBS_BEFORE_PEAK: 0
NOBS_TO_PEAK: 1
NOBS_AFTER_PEAK: 54
SEARCH_PEAKMAG: 20.272
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 20.420
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021oax.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0015
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.294 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 55
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59361.320 X 632.5 783.472 189.097 20.272 0.264 0x00
OBS: 59363.278 X 632.5 563.975 116.900 20.629 0.230 0x00
OBS: 59363.359 Y 633.0 463.049 109.020 20.836 0.256 0x00
OBS: 59363.490 r NULL 505.978 83.696 20.740 0.180 0x00
OBS: 59363.490 z NULL 526.387 116.525 20.697 0.240 0x00
OBS: 59365.331 X 632.5 489.116 91.071 20.777 0.202 0x00
OBS: 59365.360 r NULL 473.372 53.995 20.812 0.124 0x00
OBS: 59365.360 i NULL 598.720 62.474 20.557 0.113 0x00
OBS: 59365.384 Y 632.5 544.829 109.537 20.666 0.221 0x00
OBS: 59367.296 X 632.5 569.062 71.398 20.613 0.136 0x00
OBS: 59367.375 Y 632.5 548.304 97.765 20.653 0.194 0x00
OBS: 59368.370 g NULL 464.683 88.876 20.832 0.208 0x00
OBS: 59369.318 Y 632.5 592.319 67.567 20.586 0.127 0x00
OBS: 59369.369 X 632.5 592.978 66.243 20.573 0.122 0x00
OBS: 59371.318 Y 633.0 585.678 58.308 20.581 0.108 0x00
OBS: 59371.375 X 632.5 487.174 62.103 20.782 0.139 0x00
OBS: 59372.470 i NULL 540.082 54.155 20.669 0.109 0x00
OBS: 59374.278 Y 633.0 523.718 80.945 20.702 0.168 0x00
OBS: 59375.430 r NULL 518.120 71.960 20.714 0.151 0x00
OBS: 59376.296 Y 632.5 680.217 69.018 20.420 0.111 0x00
OBS: 59376.344 X 632.5 450.076 67.627 20.867 0.163 0x00
OBS: 59378.297 Y 632.5 484.423 79.701 20.799 0.184 0x00
OBS: 59378.345 X 632.5 437.472 68.083 20.898 0.169 0x00
OBS: 59379.310 g NULL 339.830 56.893 21.172 0.182 0x00
OBS: 59379.320 i NULL 567.198 57.450 20.616 0.110 0x00
OBS: 59382.290 i NULL 607.485 56.748 20.541 0.101 0x00
OBS: 59382.290 g NULL 334.334 61.237 21.190 0.199 0x00
OBS: 59382.339 Y 632.5 444.447 105.673 20.898 0.264 0x00
OBS: 59382.343 X 632.5 432.438 107.096 20.911 0.268 0x00
OBS: 59383.290 z NULL 437.678 98.919 20.897 0.245 0x00
OBS: 59384.326 Y 632.5 584.036 141.909 20.624 0.279 0x00
OBS: 59385.270 z NULL 616.390 115.333 20.525 0.203 0x00
OBS: 59391.410 r NULL 470.033 77.397 20.820 0.179 0x00
OBS: 59391.420 i NULL 524.477 81.114 20.701 0.168 0x00
OBS: 59394.228 X 632.5 406.450 73.106 20.999 0.202 0x00
OBS: 59394.400 r NULL 308.766 40.028 21.276 0.141 0x00
OBS: 59394.400 z NULL 475.581 76.244 20.807 0.174 0x00
OBS: 59396.323 Y 632.5 470.845 99.068 20.823 0.228 0x00
OBS: 59398.400 i NULL 413.403 69.206 20.959 0.182 0x00
OBS: 59399.221 Y 632.5 351.380 84.057 21.206 0.285 0x00
OBS: 59399.400 r NULL 352.689 43.111 21.132 0.133 0x00
OBS: 59401.305 Y 632.5 406.893 78.477 20.976 0.209 0x00
OBS: 59403.263 Y 632.5 379.335 80.419 21.058 0.235 0x00
OBS: 59406.253 Y 633.0 528.875 89.198 20.692 0.183 0x00
OBS: 59407.208 Y 632.0 412.018 90.519 20.963 0.239 0x00
OBS: 59408.390 r NULL 354.474 40.505 21.126 0.124 0x00
OBS: 59412.380 i NULL 615.173 80.618 20.528 0.142 0x00
OBS: 59425.198 Y 632.0 368.781 83.474 21.083 0.246 0x00
OBS: 59425.330 z NULL 513.917 106.342 20.723 0.225 0x00
OBS: 59429.280 r NULL 243.977 60.514 21.532 0.269 0x00
OBS: 59435.270 r NULL 301.741 46.410 21.301 0.167 0x00
OBS: 59437.260 i NULL 351.241 76.731 21.136 0.237 0x00
OBS: 59441.260 i NULL 453.190 78.609 20.859 0.188 0x00
OBS: 59442.260 z NULL 562.654 107.872 20.624 0.208 0x00
OBS: 59460.206 Y 633.0 436.298 97.752 20.901 0.243 0x00
END:
