SURVEY:  YSE
SNID:  2021pby
otherID: 
IAUC:    UNKNOWN
RA:        322.4025330  deg
DECL:       12.9163770  deg
MWEBV:    0.095 +- 0.005 MW E(B-V)
REDSHIFT_FINAL: 0.0300 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0360 +- 0.022 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J212936.719+125459.380 
VETTED_PS1_OBJID: 123503224031300514 
VETTED_HOST_GALAXY_STATUS: N 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 3.788 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (322.4017, 12.9157) 
VETTED_HOST_GALAXY_NAME: WISEA J212936.41+125456.2 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59386.377
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -18.489
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.435 +- 0.017
PARSNIP_S2: -0.25 +- 0.029
PARSNIP_S3: 1.35 +- 0.025
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 100.0
SET_ZTF_FP: 27.500
PEAK_SNR: 119.169
MAX_MJD_GAP(days): 24.050
NOBS_BEFORE_PEAK: 23
NOBS_TO_PEAK: 24
NOBS_AFTER_PEAK: 88
SEARCH_PEAKMAG: 17.105
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 17.105
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021pby.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.550 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 112
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59367.441 X 544 637.653 145.922 20.489 0.248 0x00
OBS: 59369.403 X 544 359.887 80.003 21.110 0.241 0x00
OBS: 59370.570 g NULL 722.209 74.701 20.353 0.112 0x00
OBS: 59370.570 i NULL 780.729 77.864 20.269 0.108 0x00
OBS: 59371.408 X 544 1226.945 73.698 19.778 0.065 0x00
OBS: 59371.443 Y 544 1274.903 87.910 19.736 0.075 0x00
OBS: 59374.405 X 544 4107.603 96.288 18.466 0.025 0x00
OBS: 59374.442 Y 544 4954.443 294.585 18.263 0.065 0x00
OBS: 59376.402 X 544 7109.358 113.143 17.870 0.017 0x00
OBS: 59376.442 Y 544 7338.188 110.188 17.836 0.016 0x00
OBS: 59376.550 g NULL 6755.709 106.321 17.926 0.017 0x00
OBS: 59376.560 i NULL 5952.477 117.643 18.063 0.021 0x00
OBS: 59378.403 Y 544 10342.363 122.625 17.463 0.013 0x00
OBS: 59378.438 X 544 9861.757 124.095 17.515 0.014 0x00
OBS: 59379.510 r NULL 11235.786 129.090 17.373 0.012 0x00
OBS: 59379.510 g NULL 10478.804 152.267 17.449 0.016 0x00
OBS: 59381.400 Y 544 13250.172 290.353 17.194 0.024 0x00
OBS: 59382.510 i NULL 9288.291 81.517 17.580 0.010 0x00
OBS: 59382.510 g NULL 12787.573 107.306 17.233 0.009 0x00
OBS: 59383.560 z NULL 8299.990 181.345 17.702 0.024 0x00
OBS: 59384.359 Y 544 11824.277 316.808 17.318 0.029 0x00
OBS: 59385.500 r NULL 13696.153 252.307 17.159 0.020 0x00
OBS: 59385.500 z NULL 7818.914 225.426 17.767 0.031 0x00
OBS: 59386.377 Y 544 14392.328 178.069 17.105 0.013 0x00
OBS: 59386.442 X 544 13975.561 130.858 17.137 0.010 0x00
OBS: 59390.367 Y 544 12670.999 202.090 17.243 0.017 0x00
OBS: 59390.435 X 544 11333.006 232.110 17.364 0.022 0x00
OBS: 59392.398 Y 544 10077.418 230.327 17.492 0.025 0x00
OBS: 59394.422 Y 544 9274.726 181.366 17.582 0.021 0x00
OBS: 59396.393 Y 544 7850.803 140.759 17.763 0.019 0x00
OBS: 59396.437 X 544 6086.729 150.990 18.039 0.027 0x00
OBS: 59398.980 i NULL 4881.744 136.044 18.279 0.030 0x00
OBS: 59399.382 Y 544 7370.481 247.963 17.831 0.037 0x00
