SURVEY:  YSE
SNID:  2021rem
otherID: 
IAUC:    UNKNOWN
RA:        229.9488730  deg
DECL:       13.6876210  deg
MWEBV:    0.037 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: 0.0300 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0370 +- 0.012 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J151947.922+134110.087 
VETTED_PS1_OBJID: 124422299496533885 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 6.079 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (229.9496781, 13.6861318) 
VETTED_HOST_GALAXY_NAME: WISEA J151947.92+134109.9 (NED)
VETTED_HOST_GALAXY_REDSHIFT: 0.0299 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59417.290
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -18.075
SPEC_CLASS: SN II
SPEC_CLASS_BROAD: SN II
PARSNIP_PRED: SN II
PARSNIP_CONF: 44.0
PARSNIP_S1: -0.73 +- 0.024
PARSNIP_S2: 1.09 +- 0.064
PARSNIP_S3: -0.382 +- 0.017
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 64.9
SET_ZTF_FP: 27.500
PEAK_SNR: 83.319
MAX_MJD_GAP(days): 13.990
NOBS_BEFORE_PEAK: 7
NOBS_TO_PEAK: 8
NOBS_AFTER_PEAK: 43
SEARCH_PEAKMAG: 17.519
SEARCH_PEAKFLT: r
PEAKMAG_YSE-r/ZTF-r(Y): 17.519
PEAKFLT_YSE-r/ZTF-r(Y): r
FILTERS: zigr
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021rem.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.792 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 51
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59392.340 i NULL 1396.921 80.269 19.637 0.062 0x00
OBS: 59392.340 r NULL 1635.797 75.352 19.466 0.050 0x00
OBS: 59406.330 i NULL 7528.407 113.077 17.808 0.016 0x00
OBS: 59406.340 g NULL 8075.524 96.923 17.732 0.013 0x00
OBS: 59409.330 r NULL 8749.930 119.650 17.645 0.015 0x00
OBS: 59409.330 g NULL 7646.803 131.202 17.791 0.019 0x00
OBS: 59417.290 i NULL 8797.659 259.731 17.639 0.032 0x00
OBS: 59417.290 r NULL 9828.467 401.512 17.519 0.044 0x00
OBS: 59420.350 z NULL 7401.928 133.541 17.827 0.020 0x00
OBS: 59420.360 r NULL 9130.678 172.341 17.599 0.020 0x00
OBS: 59423.290 r NULL 8320.463 120.415 17.700 0.016 0x00
OBS: 59423.290 i NULL 8354.398 122.500 17.695 0.016 0x00
OBS: 59424.360 z NULL 7118.083 161.190 17.869 0.025 0x00
OBS: 59424.370 r NULL 8705.874 109.829 17.650 0.014 0x00
OBS: 59426.290 z NULL 7048.622 155.128 17.880 0.024 0x00
OBS: 59426.290 g NULL 4071.461 89.824 18.476 0.024 0x00
OBS: 59429.270 g NULL 3549.520 120.851 18.625 0.037 0x00
OBS: 59429.270 i NULL 7319.885 103.815 17.839 0.015 0x00
OBS: 59431.270 r NULL 7156.742 114.970 17.863 0.017 0x00
OBS: 59431.270 g NULL 3235.686 81.027 18.725 0.027 0x00
OBS: 59433.310 i NULL 6917.169 100.545 17.900 0.016 0x00
OBS: 59433.310 g NULL 3098.751 86.242 18.772 0.030 0x00
OBS: 59434.260 g NULL 3043.691 82.081 18.791 0.029 0x00
OBS: 59434.270 r NULL 6672.574 106.944 17.939 0.017 0x00
OBS: 59438.260 g NULL 2391.678 88.401 19.053 0.040 0x00
OBS: 59444.250 i NULL 5745.835 113.088 18.102 0.021 0x00
OBS: 59444.260 r NULL 5511.147 136.168 18.147 0.027 0x00
OBS: 59446.250 z NULL 5870.315 159.544 18.078 0.030 0x00
OBS: 59446.250 r NULL 4852.260 85.714 18.285 0.019 0x00
OBS: 59448.270 r NULL 5111.221 116.553 18.229 0.025 0x00
OBS: 59448.270 i NULL 5582.934 97.605 18.133 0.019 0x00
OBS: 59451.260 r NULL 4920.189 122.957 18.270 0.027 0x00
