SURVEY:  YSE
SNID:  2021sbc
otherID: 
IAUC:    UNKNOWN
RA:        317.7719750  deg
DECL:       13.0787330  deg
MWEBV:    0.071 +- 0.004 MW E(B-V)
REDSHIFT_FINAL: 0.1000 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.1230 +- 0.073 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J211105.274+130440.292 
VETTED_PS1_OBJID: 123693177719803920 
VETTED_HOST_GALAXY_STATUS: G 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 3.067 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (317.7719722, 13.0778672) 
VETTED_HOST_GALAXY_NAME: WISEA J211105.23+130439.5 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59408.378
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -19.325
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: -0.102 +- 0.034
PARSNIP_S2: 0.407 +- 0.097
PARSNIP_S3: 1.348 +- 0.061
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 96.6
SET_ZTF_FP: 27.500
PEAK_SNR: 32.099
MAX_MJD_GAP(days): 7.043
NOBS_BEFORE_PEAK: 11
NOBS_TO_PEAK: 12
NOBS_AFTER_PEAK: 59
SEARCH_PEAKMAG: 18.990
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 19.041
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021sbc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.916 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 71
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59396.393 Y 544 659.370 102.895 20.452 0.169 0x00
OBS: 59396.437 X 544 608.495 108.404 20.539 0.193 0x00
OBS: 59398.980 i NULL 705.531 74.019 20.389 0.117 0x00
OBS: 59398.980 g NULL 807.396 69.099 20.286 0.116 0x00
OBS: 59399.403 X 544 1290.536 78.253 19.723 0.066 0x00
OBS: 59401.400 X 544 1504.589 74.847 19.556 0.054 0x00
OBS: 59401.421 Y 544 1349.584 75.047 19.674 0.060 0x00
OBS: 59403.416 X 544 1984.490 74.882 19.256 0.041 0x00
OBS: 59405.457 X 544 2132.850 100.548 19.178 0.051 0x00
OBS: 59406.460 r NULL 2048.664 100.682 19.221 0.053 0x00
OBS: 59406.470 g NULL 2239.337 90.232 19.125 0.044 0x00
OBS: 59408.378 X 544 2534.304 93.137 18.990 0.040 0x00
OBS: 59408.420 Y 544 2224.928 124.777 19.132 0.061 0x00
OBS: 59409.430 g NULL 2395.034 74.614 19.052 0.034 0x00
OBS: 59409.430 i NULL 1473.666 163.643 19.579 0.121 0x00
OBS: 59410.357 X 544 2493.056 87.600 19.008 0.038 0x00
OBS: 59410.413 Y 544 2419.892 93.369 19.041 0.042 0x00
OBS: 59412.353 X 544 2323.837 92.772 19.084 0.043 0x00
OBS: 59412.600 i NULL 1571.364 53.674 19.509 0.037 0x00
OBS: 59412.600 g NULL 2186.026 84.275 19.151 0.042 0x00
OBS: 59414.550 i NULL 1505.616 110.751 19.556 0.080 0x00
OBS: 59414.990 r NULL 2185.465 71.924 19.151 0.036 0x00
OBS: 59415.378 Y 544 2397.201 96.620 19.051 0.044 0x00
OBS: 59415.410 z NULL 637.472 86.621 20.489 0.148 0x00
OBS: 59415.436 X 544 2130.830 89.583 19.179 0.046 0x00
OBS: 59422.287 X 544 1998.827 188.470 19.248 0.102 0x00
OBS: 59422.383 Y 544 2034.211 164.906 19.229 0.088 0x00
OBS: 59424.278 X 544 1444.954 96.943 19.600 0.073 0x00
OBS: 59424.331 Y 544 1808.054 105.860 19.357 0.064 0x00
OBS: 59425.410 z NULL 606.477 113.934 20.543 0.204 0x00
OBS: 59425.410 g NULL 1211.696 77.906 19.792 0.070 0x00
OBS: 59426.350 X 544 1436.978 81.164 19.606 0.061 0x00
OBS: 59427.370 g NULL 1230.956 126.050 19.774 0.111 0x00
