SURVEY:  YSE
SNID:  2021tol
otherID: 
IAUC:    UNKNOWN
RA:        19.5024610  deg
DECL:       -1.5793510  deg
MWEBV:    0.044 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: 0.0400 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0540 +- 0.039 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J011800.396-013439.821 
VETTED_PS1_OBJID: 106100195014626903 
VETTED_HOST_GALAXY_STATUS: N 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 2.191 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (19.5027, -1.5799) 
VETTED_HOST_GALAXY_NAME: nan (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59417.422
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -18.989
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.653 +- 0.03
PARSNIP_S2: -0.491 +- 0.038
PARSNIP_S3: 1.301 +- 0.037
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 100.0
SET_ZTF_FP: 27.500
PEAK_SNR: 78.097
MAX_MJD_GAP(days): 12.996
NOBS_BEFORE_PEAK: 3
NOBS_TO_PEAK: 4
NOBS_AFTER_PEAK: 64
SEARCH_PEAKMAG: 17.245
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 17.688
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021tol.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.443 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 68
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59410.434 Y 399 3164.266 138.695 18.749 0.048 0x00
OBS: 59412.420 Y 399 6060.312 131.163 18.044 0.023 0x00
OBS: 59412.460 X 399 5963.748 127.441 18.061 0.023 0x00
OBS: 59417.422 X 399 12641.737 898.429 17.245 0.077 0x00
OBS: 59419.435 X 399 9114.206 1343.320 17.601 0.160 0x00
OBS: 59427.441 Y 399 8409.770 144.577 17.688 0.019 0x00
OBS: 59427.466 X 399 7934.298 152.085 17.751 0.021 0x00
OBS: 59429.439 X 399 5826.706 123.191 18.086 0.023 0x00
OBS: 59429.580 g NULL 6031.091 100.533 18.049 0.018 0x00
OBS: 59429.580 r NULL 7784.575 99.678 17.772 0.014 0x00
OBS: 59434.045 g NULL 3332.543 91.115 18.694 0.030 0x00
OBS: 59434.458 X 399 3446.119 83.096 18.657 0.026 0x00
OBS: 59434.462 Y 399 6415.946 101.654 17.982 0.017 0x00
OBS: 59434.510 r NULL 6371.558 91.623 17.989 0.016 0x00
OBS: 59436.440 X 399 2710.467 90.774 18.917 0.036 0x00
OBS: 59436.463 Y 399 6086.975 104.014 18.039 0.019 0x00
OBS: 59437.550 i NULL 4893.846 101.092 18.276 0.022 0x00
OBS: 59437.550 g NULL 2244.917 76.372 19.122 0.037 0x00
OBS: 59439.440 X 399 1672.205 102.232 19.442 0.066 0x00
OBS: 59439.465 Y 399 4804.673 120.616 18.296 0.027 0x00
OBS: 59440.480 i NULL 4216.157 80.587 18.438 0.021 0x00
OBS: 59440.480 g NULL 1538.927 62.247 19.532 0.044 0x00
OBS: 59442.426 Y 399 3664.777 112.244 18.590 0.033 0x00
OBS: 59442.465 X 399 1464.322 84.525 19.586 0.063 0x00
OBS: 59442.550 z NULL 3839.000 104.650 18.539 0.030 0x00
OBS: 59442.550 g NULL 1329.547 56.396 19.691 0.046 0x00
OBS: 59445.530 r NULL 2824.984 83.408 18.872 0.032 0x00
OBS: 59445.530 z NULL 3279.765 122.040 18.710 0.040 0x00
OBS: 59446.398 Y 399 2713.308 197.414 18.916 0.079 0x00
OBS: 59449.374 Y 399 2758.149 452.121 18.898 0.178 0x00
OBS: 59454.385 X 399 675.228 147.994 20.426 0.238 0x00
OBS: 59457.420 g NULL 872.966 78.376 20.148 0.097 0x00
OBS: 59457.420 z NULL 991.253 118.540 20.010 0.130 0x00
OBS: 59458.360 Y 399 1450.778 96.371 19.596 0.072 0x00
OBS: 59460.359 Y 399 1530.391 92.225 19.538 0.065 0x00
OBS: 59460.408 X 399 734.560 68.233 20.335 0.101 0x00
OBS: 59462.417 Y 399 1417.259 76.620 19.621 0.059 0x00
OBS: 59462.469 X 399 761.010 78.855 20.297 0.112 0x00
OBS: 59464.414 Y 399 1170.043 87.144 19.829 0.081 0x00
OBS: 59464.441 X 399 616.772 74.643 20.525 0.131 0x00
OBS: 59464.540 r NULL 1267.097 71.728 19.743 0.061 0x00
OBS: 59464.540 g NULL 692.939 60.784 20.398 0.095 0x00
OBS: 59466.377 Y 399 953.658 86.010 20.052 0.098 0x00
OBS: 59466.400 X 399 664.036 72.063 20.445 0.118 0x00
OBS: 59466.540 g NULL 556.852 48.262 20.636 0.094 0x00
OBS: 59466.550 i NULL 1079.687 53.488 19.917 0.054 0x00
OBS: 59468.378 Y 399 1094.184 78.161 19.902 0.078 0x00
OBS: 59468.422 X 399 628.407 78.268 20.504 0.135 0x00
OBS: 59468.450 g NULL 501.293 44.108 20.750 0.096 0x00
OBS: 59468.450 r NULL 1185.018 55.842 19.816 0.051 0x00
OBS: 59470.377 X 399 577.011 74.107 20.597 0.139 0x00
OBS: 59470.401 Y 399 1033.004 78.780 19.965 0.083 0x00
OBS: 59472.436 X 399 508.496 70.420 20.734 0.150 0x00
OBS: 59476.421 Y 399 939.564 177.512 20.068 0.205 0x00
OBS: 59483.390 r NULL 852.608 89.408 20.173 0.114 0x00
OBS: 59483.390 i NULL 598.282 96.721 20.558 0.176 0x00
OBS: 59485.520 i NULL 577.716 66.971 20.596 0.126 0x00
OBS: 59488.331 Y 399 587.246 89.719 20.578 0.166 0x00
OBS: 59488.379 X 399 555.480 91.698 20.638 0.179 0x00
OBS: 59492.490 i NULL 542.671 68.711 20.664 0.137 0x00
OBS: 59492.490 g NULL 377.685 68.950 21.057 0.198 0x00
OBS: 59498.420 i NULL 351.375 43.080 21.136 0.133 0x00
OBS: 59501.360 g NULL 388.393 70.940 21.027 0.198 0x00
OBS: 59501.404 X 399 386.856 89.428 21.031 0.251 0x00
OBS: 59514.400 i NULL 241.049 54.940 21.545 0.247 0x00
OBS: 59514.410 r NULL 374.479 59.754 21.066 0.173 0x00
OBS: 59524.318 X 399 273.301 64.608 21.408 0.257 0x00
OBS: 59525.380 r NULL 308.368 57.738 21.277 0.203 0x00
END:
