SURVEY:  YSE
SNID:  2021txi
otherID: 
IAUC:    UNKNOWN
RA:        4.4385340  deg
DECL:       27.2439550  deg
MWEBV:    0.031 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: 0.1050 +- 0.024 (PHOTO-Z, HELIO)
PHOTO_Z: 0.1050 +- 0.024 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J001745.291+271439.420 
VETTED_PS1_OBJID: 140690044387533706 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 1.325 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (4.4387426, 27.2442856) 
VETTED_HOST_GALAXY_NAME: WISEA J001745.29+271439.1 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59427.425
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 80.5
PARSNIP_S1: -0.477 +- 0.066
PARSNIP_S2: 0.647 +- 0.189
PARSNIP_S3: 0.72 +- 0.094
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 92.9
SET_ZTF_FP: 27.500
PEAK_SNR: 22.377
MAX_MJD_GAP(days): 9.984
NOBS_BEFORE_PEAK: 14
NOBS_TO_PEAK: 15
NOBS_AFTER_PEAK: 29
SEARCH_PEAKMAG: 19.259
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 19.259
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: XiYg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021txi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0046
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.579 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 44
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59407.424 Y 600.0 401.117 87.611 20.992 0.237 0x00
OBS: 59409.436 X 600.0 416.127 83.304 20.952 0.217 0x00
OBS: 59409.448 Y 600.0 649.905 86.934 20.468 0.145 0x00
OBS: 59411.414 X 600.0 456.564 90.923 20.851 0.216 0x00
OBS: 59411.454 Y 600.0 837.547 75.932 20.192 0.098 0x00
OBS: 59414.426 X 600.0 859.308 72.593 20.165 0.092 0x00
OBS: 59414.448 Y 600.0 1270.551 71.694 19.740 0.061 0x00
OBS: 59418.407 Y 600.0 1655.403 236.138 19.453 0.155 0x00
OBS: 59418.448 X 600.0 1379.606 243.965 19.651 0.192 0x00
OBS: 59422.410 Y 600.0 1571.810 159.172 19.509 0.110 0x00
OBS: 59422.456 X 600.0 1558.185 200.886 19.518 0.140 0x00
OBS: 59424.392 Y 600.5 1470.900 151.185 19.581 0.112 0x00
OBS: 59424.437 X 600.0 1328.135 165.773 19.692 0.136 0x00
OBS: 59427.369 X 600.0 1257.550 105.938 19.751 0.091 0x00
OBS: 59427.425 Y 600.0 1978.626 98.505 19.259 0.054 0x00
OBS: 59428.400 Y 601.0 1754.044 80.465 19.390 0.050 0x00
OBS: 59429.383 Y 600.0 1818.324 94.870 19.351 0.057 0x00
OBS: 59429.429 X 600.0 1160.906 84.925 19.838 0.079 0x00
OBS: 59431.470 g NULL 850.715 88.846 20.176 0.113 0x00
OBS: 59431.470 i NULL 1634.382 86.834 19.467 0.058 0x00
OBS: 59434.369 Y 600.0 1580.362 70.624 19.503 0.049 0x00
OBS: 59434.437 X 600.0 1000.569 75.525 19.999 0.082 0x00
OBS: 59436.382 Y 600.0 1479.547 72.668 19.575 0.053 0x00
OBS: 59436.425 X 600.0 865.217 60.646 20.157 0.076 0x00
OBS: 59439.391 Y 600.0 1279.075 89.501 19.733 0.076 0x00
OBS: 59439.429 X 600.5 583.008 77.581 20.589 0.145 0x00
OBS: 59441.590 i NULL 751.615 93.258 20.310 0.135 0x00
OBS: 59442.324 X 600.5 437.232 88.445 20.901 0.220 0x00
OBS: 59442.382 Y 600.5 1130.218 85.820 19.887 0.085 0x00
OBS: 59444.430 X 600.0 397.356 77.449 21.002 0.212 0x00
OBS: 59446.395 Y 601.0 942.492 128.111 20.064 0.148 0x00
OBS: 59446.473 X 601.0 303.772 63.944 21.294 0.229 0x00
