SURVEY:  YSE
SNID:  2021udc
otherID: 
IAUC:    UNKNOWN
RA:        33.8603120  deg
DECL:       34.7405530  deg
MWEBV:    0.079 +- 0.004 MW E(B-V)
REDSHIFT_FINAL: 0.0350 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.0750 +- 0.022 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J021525.881+344434.222 
VETTED_PS1_OBJID: 149690338577642005 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 11.087 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (33.8578318, 34.7428536) 
VETTED_HOST_GALAXY_NAME: WISEA J021525.88+344434.4 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59427.449
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -18.415
SPEC_CLASS: SN IIb
SPEC_CLASS_BROAD: SN II
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 99.7
PARSNIP_S1: 0.574 +- 0.022
PARSNIP_S2: -0.841 +- 0.032
PARSNIP_S3: 1.378 +- 0.028
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 89.7
SET_ZTF_FP: 27.500
PEAK_SNR: 81.511
MAX_MJD_GAP(days): 14.042
NOBS_BEFORE_PEAK: 5
NOBS_TO_PEAK: 6
NOBS_AFTER_PEAK: 44
SEARCH_PEAKMAG: 17.522
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 17.522
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021udc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.638 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 50
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59418.414 Y 652 1907.363 286.389 19.299 0.163 0x00
OBS: 59422.424 Y 652 6805.112 166.562 17.918 0.027 0x00
OBS: 59422.452 X 652 8306.651 175.758 17.701 0.023 0x00
OBS: 59424.405 Y 652 9149.535 166.876 17.597 0.020 0x00
OBS: 59424.454 X 652 9617.992 170.118 17.542 0.019 0x00
OBS: 59427.449 Y 652 9803.085 144.989 17.522 0.016 0x00
OBS: 59427.468 X 652 9688.864 169.402 17.534 0.019 0x00
OBS: 59429.427 X 652 9125.963 127.610 17.599 0.015 0x00
OBS: 59429.466 Y 652 9280.029 113.850 17.581 0.013 0x00
OBS: 59432.610 r NULL 7766.425 98.276 17.774 0.014 0x00
OBS: 59432.610 g NULL 7651.544 99.054 17.791 0.014 0x00
OBS: 59434.452 X 652 7486.466 102.979 17.814 0.015 0x00
OBS: 59434.474 Y 652 8261.894 106.495 17.707 0.014 0x00
OBS: 59436.620 i NULL 6938.200 91.879 17.897 0.014 0x00
OBS: 59436.620 g NULL 6377.189 116.148 17.988 0.020 0x00
OBS: 59438.448 X 652 6401.482 107.197 17.984 0.018 0x00
OBS: 59438.474 Y 652 7088.189 109.052 17.874 0.017 0x00
OBS: 59440.456 X 652 5556.641 101.973 18.138 0.020 0x00
OBS: 59440.473 Y 652 6052.216 103.944 18.045 0.019 0x00
OBS: 59440.560 i NULL 5842.983 90.713 18.083 0.017 0x00
OBS: 59440.560 g NULL 5124.195 97.170 18.226 0.021 0x00
OBS: 59443.452 X 652 4292.033 104.625 18.418 0.026 0x00
OBS: 59443.468 Y 652 5539.447 112.395 18.141 0.022 0x00
OBS: 59444.590 r NULL 4554.040 85.851 18.354 0.020 0x00
OBS: 59444.590 i NULL 4762.167 89.684 18.305 0.020 0x00
OBS: 59447.550 z NULL 3455.392 107.423 18.654 0.034 0x00
OBS: 59447.550 r NULL 3714.053 118.333 18.575 0.035 0x00
OBS: 59449.415 Y 652 3896.900 301.737 18.523 0.084 0x00
OBS: 59449.456 X 652 2837.194 272.577 18.868 0.104 0x00
OBS: 59450.610 r NULL 2823.925 163.671 18.873 0.063 0x00
OBS: 59450.610 i NULL 3255.709 159.913 18.718 0.053 0x00
OBS: 59452.445 Y 652 2682.081 220.104 18.929 0.089 0x00
OBS: 59459.342 X 652 486.756 62.299 20.782 0.139 0x00
OBS: 59459.382 Y 652 1166.653 66.781 19.833 0.062 0x00
OBS: 59460.620 r NULL 721.761 114.768 20.354 0.173 0x00
OBS: 59461.393 Y 652 1108.199 71.742 19.888 0.070 0x00
OBS: 59461.427 X 652 411.210 73.644 20.965 0.194 0x00
OBS: 59463.406 Y 652 856.470 80.254 20.168 0.102 0x00
OBS: 59465.364 Y 652 703.013 73.268 20.383 0.113 0x00
OBS: 59465.620 g NULL 306.105 52.519 21.285 0.186 0x00
OBS: 59465.620 i NULL 751.528 63.358 20.310 0.092 0x00
OBS: 59467.410 Y 652 801.421 66.274 20.240 0.090 0x00
OBS: 59467.442 X 652 288.015 66.719 21.351 0.252 0x00
OBS: 59469.407 Y 652 671.182 70.724 20.433 0.114 0x00
OBS: 59469.427 X 652 257.885 60.505 21.471 0.255 0x00
OBS: 59470.620 z NULL 661.155 90.206 20.449 0.148 0x00
OBS: 59471.433 Y 652 663.009 83.233 20.446 0.136 0x00
OBS: 59474.299 Y 652 660.792 126.132 20.450 0.207 0x00
OBS: 59488.341 Y 652 328.651 69.832 21.208 0.231 0x00
OBS: 59501.384 Y 652 288.867 62.406 21.348 0.235 0x00
END:
