SURVEY:  YSE
SNID:  2021uwx
otherID: 
IAUC:    UNKNOWN
RA:        333.3558700  deg
DECL:       6.7826520  deg
MWEBV:    0.081 +- 0.004 MW E(B-V)
REDSHIFT_FINAL: 0.5250 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.1550 +- 0.084 (W/O POSTERIOR)
VETTED_PSO_NAME: No PSO Name Found 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: H 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: -99.000 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME: nan (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59444.278
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -22.338
SPEC_CLASS: SLSN-I
SPEC_CLASS_BROAD: Other
PARSNIP_PRED: SN II
PARSNIP_CONF: 54.2
PARSNIP_S1: -1.198 +- 0.119
PARSNIP_S2: 0.739 +- 0.325
PARSNIP_S3: -0.703 +- 0.15
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 99.7
SET_ZTF_FP: 27.500
PEAK_SNR: 12.847
MAX_MJD_GAP(days): 8.980
NOBS_BEFORE_PEAK: 24
NOBS_TO_PEAK: 25
NOBS_AFTER_PEAK: 32
SEARCH_PEAKMAG: 20.050
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 20.050
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021uwx.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0015
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.264 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 57
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59425.420 g NULL 454.096 52.524 20.857 0.126 0x00
OBS: 59426.348 X 494 564.274 118.617 20.621 0.228 0x00
OBS: 59427.390 g NULL 551.033 66.934 20.647 0.132 0x00
OBS: 59427.390 i NULL 394.170 81.655 21.011 0.225 0x00
OBS: 59428.323 X 494 618.196 83.113 20.522 0.146 0x00
OBS: 59430.320 X 494 520.154 81.573 20.710 0.170 0x00
OBS: 59430.354 Y 494 568.690 81.833 20.613 0.156 0x00
OBS: 59430.480 g NULL 618.635 48.153 20.521 0.085 0x00
OBS: 59430.480 i NULL 393.051 45.850 21.014 0.127 0x00
OBS: 59433.380 g NULL 565.000 62.771 20.620 0.121 0x00
OBS: 59433.390 r NULL 504.673 60.080 20.742 0.129 0x00
OBS: 59434.520 i NULL 650.387 54.557 20.467 0.091 0x00
OBS: 59435.395 X 494 624.334 72.040 20.511 0.125 0x00
OBS: 59437.400 g NULL 588.254 115.054 20.576 0.212 0x00
OBS: 59437.400 r NULL 575.693 98.710 20.600 0.186 0x00
OBS: 59438.323 Y 494 528.031 130.409 20.693 0.268 0x00
OBS: 59439.400 i NULL 567.714 109.026 20.615 0.209 0x00
OBS: 59439.400 g NULL 595.335 86.193 20.563 0.157 0x00
OBS: 59440.276 X 494 642.554 101.951 20.480 0.172 0x00
OBS: 59440.301 Y 494 659.160 98.894 20.453 0.163 0x00
OBS: 59441.430 g NULL 563.348 69.119 20.623 0.133 0x00
OBS: 59442.352 Y 494 538.884 80.257 20.671 0.162 0x00
OBS: 59443.430 g NULL 511.771 98.377 20.727 0.209 0x00
OBS: 59443.430 i NULL 546.394 95.907 20.656 0.191 0x00
OBS: 59444.278 Y 494 954.659 225.600 20.050 0.257 0x00
OBS: 59445.390 r NULL 461.879 76.057 20.839 0.179 0x00
OBS: 59445.390 z NULL 432.626 84.187 20.910 0.211 0x00
OBS: 59452.580 i NULL 697.318 133.035 20.391 0.207 0x00
OBS: 59453.280 Y 494 683.763 112.793 20.413 0.179 0x00
OBS: 59453.363 X 494 768.421 138.955 20.286 0.196 0x00
OBS: 59454.570 r NULL 594.317 67.297 20.565 0.123 0x00
OBS: 59455.237 X 494 476.361 79.102 20.805 0.180 0x00
OBS: 59455.279 Y 494 734.500 117.218 20.335 0.173 0x00
