SURVEY:  YSE
SNID:  2021vaw
otherID: 
IAUC:    UNKNOWN
RA:        5.8084770  deg
DECL:       16.1761530  deg
MWEBV:    0.049 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: 0.1100 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.1670 +- 0.056 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J002314.154+161034.490 
VETTED_PS1_OBJID: 127410058089711955 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 1.783 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (5.8089986, 16.1762627) 
VETTED_HOST_GALAXY_NAME: WISEA J002314.21+161034.8 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59442.424
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -19.697
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.127 +- 0.036
PARSNIP_S2: 0.22 +- 0.09
PARSNIP_S3: 1.322 +- 0.064
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 78.6
SET_ZTF_FP: 27.500
PEAK_SNR: 34.714
MAX_MJD_GAP(days): 17.108
NOBS_BEFORE_PEAK: 16
NOBS_TO_PEAK: 17
NOBS_AFTER_PEAK: 37
SEARCH_PEAKMAG: 18.840
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 18.840
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021vaw.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.388 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 54
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59428.453 X 551 628.208 81.217 20.505 0.140 0x00
OBS: 59428.467 Y 551 739.223 86.297 20.328 0.127 0x00
OBS: 59428.530 g NULL 756.605 60.147 20.303 0.086 0x00
OBS: 59431.480 g NULL 1389.846 61.378 19.643 0.048 0x00
OBS: 59434.369 Y 551 2045.602 85.957 19.223 0.046 0x00
OBS: 59434.437 X 551 2121.192 73.062 19.184 0.037 0x00
OBS: 59435.460 g NULL 2282.829 80.815 19.104 0.038 0x00
OBS: 59436.383 Y 551 2134.522 83.015 19.177 0.042 0x00
OBS: 59436.426 X 551 2638.195 80.713 18.947 0.033 0x00
OBS: 59438.610 i NULL 1933.007 67.379 19.284 0.038 0x00
OBS: 59438.620 g NULL 2687.140 77.408 18.927 0.031 0x00
OBS: 59439.392 Y 551 2605.771 100.491 18.960 0.042 0x00
OBS: 59439.422 X 551 2824.893 93.470 18.872 0.036 0x00
OBS: 59441.590 g NULL 2708.065 89.744 18.918 0.036 0x00
OBS: 59441.600 i NULL 1938.111 91.696 19.282 0.051 0x00
OBS: 59442.329 X 551 2763.752 99.499 18.896 0.039 0x00
OBS: 59442.424 Y 551 2911.989 94.249 18.840 0.035 0x00
OBS: 59443.620 g NULL 2643.397 77.912 18.945 0.032 0x00
OBS: 59446.379 Y 551 2676.832 177.009 18.931 0.072 0x00
OBS: 59446.458 X 551 2492.004 88.203 19.009 0.038 0x00
OBS: 59448.590 r NULL 2282.689 112.588 19.104 0.054 0x00
OBS: 59448.600 z NULL 1042.898 141.154 19.954 0.147 0x00
OBS: 59449.258 X 551 2411.686 349.871 19.044 0.158 0x00
OBS: 59449.364 Y 551 2851.854 352.995 18.862 0.134 0x00
OBS: 59453.340 Y 551 2002.065 133.431 19.246 0.072 0x00
OBS: 59453.390 X 551 1672.043 133.253 19.442 0.087 0x00
OBS: 59455.600 z NULL 729.395 129.392 20.343 0.193 0x00
OBS: 59455.600 g NULL 1298.331 129.426 19.717 0.108 0x00
OBS: 59459.341 X 551 974.127 65.489 20.028 0.073 0x00
OBS: 59459.362 Y 551 1519.055 75.720 19.546 0.054 0x00
OBS: 59461.381 Y 551 1471.298 82.794 19.581 0.061 0x00
OBS: 59461.413 X 551 742.649 68.801 20.323 0.101 0x00
OBS: 59463.369 X 551 706.960 58.889 20.377 0.090 0x00
OBS: 59463.380 Y 551 1363.759 75.067 19.663 0.060 0x00
OBS: 59464.390 g NULL 633.280 100.928 20.496 0.173 0x00
OBS: 59464.400 i NULL 1053.997 92.718 19.943 0.096 0x00
OBS: 59465.362 Y 551 1168.135 87.960 19.831 0.082 0x00
OBS: 59465.403 X 551 611.650 75.562 20.534 0.134 0x00
OBS: 59467.381 Y 551 1163.689 74.577 19.835 0.070 0x00
OBS: 59467.425 X 551 459.553 66.948 20.844 0.158 0x00
OBS: 59470.390 g NULL 339.108 67.926 21.174 0.217 0x00
OBS: 59470.390 i NULL 863.843 79.116 20.159 0.099 0x00
OBS: 59470.396 X 551 376.754 71.127 21.060 0.205 0x00
OBS: 59472.393 Y 551 906.738 93.244 20.106 0.112 0x00
OBS: 59472.420 X 551 396.662 66.455 21.004 0.182 0x00
OBS: 59474.295 Y 551 761.467 128.909 20.296 0.184 0x00
OBS: 59477.277 Y 551 792.659 189.855 20.252 0.260 0x00
OBS: 59482.490 r NULL 610.237 80.419 20.536 0.143 0x00
OBS: 59488.320 Y 551 587.677 79.093 20.577 0.146 0x00
OBS: 59491.490 r NULL 382.217 59.973 21.044 0.170 0x00
OBS: 59497.302 Y 551 413.001 81.992 20.960 0.216 0x00
OBS: 59514.410 i NULL 280.897 66.111 21.379 0.256 0x00
OBS: 59519.270 r NULL 249.269 40.340 21.508 0.176 0x00
OBS: 59521.256 Y 551 317.721 69.767 21.245 0.238 0x00
END:
