SURVEY:  YSE
SNID:  2021vri
otherID: 
IAUC:    UNKNOWN
RA:        35.7571360  deg
DECL:       -0.4193810  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.1020 +- 0.005 (SPEC-Z, HELIO)
PHOTO_Z: 0.1420 +- 0.080 (W/O POSTERIOR)
VETTED_PSO_NAME: No PSO Name Found 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: S 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 0.531 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (35.7570127, -0.41932) 
VETTED_HOST_GALAXY_NAME: SDSS J022301.68-002509.3 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59442.480
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: -19.59
SPEC_CLASS: SN Ia-norm
SPEC_CLASS_BROAD: SN Ia
PARSNIP_PRED: SN Ia
PARSNIP_CONF: 100.0
PARSNIP_S1: 0.039 +- 0.041
PARSNIP_S2: 0.347 +- 0.098
PARSNIP_S3: 1.3 +- 0.064
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 100.0
SET_ZTF_FP: 27.500
PEAK_SNR: 36.045
MAX_MJD_GAP(days): 15.123
NOBS_BEFORE_PEAK: 7
NOBS_TO_PEAK: 8
NOBS_AFTER_PEAK: 36
SEARCH_PEAKMAG: 18.772
SEARCH_PEAKFLT: X
PEAKMAG_YSE-r/ZTF-r(Y): 18.857
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021vri.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.819 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 44
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59427.444 Y 401 702.409 130.789 20.384 0.202 0x00
OBS: 59429.443 X 401 1240.397 108.771 19.766 0.095 0x00
OBS: 59429.472 Y 401 872.005 109.431 20.149 0.136 0x00
OBS: 59435.463 Y 401 2236.757 89.356 19.126 0.043 0x00
OBS: 59438.459 X 401 2973.650 100.698 18.817 0.037 0x00
OBS: 59438.478 Y 401 2545.194 96.596 18.986 0.041 0x00
OBS: 59442.458 Y 401 2866.080 94.637 18.857 0.036 0x00
OBS: 59442.480 X 401 3100.024 92.543 18.772 0.032 0x00
OBS: 59446.399 Y 401 2608.231 169.809 18.959 0.071 0x00
OBS: 59446.485 X 401 2465.784 85.575 19.020 0.038 0x00
OBS: 59446.600 z NULL 1089.080 72.188 19.907 0.072 0x00
OBS: 59446.600 r NULL 2532.542 70.260 18.991 0.030 0x00
OBS: 59448.550 r NULL 2757.825 101.584 18.899 0.040 0x00
OBS: 59448.550 i NULL 1705.773 75.441 19.420 0.048 0x00
OBS: 59459.441 X 401 1018.258 75.920 19.980 0.081 0x00
OBS: 59459.477 Y 401 1652.543 80.566 19.455 0.053 0x00
OBS: 59461.440 X 401 855.141 73.953 20.170 0.094 0x00
OBS: 59461.466 Y 401 1374.023 76.730 19.655 0.061 0x00
OBS: 59463.416 Y 401 1381.856 78.897 19.649 0.062 0x00
OBS: 59463.441 X 401 793.406 75.818 20.251 0.104 0x00
OBS: 59465.419 X 401 728.013 80.541 20.345 0.120 0x00
OBS: 59465.465 Y 401 1454.138 88.192 19.593 0.066 0x00
OBS: 59467.400 Y 401 1502.880 78.235 19.558 0.057 0x00
OBS: 59467.456 X 401 583.346 83.828 20.585 0.156 0x00
OBS: 59468.500 r NULL 1101.590 61.888 19.895 0.061 0x00
OBS: 59468.500 g NULL 543.053 56.201 20.663 0.112 0x00
OBS: 59469.381 Y 401 1231.153 83.379 19.774 0.074 0x00
OBS: 59471.379 X 401 435.704 103.274 20.902 0.257 0x00
OBS: 59471.436 Y 401 1223.840 96.608 19.781 0.086 0x00
OBS: 59474.319 Y 401 1132.314 155.187 19.865 0.149 0x00
OBS: 59474.421 X 401 402.499 62.877 20.988 0.170 0x00
OBS: 59479.401 Y 401 1066.146 243.568 19.930 0.248 0x00
OBS: 59484.339 Y 401 579.861 119.105 20.592 0.223 0x00
OBS: 59484.570 r NULL 633.870 70.057 20.495 0.120 0x00
OBS: 59484.570 z NULL 514.257 117.266 20.722 0.248 0x00
OBS: 59487.358 Y 401 633.275 94.307 20.496 0.162 0x00
OBS: 59487.500 z NULL 564.670 93.905 20.621 0.181 0x00
OBS: 59487.500 g NULL 252.742 55.268 21.493 0.237 0x00
OBS: 59489.415 Y 401 543.151 86.446 20.663 0.173 0x00
OBS: 59493.540 r NULL 422.364 43.391 20.936 0.112 0x00
OBS: 59494.281 Y 401 463.781 115.696 20.834 0.271 0x00
OBS: 59498.357 Y 401 492.523 85.576 20.769 0.189 0x00
OBS: 59513.480 r NULL 265.422 63.073 21.440 0.258 0x00
OBS: 59517.353 Y 401 387.203 76.493 21.030 0.214 0x00
END:
