SURVEY:  YSE
SNID:  2021xox
otherID: 
IAUC:    UNKNOWN
RA:        131.0065440  deg
DECL:       49.0717640  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: 0.1980 +- 0.068 (PHOTO-Z, HELIO)
PHOTO_Z: 0.1980 +- 0.068 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J084401.715+490417.778 
VETTED_PS1_OBJID: 166881310070336620 
VETTED_HOST_GALAXY_STATUS: G 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 1.493 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (131.0071465, 49.0716007) 
VETTED_HOST_GALAXY_NAME: SDSS J084401.71+490417.6 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59461.902
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN Ibc
PARSNIP_CONF: 57.6
PARSNIP_S1: -1.42 +- 0.092
PARSNIP_S2: 0.721 +- 0.185
PARSNIP_S3: 0.127 +- 0.113
SUPERRAENN_PRED: SN Ibc
SUPERRAENN_CONF: 100.0
SET_ZTF_FP: 27.500
PEAK_SNR: 17.594
MAX_MJD_GAP(days): 9.964
NOBS_BEFORE_PEAK: 3
NOBS_TO_PEAK: 4
NOBS_AFTER_PEAK: 40
SEARCH_PEAKMAG: 19.415
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 19.415
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021xox.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0010
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.388 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 44
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59459.497 Y 749 1679.398 115.164 19.437 0.075 0x00
OBS: 59460.001 Y 749 1679.942 120.024 19.439 0.078 0x00
OBS: 59460.902 Y 749 1678.656 117.782 19.440 0.077 0x00
OBS: 59461.902 Y 749 1715.000 113.808 19.415 0.072 0x00
OBS: 59462.505 Y 749 1677.186 108.861 19.441 0.071 0x00
OBS: 59463.508 Y 749 1683.596 119.049 19.435 0.077 0x00
OBS: 59473.473 Y 749 1318.585 108.149 19.700 0.089 0x00
OBS: 59473.494 X 749 1127.067 102.438 19.870 0.099 0x00
OBS: 59474.620 z NULL 1412.040 178.965 19.625 0.138 0x00
OBS: 59475.473 X 749 913.045 148.998 20.099 0.177 0x00
OBS: 59478.528 Y 749 1151.942 216.523 19.846 0.204 0x00
OBS: 59480.620 z NULL 1481.893 151.324 19.573 0.111 0x00
OBS: 59480.620 r NULL 1386.412 129.663 19.645 0.102 0x00
OBS: 59483.491 Y 749 1231.447 170.533 19.774 0.150 0x00
OBS: 59484.630 r NULL 1389.529 119.421 19.643 0.093 0x00
OBS: 59484.630 z NULL 1283.298 226.536 19.729 0.192 0x00
OBS: 59487.498 Y 749 1178.557 158.801 19.822 0.146 0x00
OBS: 59491.630 r NULL 1283.193 72.932 19.729 0.062 0x00
OBS: 59491.630 g NULL 929.130 71.964 20.080 0.084 0x00
OBS: 59494.630 i NULL 1279.339 122.583 19.733 0.104 0x00
OBS: 59494.630 g NULL 1074.254 103.986 19.922 0.105 0x00
OBS: 59496.450 Y 749 1008.949 112.616 19.990 0.121 0x00
OBS: 59500.454 X 749 643.116 122.279 20.479 0.206 0x00
OBS: 59500.506 Y 749 1158.026 80.474 19.841 0.075 0x00
OBS: 59503.386 Y 749 1220.354 226.370 19.784 0.201 0x00
OBS: 59503.484 X 749 707.884 103.009 20.375 0.158 0x00
OBS: 59504.600 i NULL 1082.592 79.483 19.914 0.080 0x00
OBS: 59507.590 r NULL 728.569 91.904 20.344 0.137 0x00
OBS: 59507.600 z NULL 894.180 103.805 20.121 0.126 0x00
OBS: 59508.620 r NULL 981.337 106.029 20.020 0.117 0x00
OBS: 59508.620 i NULL 1002.907 80.242 19.997 0.087 0x00
OBS: 59509.469 Y 749 935.026 147.154 20.073 0.171 0x00
OBS: 59510.580 r NULL 851.624 100.295 20.174 0.128 0x00
OBS: 59510.580 i NULL 887.091 94.773 20.130 0.116 0x00
OBS: 59518.365 X 749 322.301 70.946 21.229 0.239 0x00
OBS: 59518.518 Y 749 562.319 69.919 20.625 0.135 0x00
OBS: 59519.630 g NULL 332.426 56.589 21.196 0.185 0x00
OBS: 59519.640 r NULL 514.524 55.831 20.721 0.118 0x00
OBS: 59522.347 Y 749 400.305 84.498 20.994 0.229 0x00
OBS: 59524.451 Y 749 391.991 68.256 21.017 0.189 0x00
OBS: 59526.497 Y 749 465.993 83.942 20.829 0.196 0x00
OBS: 59526.620 g NULL 246.630 54.597 21.520 0.240 0x00
OBS: 59526.620 i NULL 575.720 63.000 20.599 0.119 0x00
OBS: 59529.370 Y 749 442.078 101.252 20.886 0.249 0x00
END:
