SURVEY:  YSE
SNID:  2021yxl
otherID: 
IAUC:    UNKNOWN
RA:        317.9850290  deg
DECL:       -4.2647390  deg
MWEBV:    0.060 +- 0.003 MW E(B-V)
REDSHIFT_FINAL: 0.1630 +- 0.077 (PHOTO-Z, HELIO)
PHOTO_Z: 0.1630 +- 0.077 (W/ POSTERIOR)
VETTED_PSO_NAME: PSO J211156.372-041551.998 
VETTED_PS1_OBJID: 102883179848303136 
VETTED_HOST_GALAXY_STATUS: GS 
SN_OFFSET_TO_VETTED_HOST_GALAXY_CENTER: 1.236 arcsec
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (317.9848576, -4.2644604) 
VETTED_HOST_GALAXY_NAME: WISEA J211156.34-041552.2 (NED)
VETTED_HOST_GALAXY_REDSHIFT: -99.0000 +- 0.005 (HOST-Z, HELIO)
SEARCH_PEAKMJD: 59473.252
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN II
PARSNIP_CONF: 87.7
PARSNIP_S1: -0.29 +- 0.192
PARSNIP_S2: 0.365 +- 0.372
PARSNIP_S3: -1.18 +- 0.1
SUPERRAENN_PRED: SN Ia
SUPERRAENN_CONF: 54.3
SET_ZTF_FP: 27.500
PEAK_SNR: 12.382
MAX_MJD_GAP(days): 18.010
NOBS_BEFORE_PEAK: 37
NOBS_TO_PEAK: 38
NOBS_AFTER_PEAK: 20
SEARCH_PEAKMAG: 20.072
SEARCH_PEAKFLT: Y
PEAKMAG_YSE-r/ZTF-r(Y): 20.072
PEAKFLT_YSE-r/ZTF-r(Y): Y
FILTERS: zXiYrg
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 757, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021yxl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0013
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.826 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 58
NVAR: 8
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59439.410 g NULL 463.556 66.964 20.835 0.157 0x00
OBS: 59440.291 X 441 520.233 85.676 20.710 0.179 0x00
OBS: 59440.297 Y 441 437.955 95.296 20.896 0.236 0x00
OBS: 59441.430 g NULL 527.413 62.943 20.695 0.130 0x00
OBS: 59441.430 i NULL 427.981 78.213 20.921 0.198 0x00
OBS: 59442.296 X 441 735.021 108.744 20.334 0.161 0x00
OBS: 59442.353 Y 441 575.156 84.189 20.601 0.159 0x00
OBS: 59443.440 g NULL 563.588 64.410 20.623 0.124 0x00
OBS: 59451.320 r NULL 643.210 88.986 20.479 0.150 0x00
OBS: 59451.320 i NULL 792.465 113.852 20.253 0.156 0x00
OBS: 59453.211 X 441 726.323 80.904 20.347 0.121 0x00
OBS: 59453.277 Y 441 708.394 84.905 20.374 0.130 0x00
OBS: 59453.420 z NULL 488.126 99.434 20.779 0.221 0x00
OBS: 59453.420 r NULL 644.566 64.949 20.477 0.109 0x00
OBS: 59455.234 X 441 705.703 72.200 20.378 0.111 0x00
OBS: 59455.276 Y 441 838.716 94.402 20.191 0.122 0x00
OBS: 59459.233 Y 441 712.159 86.913 20.369 0.132 0x00
OBS: 59459.275 X 441 529.377 71.466 20.691 0.147 0x00
OBS: 59461.233 X 441 688.526 89.788 20.405 0.142 0x00
OBS: 59461.275 Y 441 882.096 93.397 20.136 0.115 0x00
OBS: 59461.340 g NULL 615.020 97.520 20.528 0.172 0x00
OBS: 59461.340 r NULL 479.145 111.588 20.799 0.253 0x00
OBS: 59463.234 X 441 573.304 70.598 20.604 0.134 0x00
OBS: 59463.285 Y 441 705.241 86.806 20.379 0.134 0x00
OBS: 59465.192 Y 441 845.355 87.370 20.182 0.112 0x00
OBS: 59465.300 X 441 593.601 91.381 20.566 0.167 0x00
OBS: 59466.330 i NULL 741.997 62.754 20.324 0.092 0x00
OBS: 59466.330 g NULL 372.471 63.638 21.072 0.186 0x00
OBS: 59467.212 X 441 499.098 99.206 20.755 0.216 0x00
OBS: 59467.234 Y 441 767.375 78.687 20.287 0.111 0x00
OBS: 59468.290 r NULL 526.348 65.340 20.697 0.135 0x00
OBS: 59468.290 g NULL 472.731 94.757 20.813 0.218 0x00
OBS: 59469.193 Y 441 715.221 96.327 20.364 0.146 0x00
OBS: 59469.252 X 441 531.662 75.399 20.686 0.154 0x00
OBS: 59469.280 i NULL 746.397 77.435 20.318 0.113 0x00
OBS: 59469.280 g NULL 464.237 58.798 20.833 0.138 0x00
OBS: 59471.225 Y 441 809.349 136.493 20.230 0.183 0x00
OBS: 59473.252 Y 441 936.018 131.972 20.072 0.153 0x00
OBS: 59480.213 Y 441 603.349 131.922 20.549 0.237 0x00
OBS: 59481.400 r NULL 785.543 159.848 20.262 0.221 0x00
OBS: 59483.390 r NULL 557.885 95.572 20.634 0.186 0x00
OBS: 59483.390 i NULL 765.346 83.733 20.290 0.119 0x00
OBS: 59484.226 Y 441 669.701 91.083 20.435 0.148 0x00
OBS: 59485.280 g NULL 318.583 72.939 21.242 0.249 0x00
OBS: 59485.290 z NULL 381.823 69.772 21.045 0.198 0x00
OBS: 59486.256 Y 441 590.378 100.628 20.572 0.185 0x00
OBS: 59488.191 Y 441 643.869 88.838 20.478 0.150 0x00
OBS: 59488.213 X 441 310.868 77.531 21.269 0.271 0x00
OBS: 59488.280 r NULL 480.375 71.572 20.796 0.162 0x00
OBS: 59506.290 i NULL 803.165 96.364 20.238 0.130 0x00
OBS: 59510.250 i NULL 775.320 62.619 20.276 0.088 0x00
OBS: 59510.260 r NULL 479.278 56.530 20.799 0.128 0x00
OBS: 59511.270 r NULL 521.624 60.926 20.707 0.127 0x00
OBS: 59511.270 z NULL 524.342 85.938 20.701 0.178 0x00
OBS: 59512.166 Y 441 652.450 92.779 20.464 0.154 0x00
OBS: 59520.194 Y 441 694.739 129.858 20.395 0.203 0x00
OBS: 59524.088 Y 441 520.125 82.484 20.710 0.172 0x00
OBS: 59526.107 Y 441 602.147 94.177 20.551 0.170 0x00
END:
