cls,num_anom_tagged,num_anom_generated,anom_recovered_percent,num_failcuts,num_normal
CART,22,90,24.4,0,68
ILOT,0,1,0.0,1,0
KN_B19,0,2,0.0,0,2
PISN-MOSFIT,851,4152,20.5,2,3299
PISN-STELLA_HECORE,33,595,5.5,3,559
PISN-STELLA_HYDROGENIC,169,978,17.299999999999997,7,802
SLSNI,928,4166,22.3,0,3238
SNII,265,2330,11.4,2,2063
SNIIn+HostXT,227,1774,12.8,0,1547
SNIIn-MOSFIT,31,242,12.8,2,209
SNIa,360,3530,10.2,5,3165
SNIa-91bg,56,1023,5.5,4,963
SNIax,51,239,21.3,0,188
SNIb,171,989,17.299999999999997,0,818
SNIc,388,2532,15.299999999999999,1,2143
SNIcBL+HostXT_V19,192,1145,16.8,1,952
TDE,400,985,40.6,0,585
