"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"44189","SN 2019oys","07:07:59.260","+31:39:55.30","SN Ib","0.016501","","","ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19abucwzt","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","19.14","g-ZTF","2019-08-28 11:36:57.000","ZTF_Bot1","","2019TNSTR1661....1F","2019TNSCR1846....1F",""
"44183","SN 2019oym","00:59:53.663","+02:54:32.51","SN Ia","0.065","","","ZTF","ZTF","ZTF","ZTF","ZTF19abrmlxu","P48 - ZTF-Cam","P60 - SEDM","1","1","","19","r-ZTF","2019-08-24 09:01:26.000","ZTF_Bot1","","2019TNSTR1661....1F","2019TNSCR1756....1F",""
"44180","SN 2019oyj","03:46:34.834","+25:06:54.74","SN Ib/c","0.031","","","ZTF","ZTF","ZTF","ZTF","ZTF19abgnbjr","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.61","r-ZTF","2019-07-15 11:39:50.000","ZTF_Bot1","","2019TNSTR1661....1F","2019TNSCR1845....1D",""
"44158","SN 2019oxn","17:51:12.788","+51:22:57.18","SN II","0.02","SDSS J175113.25+512300.1","0.038","ALeRCE, ATLAS, ZTF, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","None, ZTF","ALeRCE; ATLAS; Pan-STARRS; ZTF","ZTF19abueupg","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","19.5887","g-ZTF","2019-08-29 07:30:44.000","ALeRCE","","2019TNSTR1653....1F","2019TNSCR1707....1D, 2019TNSCR2851....1F",""
"44153","SN 2019oxi","03:26:48.180","-14:28:59.70","SN II","0.056659","2MASX J03264827-1428508","0.056659","ALeRCE, ATLAS, ZTF, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ALeRCE; ATLAS; GaiaAlerts; ZTF","ZTF19abukakm","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","APO-3.5m - DIS","1","1","","18.9028","g-ZTF","2019-08-29 11:02:03.000","ALeRCE","","2019TNSTR1653....1F","2019TNSCR2050....1D",""
"44109","SN 2019ovr","07:28:50.260","+35:32:51.11","SN II","0.013059","ARK 134","0.013059","ALeRCE, ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF, GaiaAlerts, ATLAS, Pan-STARRS","Global SN Project","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19abudlps","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","FTN - FLOYDS-N","1","1","","18.1302","r-ZTF","2019-08-28 12:08:27.000","ALeRCE","","2019TNSTR1647....1F","2019TNSCR1683....1H",""
"44108","SN 2019ovq","04:10:18.740","+13:24:14.80","SN II","0.02","SDSS J041018.60+132409.0","0.002","ALeRCE, ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19abudjie","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","UH88 - SNIFS","1","1","","19.3659","g-ZTF","2019-08-28 11:58:41.000","ALeRCE","","2019TNSTR1647....1F","2019TNSCR1854....1D",""
"44100","SN 2019ovi","17:45:20.140","+44:24:31.93","SN Ia","0.048","SDSS J174520.28+442430.3","0.089","ALeRCE, ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19absfopz","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.2956","g-ZTF","2019-08-28 04:13:07.000","ALeRCE","","2019TNSTR1647....1F","2019TNSCR1756....1F",""
"44098","SN 2019ovg","14:58:26.810","+08:12:39.35","SN Ia","0.038","SDSS J145826.48+081230.6","0.035","ALeRCE, ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ALeRCE; ATLAS; GaiaAlerts; ZTF","ZTF19abtuigb","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.3099","g-ZTF","2019-08-28 03:41:45.000","ALeRCE","","2019TNSTR1647....1F","2019TNSCR1756....1F",""
"44070","SN 2019ouf","04:36:20.198","-13:54:34.59","SN Ia","0.03529","2MFGC 03761","0.035294","ALeRCE, ZTF, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS; ZTF","ZTF19abttstb","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.158","r-ZTF","2019-08-27 12:00:14.000","ALeRCE","","2019TNSTR1634....1F","2019TNSCR1846....1F",""
"44066","SN 2019oub","05:36:11.451","+51:37:01.29","SN Ic","0.04","2MASX J05361135+5137064","","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF19abtsnyy","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P200 - DBSP","1","1","","20.2502","g-ZTF","2019-08-27 11:11:44.000","ALeRCE","","2019TNSTR1634....1F","2019TNSCR1923....1F",""
"44065","SN 2019oua","04:13:13.070","-12:20:18.06","SN IIP","0.0319","LCSB S0681O","0.031902","ALeRCE, ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19abtslqm","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","P200 - DBSP","1","1","","17.9464","g-ZTF","2019-08-27 11:05:46.000","ALeRCE","","2019TNSTR1634....1F","2019TNSCR2050....1D",""
"44060","SN 2019otv","04:43:13.586","-15:33:40.07","SN Ia","0.037","","","ZTF","ZTF","ZTF","ZTF","ZTF19abttrte","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.07","g-ZTF","2019-08-27 11:22:22.000","ZTF_AMPEL_NEW","","2019TNSTR1641....1N","2020TNSCR.601....1D",""
"44050","SN 2019otl","02:52:21.629","-17:48:12.50","SLSN-I","0.514","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","FLEET","ATLAS; Pan-STARRS; ZTF","ZTF19abkfshj","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","Magellan-Clay - LDSS-3","1","1","","19.35","r-ZTF","2019-08-24 11:29:17.000","ZTF_AMPEL_COMPLETE","","2019TNSTR1641....1N","2021TNSCR.565....1G",""
"44039","SN 2019ota","17:02:44.400","+55:59:16.99","SN Ia","0.138","","","ZTF","ZTF","None","ZTF","ZTF19abqsmns","P48 - ZTF-Cam","LT - SPRAT","1","1","","20.08","r-ZTF","2019-08-21 06:50:44.000","ZTF_AMPEL_COMPLETE","","2019TNSTR1641....1N","2019TNSCR1706....1P",""
"44032","SN 2019ost","21:00:38.777","-16:49:09.93","SN Ia","0.073","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","None, ZTF","ATLAS; Pan-STARRS; ZTF","ZTF19abrsuah","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT, P60 - SEDM","1","1","","19.62","g-ZTF","2019-08-22 09:04:19.000","ZTF_Bot1","","2019TNSTR1640....1F","2019TNSCR1705....1A, 2019TNSCR2851....1F",""
"44026","SN 2019osn","23:44:34.843","+48:21:31.50","SN Ia","0.09","","","ZTF","ZTF","ZTF","ZTF","ZTF19abnagzk","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.43","g-ZTF","2019-08-01 09:51:50.000","ZTF_Bot1","","2019TNSTR1640....1F","2019TNSCR1674....1F",""
